k,ratio,large_scan,candidate_count,combined_strict_mask_worst_min_db,combined_strict_mask_worst_mean_db,combined_strict_mask_worst_max_db,combined_strict_mask_gate_rate,combined_rel40db_worst_min_db,combined_rel40db_worst_mean_db,combined_rel40db_worst_max_db,combined_rel40db_gate_rate,combined_rel30db_worst_min_db,combined_rel30db_worst_mean_db,combined_rel30db_worst_max_db,combined_rel30db_gate_rate,combined_rel20db_worst_min_db,combined_rel20db_worst_mean_db,combined_rel20db_worst_max_db,combined_rel20db_gate_rate
1,0.5,0,1,5.895073248568892,5.895073248568892,5.895073248568892,0.0,5.895073248568892,5.895073248568892,5.895073248568892,0.0,5.895073248568892,5.895073248568892,5.895073248568892,0.0,5.895073248568892,5.895073248568892,5.895073248568892,0.0
1,0.5,1,2,-2.6693149144262005,1.394923241693799,5.459161397813799,0.0,-2.6693149144262005,1.394923241693799,5.459161397813799,0.0,-2.6693149144262005,1.394923241693799,5.459161397813799,0.0,-2.6693149144262005,1.394923241693799,5.459161397813799,0.0
1,0.6,0,1,6.75573049278699,6.75573049278699,6.75573049278699,0.0,6.75573049278699,6.75573049278699,6.75573049278699,0.0,6.75573049278699,6.75573049278699,6.75573049278699,0.0,6.75573049278699,6.75573049278699,6.75573049278699,0.0
1,0.6,1,2,0.5841035804435301,1.4112871972743228,2.2384708141051157,0.0,0.5841035804435301,1.4112871972743228,2.2384708141051157,0.0,0.5841035804435301,1.4112871972743228,2.2384708141051157,0.0,0.5841035804435301,1.4112871972743228,2.2384708141051157,0.0
1,0.7,0,1,5.098433641562316,5.098433641562316,5.098433641562316,0.0,5.098433641562316,5.098433641562316,5.098433641562316,0.0,5.098433641562316,5.098433641562316,5.098433641562316,0.0,5.098433641562316,5.098433641562316,5.098433641562316,0.0
1,0.7,1,2,-6.763538780669952,-2.0240267828412555,2.7154852149874413,0.0,-6.763538780669952,-2.0240267828412555,2.7154852149874413,0.0,-6.763538780669952,-2.0240267828412555,2.7154852149874413,0.0,-4.316662149567258,-0.8005884672899084,2.7154852149874413,0.0
1,0.8,0,1,5.182711089996516,5.182711089996516,5.182711089996516,0.0,5.182711089996516,5.182711089996516,5.182711089996516,0.0,5.182711089996516,5.182711089996516,5.182711089996516,0.0,5.182711089996516,5.182711089996516,5.182711089996516,0.0
1,0.8,1,2,1.7418531919664804,2.6188215337971563,3.4957898756278327,0.0,1.7418531919664804,2.6188215337971563,3.4957898756278327,0.0,1.7418531919664804,2.6188215337971563,3.4957898756278327,0.0,1.7418531919664804,2.6188215337971563,3.4957898756278327,0.0
1,0.9,0,1,5.297698102702989,5.297698102702989,5.297698102702989,0.0,5.297698102702989,5.297698102702989,5.297698102702989,0.0,5.297698102702989,5.297698102702989,5.297698102702989,0.0,5.297698102702989,5.297698102702989,5.297698102702989,0.0
1,0.9,1,2,-11.412160173583905,-1.650207168052229,8.111745837479447,0.0,-11.412160173583905,-1.650207168052229,8.111745837479447,0.0,-11.412160173583905,-1.650207168052229,8.111745837479447,0.0,-1.0850167608096781,3.5133645383348844,8.111745837479447,0.0
1,1.0,0,1,8.738883107874873,8.738883107874873,8.738883107874873,0.0,8.738883107874873,8.738883107874873,8.738883107874873,0.0,8.738883107874873,8.738883107874873,8.738883107874873,0.0,8.738883107874873,8.738883107874873,8.738883107874873,0.0
1,1.0,1,2,-22.48519573894321,-7.0278466155918204,8.42950250775957,0.0,-22.48519573894321,-7.0278466155918204,8.42950250775957,0.0,-14.598163925598577,-3.084330708919503,8.42950250775957,0.0,-6.220629729815856,1.1044363889718571,8.42950250775957,0.0
1,all,all,18,-22.48519573894321,1.4674684720029179,8.738883107874873,0.0,-22.48519573894321,1.4674684720029179,8.738883107874873,0.0,-14.598163925598577,1.9056369060776197,8.738883107874873,0.0,-6.220629729815856,3.080723252725378,8.738883107874873,0.0
2,0.5,0,1,4.830075836825524,4.830075836825524,4.830075836825524,0.0,4.830075836825524,4.830075836825524,4.830075836825524,0.0,4.830075836825524,4.830075836825524,4.830075836825524,0.0,4.830075836825524,4.830075836825524,4.830075836825524,0.0
2,0.5,1,2,-0.1826390876338811,1.2328694819144057,2.6483780514626925,0.0,-0.1826390876338811,1.2328694819144057,2.6483780514626925,0.0,-0.1826390876338811,1.2328694819144057,2.6483780514626925,0.0,-0.1826390876338811,1.2328694819144057,2.6483780514626925,0.0
2,0.6,0,1,3.0273408905830728,3.0273408905830728,3.0273408905830728,0.0,3.0273408905830728,3.0273408905830728,3.0273408905830728,0.0,3.0273408905830728,3.0273408905830728,3.0273408905830728,0.0,3.0273408905830728,3.0273408905830728,3.0273408905830728,0.0
