candidate_index,sample_index,sample_id,k,ratio,large_scan,min_target_separation_deg,selected_config,baseline_combined_worst_active_rl_db,baseline_combined_total_rl_db,optimized_combined_worst_active_rl_db,optimized_combined_total_rl_db,optimized_combined_active_gate,optimized_all_tasks_significant_worst_active_rl_db,optimized_all_tasks_significant_gate,optimized_all_tasks_strict_worst_active_rl_db,optimized_all_tasks_strict_gate,target_response_error_max,nearest_bound_ratio_max,local_bound_ratio_max,constraint_pass,baseline_psll_db,optimized_psll_db,baseline_nearest_iso_db,optimized_nearest_iso_db,baseline_local_iso_db,optimized_local_iso_db,baseline_weakest_target_gain_db,optimized_weakest_target_gain_db,optimized_target_spread_db,optimized_pointing_error_deg,equal_weakest_gain_power_ratio,gate15,strict_gate20,mainlobe_gate,robust_active_RL_gate,strict_engineering_gate
0,0,tv000_s000_k1_r0.5,1,0.5,0,180.0,balanced30,5.895073248568892,9.725157635109543,10.061497197317362,10.243006042113903,1,10.061497197317362,1,10.061497197317362,1,1.9620285752838875e-16,0.0,0.0,1,-11.824291568521701,-11.679611206054688,300.0,300.0,300.0,300.0,85.65301166276235,85.5812759399414,0.0,0.14562266994235282,1.0166549330275847,1,1,1,1,1
1,1,tv001_s001_k1_r0.5,1,0.5,1,180.0,combined20,5.459161397813799,11.221211290649553,10.078393326118906,11.51574846826473,1,10.078393326118906,1,10.078393326118906,1,8.132505860822234e-18,0.0,0.0,1,-7.466716324791776,-7.4051971435546875,300.0,300.0,300.0,300.0,83.33787609672571,83.21532440185547,0.0,0.8980526058080087,1.0286204860219872,1,1,1,1,1
2,2,tv002_s002_k1_r0.5,1,0.5,1,180.0,combined20,-2.6693149144262005,10.830778273750802,10.103363092805404,10.85501261582582,1,10.103363092805404,1,10.103363092805404,1,4.187077965696222e-18,0.0,0.0,1,-2.777242633666802,-2.6602859497070312,300.0,300.0,300.0,300.0,81.07061930130956,80.56433868408203,0.0,2.5496217584821763,1.1236422526061784,1,1,0,1,0
3,3,tv003_s003_k1_r0.6,1,0.6000000238418579,0,180.0,balanced30,6.75573049278699,10.537986438615023,10.10054500263007,11.223417114805603,1,10.10054500263007,1,10.10054500263007,1,2.8312764936359217e-18,0.0,0.0,1,-13.35173056118441,-12.876640319824219,300.0,300.0,300.0,300.0,86.33725169245274,86.16903686523438,0.0,0.5496264301824973,1.0394927932145455,1,1,1,1,1
4,4,tv004_s004_k1_r0.6,1,0.6000000238418579,1,180.0,balanced30,0.5841035804435301,12.152237089762988,10.089262467787004,12.67110471673065,1,10.089262467787004,1,10.089262467787004,1,7.347127628504058e-18,0.0,0.0,1,-7.528183865480415,-7.5146484375,300.0,300.0,300.0,300.0,84.1417239799572,84.10028076171875,0.0,1.0252361621203891,1.0095883299469277,1,1,1,1,1
5,5,tv005_s005_k1_r0.6,1,0.6000000238418579,1,180.0,balanced30,2.2384708141051157,13.07455387847459,10.131025848927194,12.905898796653396,1,10.131025848927194,1,10.131025848927194,1,1.3064735606011277e-16,0.0,0.0,1,-4.643337791877599,-4.629386901855469,300.0,300.0,300.0,300.0,83.48717688506875,83.44575500488281,0.0,1.9142127638097035,1.0095833695809127,1,1,0,1,0
6,6,tv006_s006_k1_r0.7,1,0.699999988079071,0,180.0,balanced30,5.098433641562316,10.95275162331845,10.074475662118909,11.394870001582147,1,10.074475662118909,1,10.074475662118909,1,3.286385416635e-16,0.0,0.0,1,-14.749999577815956,-14.683189392089844,300.0,300.0,300.0,300.0,87.1933482536713,87.15186309814453,0.0,0.20697620061100674,1.0095980790004067,1,1,1,1,1
7,7,tv007_s007_k1_r0.7,1,0.699999988079071,1,180.0,combined20,2.7154852149874413,12.110175178672023,10.157066477780308,12.883909723855327,1,10.157066477780308,1,10.157066477780308,1,5.665507278959794e-18,0.0,0.0,1,-6.708469849689607,-6.491523742675781,300.0,300.0,300.0,300.0,84.54420353303449,84.41511535644531,0.0,1.3845858306192576,1.0301698083300708,1,1,1,1,1
8,8,tv008_s008_k1_r0.7,1,0.699999988079071,1,180.0,balanced30,-6.763538780669952,10.229337655393936,10.10297282195397,10.414138064554306,1,10.10297282195397,1,10.10297282195397,1,3.208000353650879e-16,0.0,0.0,1,-2.3241193133783185,-1.845428466796875,300.0,300.0,300.0,300.0,81.76570519434088,81.23843383789062,0.0,2.5428462981266486,1.1290862943088231,1,1,0,1,0
9,9,tv009_s009_k1_r0.8,1,0.800000011920929,0,180.0,robust20,5.182711089996516,10.715060525487488,10.007942460199537,11.267053631323883,1,10.007942460199537,1,10.007942460199537,1,0.0,0.0,0.0,1,-15.785791685779074,-15.440147399902344,300.0,300.0,300.0,300.0,88.06515802515042,87.90528106689453,0.0,0.07042196553748933,1.037499021592943,1,1,1,1,1
10,10,tv010_s010_k1_r0.8,1,0.800000011920929,1,180.0,combined20,3.4957898756278327,14.666932686961257,10.111661970280043,14.51552893675787,1,10.111661970280043,1,10.111661970280043,1,6.904701470454154e-18,0.0,0.0,1,-4.232789907271638,-4.334510803222656,300.0,300.0,300.0,300.0,84.99420361788071,84.94378662109375,0.0,2.0118263814711503,1.0116765878067493,1,1,0,1,0
11,11,tv011_s011_k1_r0.8,1,0.800000011920929,1,180.0,balanced30,1.7418531919664804,11.753983942550652,10.212641246552167,11.786694519569934,1,10.212641246552167,1,10.212641246552167,1,1.4443965712581726e-16,0.0,0.0,1,-2.534210466617637,-2.5298080444335938,300.0,300.0,300.0,300.0,83.05474616755136,82.71930694580078,0.0,2.760445706738533,1.080298870892677,1,1,0,1,0
12,12,tv012_s012_k1_r0.9,1,0.8999999761581421,0,180.0,robust20,5.297698102702989,11.361276807277834,9.951956364199813,11.80799966616588,0,9.951956364199813,0,9.951956364199813,0,1.420351482034784e-16,0.0,0.0,1,-14.827850542759364,-14.651405334472656,300.0,300.0,300.0,300.0,88.45257940490386,88.37477111816406,0.0,0.37057660312128415,1.0180774747712449,1,1,1,0,0
13,13,tv013_s013_k1_r0.9,1,0.8999999761581421,1,180.0,combined20,8.111745837479447,15.292588042126184,10.138277990475913,15.46706526090794,1,10.138277990475913,1,10.138277990475913,1,2.0319201625979167e-16,0.0,0.0,1,-5.48972103331846,-5.514610290527344,300.0,300.0,300.0,300.0,85.57461845239841,85.5787353515625,0.0,1.8233174671618,0.9990524980992117,1,1,0,1,0
14,14,tv014_s014_k1_r0.9,1,0.8999999761581421,1,180.0,robust20,-11.412160173583905,11.497087815677533,10.024556524545376,12.019420540470914,1,10.024556524545376,1,10.024556524545376,1,4.926441244087167e-18,0.0,0.0,1,-3.546319055518566,-3.2667160034179688,300.0,300.0,300.0,300.0,84.04316856078304,83.42499542236328,0.0,3.2897878953569832,1.152968159254551,1,1,0,1,0
15,15,tv015_s015_k1_r1.0,1,1.0,0,180.0,robust20,8.738883107874873,13.354143443328985,10.298470276635914,13.398742462919834,1,10.298470276635914,1,10.298470276635914,1,1.0740616734795629e-18,0.0,0.0,1,-16.050019843268316,-16.07929229736328,300.0,300.0,300.0,300.0,88.73571208344437,88.69061279296875,0.0,0.49065293878195976,1.0104386013933278,1,1,1,1,1
16,16,tv016_s016_k1_r1.0,1,1.0,1,180.0,combined20,8.42950250775957,17.384884227070117,11.152163669248178,17.17328669066783,1,11.152163669248178,1,11.152163669248178,1,2.851299651406572e-18,0.0,0.0,1,-6.878419620201569,-6.832008361816406,300.0,300.0,300.0,300.0,86.43624403133458,86.4084701538086,0.0,0.9547866084431431,1.0064156644083688,1,1,1,1,1
17,17,tv017_s017_k1_r1.0,1,1.0,1,180.0,balanced30,-22.48519573894321,10.69865431960044,9.98487394376695,12.286339607103598,0,9.98487394376695,0,9.98487394376695,0,8.938550318960537e-18,0.0,0.0,1,1.7908505590922772,3.2074356079101562,300.0,300.0,300.0,300.0,82.93021551300012,80.95340728759766,0.0,1.851360657265757,1.5764522566553434,0,0,0,0,0
18,18,tv018_s018_k2_r0.5,2,0.5,0,30.836536407470703,balanced30,4.830076344589008,10.684794526027668,10.205918356736454,11.261061206162552,1,10.037147676334918,1,10.037147676334918,1,4.590381108437307e-16,0.9406477100852875,1.000887329228138,1,-11.693332541222375,-11.364334106445312,33.41475408324651,26.202392578125,18.324492243515266,17.497970581054688,81.73504360251576,81.61688232421875,0.879058837890625,0.6236221555346833,1.0275811473547443,1,0,1,1,0
19,19,tv019_s019_k2_r0.5,2,0.5,1,53.63685989379883,balanced30,-0.1826392583841754,10.435817792569903,10.126672277896647,10.848514864027992,1,10.019653218049058,1,10.019653218049058,1,2.8220600285110447e-16,0.8540770664216237,0.9657423874259871,1,-7.812351053317272,-6.695732116699219,26.999857984399867,28.039398193359375,14.076333361310802,12.660575866699219,79.70222681238218,79.39802551269531,2.7294235229492188,0.8411287694562455,1.0725563784876146,0,0,1,1,0
20,20,tv020_s020_k2_r0.5,2,0.5,1,54.766170501708984,balanced30,2.648378248616651,10.48663173383635,10.145728746905485,11.346172752062575,1,10.022956516944607,1,10.022956516944607,1,3.8617580487702616e-16,0.9924664558182044,0.9695491781439667,1,-6.595932507824045,-6.474021911621094,23.83257048168882,25.74481201171875,18.17206609854012,17.852920532226562,79.62276364644353,79.8974838256836,2.6151962280273438,0.7989188925666157,0.9387025163698063,1,0,1,1,0
21,21,tv021_s021_k2_r0.6,2,0.6000000238418579,0,33.27549362182617,combined20,3.027341192182043,9.975416076941016,10.263478348191619,11.08918848429703,1,10.02923120176293,1,10.02923120176293,1,1.5509075762680375e-16,0.9648866639289922,1.0004057029948228,1,-12.354307347497738,-10.538597106933594,33.45302324298039,28.269268035888672,14.204463084770879,13.13970947265625,82.6731516121633,82.45571899414062,1.0743179321289062,0.7111897233648972,1.0513401781939917,0,0,1,1,0
22,22,tv022_s022_k2_r0.6,2,0.6000000238418579,1,28.5905818939209,balanced30,3.3576312307373217,12.237241166857,10.293429862327518,12.251445570635664,1,10.010414600094224,1,10.010414600094224,1,4.988275171118016e-16,1.0003352745500287,1.0000407769968822,1,-5.248096364109415,-5.684730529785156,21.40518193652997,26.226341247558594,19.56073588344851,21.137786865234375,80.14918107710554,79.94617462158203,1.3451385498046875,1.8942304360002395,1.0478536862832493,1,1,0,1,0
23,23,tv023_s023_k2_r0.6,2,0.6000000238418579,1,70.64033508300781,balanced30,1.8153115329664389,10.202756418040128,10.13372077247956,10.805825519366364,1,10.058695129353985,1,10.058695129353985,1,2.5716379343139247e-16,0.9978814278859917,1.000021654897045,1,-5.195956648762291,-5.300682067871094,29.163708332340136,27.435012817382812,17.613957203346757,18.39215087890625,80.80062743394448,80.7401123046875,2.524169921875,1.290335458576411,1.0140316558338733,1,0,1,1,0
24,24,tv024_s024_k2_r0.7,2,0.699999988079071,0,25.092235565185547,balanced30,5.479853178942281,10.35874974021728,10.216638926823347,11.14367337296798,1,9.519047206467897,0,9.519047206467897,0,1.2446278483462749e-16,0.33307508968431715,1.0000717002699493,1,-11.532748852472139,-11.714523315429688,35.40755931675162,37.55023193359375,15.914342684658749,17.87067413330078,83.52160199409484,83.42876434326172,0.26092529296875,0.8003882685084812,1.0216067766543684,1,0,1,0,0
25,25,tv025_s025_k2_r0.7,2,0.699999988079071,1,80.07714080810547,robust20,2.0359830853053897,9.762577643368402,10.136191296043824,11.142211339470599,1,10.02571050330824,1,10.02571050330824,1,3.6331621636278783e-16,0.9705712287871759,0.9726248166575064,1,-6.3401548525392855,-6.388450622558594,22.69472957372996,26.106712341308594,18.662848317426977,18.853553771972656,80.8206362008298,80.91080474853516,2.7741012573242188,0.9141719072705323,0.9794519725872527,1,0,1,1,0
