candidate_index,sample_index,k,ratio,config,best_iteration,combined_worst_active_rl_db,combined_total_rl_db,combined_active_gate,combined_dynamic_range_db,all_tasks_significant_worst_active_rl_db,all_tasks_significant_worst_total_rl_db,all_tasks_significant_gate,all_tasks_strict_worst_active_rl_db,all_tasks_strict_gate,target_response_error_max,nearest_bound_ratio_max,local_bound_ratio_max,constraint_pass
0,0,1,0.5,balanced30,70,10.061497197317362,10.243006042113903,1,7.958182966992034,10.061497197317362,10.243006042113903,1,10.061497197317362,1,1.9620285752838875e-16,0.0,0.0,1
0,0,1,0.5,combined20,15,10.038260865297168,10.349269957465035,1,8.49526692860245,10.038260865297168,10.349269957465035,1,10.038260865297168,1,1.9605932069942582e-16,0.0,0.0,1
0,0,1,0.5,robust20,67,10.042762079870815,10.27223065230666,1,8.138802422253107,10.042762079870815,10.27223065230666,1,10.042762079870815,1,1.9605932069942582e-16,0.0,0.0,1
1,1,1,0.5,balanced30,3,10.034081481945844,11.391910418553024,1,11.592844762523688,10.034081481945844,11.391910418553024,1,10.034081481945844,1,4.066252930411117e-18,0.0,0.0,1
1,1,1,0.5,combined20,90,10.078393326118906,11.51574846826473,1,10.848973756461364,10.078393326118906,11.51574846826473,1,10.078393326118906,1,8.132505860822234e-18,0.0,0.0,1
1,1,1,0.5,robust20,3,10.016440868075785,11.360310345261427,1,11.795941949565318,10.016440868075785,11.360310345261427,1,10.016440868075785,1,1.3113271677899484e-16,0.0,0.0,1
2,2,1,0.5,balanced30,18,10.023242249498516,10.87921093636443,1,17.426657137777948,10.023242249498516,10.87921093636443,1,10.023242249498516,1,1.9539697173249038e-17,0.0,0.0,1
2,2,1,0.5,combined20,32,10.103363092805404,10.85501261582582,1,13.798718962237931,10.103363092805404,10.85501261582582,1,10.103363092805404,1,4.187077965696222e-18,0.0,0.0,1
2,2,1,0.5,robust20,28,10.09148252623981,10.940124227196403,1,15.452837008507448,10.09148252623981,10.940124227196403,1,10.09148252623981,1,1.1165541241856593e-17,0.0,0.0,1
3,3,1,0.6000000238418579,balanced30,33,10.10054500263007,11.223417114805603,1,9.958465813785152,10.10054500263007,11.223417114805603,1,10.10054500263007,1,2.8312764936359217e-18,0.0,0.0,1
3,3,1,0.6000000238418579,combined20,13,10.016977244458614,11.017754632093581,1,7.583746296571495,10.016977244458614,11.017754632093581,1,10.016977244458614,1,2.8312764936359217e-18,0.0,0.0,1
3,3,1,0.6000000238418579,robust20,110,10.03155567421663,10.850053400889282,1,5.982613751900745,10.03155567421663,10.850053400889282,1,10.03155567421663,1,2.8312764936359217e-18,0.0,0.0,1
4,4,1,0.6000000238418579,balanced30,8,10.089262467787004,12.67110471673065,1,9.652411810382137,10.089262467787004,12.67110471673065,1,10.089262467787004,1,7.347127628504058e-18,0.0,0.0,1
4,4,1,0.6000000238418579,combined20,4,10.070519525546825,12.646094463340411,1,9.155964479818552,10.070519525546825,12.646094463340411,1,10.070519525546825,1,2.3651018941823213e-16,0.0,0.0,1
4,4,1,0.6000000238418579,robust20,9,10.081109796364494,12.614620152741843,1,10.717254378326688,10.081109796364494,12.614620152741843,1,10.081109796364494,1,1.1778341601477099e-16,0.0,0.0,1
5,5,1,0.6000000238418579,balanced30,11,10.131025848927194,12.905898796653396,1,11.228657123047256,10.131025848927194,12.905898796653396,1,10.131025848927194,1,1.3064735606011277e-16,0.0,0.0,1
5,5,1,0.6000000238418579,combined20,90,10.024348461543122,12.933691003097854,1,12.171879758319706,10.024348461543122,12.933691003097854,1,10.024348461543122,1,2.041364938439262e-18,0.0,0.0,1
5,5,1,0.6000000238418579,robust20,28,10.065997511059827,13.120382282875616,1,11.572992490304795,10.065997511059827,13.120382282875616,1,10.065997511059827,1,6.1240948153177865e-18,0.0,0.0,1
6,6,1,0.699999988079071,balanced30,17,10.074475662118909,11.394870001582147,1,8.240714125677407,10.074475662118909,11.394870001582147,1,10.074475662118909,1,3.286385416635e-16,0.0,0.0,1
6,6,1,0.699999988079071,combined20,61,10.069385139810038,11.376279116667705,1,8.687238726470586,10.069385139810038,11.376279116667705,1,10.069385139810038,1,2.5655320072584676e-18,0.0,0.0,1
6,6,1,0.699999988079071,robust20,18,10.026676432827124,11.463023078929716,1,6.978784180603408,10.026676432827124,11.463023078929716,1,10.026676432827124,1,7.696596021775402e-18,0.0,0.0,1
7,7,1,0.699999988079071,balanced30,13,10.012965545298238,12.872724128235987,1,8.805106689273229,10.012965545298238,12.872724128235987,1,10.012965545298238,1,1.3074247566830292e-18,0.0,0.0,1
7,7,1,0.699999988079071,combined20,90,10.157066477780308,12.883909723855327,1,9.594332128193638,10.157066477780308,12.883909723855327,1,10.157066477780308,1,5.665507278959794e-18,0.0,0.0,1
7,7,1,0.699999988079071,robust20,20,10.151753803658423,12.912122543605646,1,9.25730474792822,10.151753803658423,12.912122543605646,1,10.151753803658423,1,1.0023589801236557e-17,0.0,0.0,1
8,8,1,0.699999988079071,balanced30,25,10.10297282195397,10.414138064554306,1,17.31252115123439,10.10297282195397,10.414138064554306,1,10.10297282195397,1,3.208000353650879e-16,0.0,0.0,1
8,8,1,0.699999988079071,combined20,35,10.048266659179873,10.394473322885942,1,15.971418633659422,10.048266659179873,10.394473322885942,1,10.048266659179873,1,1.6037555415384572e-16,0.0,0.0,1
8,8,1,0.699999988079071,robust20,110,10.021877766726575,10.344903151359425,1,15.697909156602535,10.021877766726575,10.344903151359425,1,10.021877766726575,1,3.758343296338515e-18,0.0,0.0,1
