sample_index,k,candidate_count,sparse_candidate_count,sparse_oracle_pass,minimum_feasible_ratio,selected_candidate_index
0,1,1,1,1,0.5,0
1,1,1,1,1,0.5,1
2,1,1,1,0,,
3,1,1,1,1,0.6000000238418579,3
4,1,1,1,1,0.6000000238418579,4
5,1,1,1,0,,
6,1,1,1,1,0.699999988079071,6
7,1,1,1,1,0.699999988079071,7
8,1,1,1,0,,
9,1,1,1,1,0.800000011920929,9
10,1,1,1,0,,
11,1,1,1,0,,
12,1,1,1,0,,
13,1,1,1,0,,
14,1,1,1,0,,
15,1,1,0,0,,
16,1,1,0,0,,
17,1,1,0,0,,
18,2,1,1,0,,
19,2,1,1,0,,
20,2,1,1,0,,
21,2,1,1,0,,
22,2,1,1,0,,
23,2,1,1,0,,
24,2,1,1,0,,
25,2,1,1,0,,
26,2,1,1,0,,
27,2,1,1,0,,
28,2,1,1,0,,
29,2,1,1,0,,
30,2,1,1,0,,
31,2,1,1,0,,
32,2,1,1,0,,
33,2,1,0,0,,
34,2,1,0,0,,
35,2,1,0,0,,
36,4,1,1,0,,
37,4,1,1,0,,
38,4,1,1,0,,
39,4,1,1,0,,
40,4,1,1,0,,
41,4,1,1,0,,
42,4,1,1,0,,
43,4,1,1,0,,
44,4,1,1,0,,
45,4,1,1,0,,
46,4,1,1,0,,
47,4,1,1,0,,
48,4,1,1,0,,
49,4,1,1,1,0.8999999761581421,49
50,4,1,1,0,,
51,4,1,0,0,,
52,4,1,0,0,,
53,4,1,0,0,,
54,6,1,1,0,,
55,6,1,1,0,,
56,6,1,1,0,,
57,6,1,1,0,,
58,6,1,1,0,,
59,6,1,1,0,,
60,6,1,1,0,,
61,6,1,1,0,,
62,6,1,1,0,,
63,6,1,1,0,,
64,6,1,1,0,,
65,6,1,1,0,,
66,6,1,1,0,,
67,6,1,1,0,,
68,6,1,1,0,,
69,6,1,0,0,,
70,6,1,0,0,,
71,6,1,0,0,,
72,6,6,5,0,,
73,6,6,5,0,,
74,6,6,5,0,,
75,6,6,5,0,,
