k,ratio,large_scan,candidate_count,combined_active_gate_count,combined_active_gate_rate,robust_active_gate_count,robust_active_gate_rate,gate15_count,strict_gate20_count,mainlobe_gate_count,strict_engineering_gate_count,strict_engineering_gate_rate,mean_active_rl_improvement_db,max_active_rl_improvement_db,mean_equal_weakest_gain_power_ratio
1,0.5,0,1,1,1.0,1,1.0,1,1,1,1,1.0,4.16642394874847,4.16642394874847,1.0166549330275847
1,0.5,1,2,2,1.0,2,1.0,2,2,1,1,0.5,8.695954967768357,12.772678007231605,1.0761313693140828
1,0.5,all,3,3,1.0,3,1.0,3,3,2,2,0.6666666666666666,7.186111294761727,12.772678007231605,1.056305890551917
1,0.6,0,1,1,1.0,1,1.0,1,1,1,1,1.0,3.344814509843081,3.344814509843081,1.0394927932145455
1,0.6,1,2,2,1.0,2,1.0,2,2,1,1,0.5,8.698856961082775,9.505158887343473,1.00958584976392
1,0.6,all,3,3,1.0,3,1.0,3,3,2,2,0.6666666666666666,6.9141761440028775,9.505158887343473,1.0195548309141287
1,0.7,0,1,1,1.0,1,1.0,1,1,1,1,1.0,4.9760420205565925,4.9760420205565925,1.0095980790004067
1,0.7,1,2,2,1.0,2,1.0,2,2,1,1,0.5,12.154046432708395,16.866511602623923,1.079628051319447
1,0.7,all,3,3,1.0,3,1.0,3,3,2,2,0.6666666666666666,9.76137829532446,16.866511602623923,1.0562847272131002
1,0.8,0,1,1,1.0,1,1.0,1,1,1,1,1.0,4.825231370203021,4.825231370203021,1.037499021592943
1,0.8,1,2,2,1.0,2,1.0,2,2,0,0,0.0,7.5433300746189484,8.470788054585686,1.0459877293497133
1,0.8,all,3,3,1.0,3,1.0,3,3,1,1,0.3333333333333333,6.6372971731469725,8.470788054585686,1.0431581600974564
1,0.9,0,1,0,0.0,0,0.0,1,1,1,0,0.0,4.654258261496824,4.654258261496824,1.0180774747712449
1,0.9,1,2,2,1.0,2,1.0,2,2,0,0,0.0,11.731624425562874,21.43671669812928,1.0760103286768814
1,0.9,all,3,2,0.6666666666666666,2,0.6666666666666666,3,3,1,0,0.0,9.37250237087419,21.43671669812928,1.0566993773750026
1,1.0,0,1,1,1.0,1,1.0,1,1,1,1,1.0,1.5595871687610412,1.5595871687610412,1.0104386013933278
1,1.0,1,2,1,0.5,1,0.5,1,1,1,1,0.5,17.596365422099385,32.47006968271016,1.291433960531856
1,1.0,all,3,2,0.6666666666666666,2,0.6666666666666666,2,2,2,2,0.6666666666666666,12.250772670986604,32.47006968271016,1.1977688408190132
1,all,all,18,16,0.8888888888888888,16,0.8888888888888888,17,17,10,9,0.5,8.687039658182805,32.47006968271016,1.0716286378284363
2,0.5,0,1,1,1.0,1,1.0,1,0,1,0,0.0,5.375842012147446,5.375842012147446,1.0275811473547443
2,0.5,1,2,2,1.0,2,1.0,1,0,2,0,0.0,8.90333101728483,10.309311536280823,1.0056294474287104
2,0.5,all,3,3,1.0,3,1.0,2,0,3,0,0.0,7.727501348905701,10.309311536280823,1.0129466807373884
2,0.6,0,1,1,1.0,1,1.0,0,0,1,0,0.0,7.236137156009576,7.236137156009576,1.0513401781939917
2,0.6,1,2,2,1.0,2,1.0,2,1,1,0,0.0,7.627103935551658,8.318409239513121,1.0309426710585612
2,0.6,all,3,3,1.0,3,1.0,2,1,2,0,0.0,7.496781675704298,8.318409239513121,1.0377418401037046
2,0.7,0,1,1,1.0,0,0.0,1,0,1,0,0.0,4.736785747881066,4.736785747881066,1.0216067766543684
2,0.7,1,2,2,1.0,2,1.0,2,1,1,0,0.0,6.84783169522444,8.100208210738435,1.0083870241916573
2,0.7,all,3,3,1.0,2,0.6666666666666666,3,1,2,0,0.0,6.144149712776649,8.100208210738435,1.0127936083458944
2,0.8,0,1,1,1.0,0,0.0,1,0,1,0,0.0,4.7064390792324975,4.7064390792324975,1.0452161529334671
2,0.8,1,2,2,1.0,2,1.0,2,2,0,0,0.0,9.146874246220321,9.592282433314972,1.0043058138885184
2,0.8,all,3,3,1.0,2,0.6666666666666666,3,2,1,0,0.0,7.666729190557713,9.592282433314972,1.017942593570168
