candidate_index,sample_index,sample_id,k,ratio,large_scan,min_target_separation_deg,selected_config,prior_combined_active_rl_db,refined_combined_active_rl_db,refined_combined_total_rl_db,refined_task_significant_active_rl_db,refined_task_strict_active_rl_db,dense_nearest_bound_ratio_max,dense_local_bound_ratio_max,combined_target_error_max,baseline_psll_db,refined_psll_db,baseline_nearest_iso_db,refined_nearest_iso_db,baseline_local_iso_db,refined_local_iso_db,baseline_weakest_target_gain_db,refined_weakest_target_gain_db,refined_target_spread_db,refined_pointing_error_deg,equal_weakest_gain_power_ratio,gate15,strict_gate20,mainlobe_gate,combined_active_gate,robust_active_RL_gate,strict_engineering_gate,unique_local_points_min,unique_local_points_mean,unique_local_points_max,dense_task_region_point_uses
0,0,tv000_s000_k1_r0.5,1,0.5,0,180.0,dense_preserve30,10.061497197317362,10.061497261113171,10.243006044843161,10.061497261113171,10.061497261113171,0.0,0.0,2.0875934509217684e-09,-11.824291568521701,-11.679611206054688,300.0,300.0,300.0,300.0,85.65301166276235,85.5812759399414,0.0,0.14562266994235282,1.0166549330275847,1,1,1,1,1,1,92,92.0,92,0
1,1,tv001_s001_k1_r0.5,1,0.5,1,180.0,dense_preserve30,10.078393326118906,10.078393949457993,11.515748422629564,10.078393949457993,10.078393949457993,0.0,0.0,0.0,-7.466716324791776,-7.4051971435546875,300.0,300.0,300.0,300.0,83.33787609672571,83.21532440185547,0.0,0.8980526058080087,1.0286204860219872,1,1,1,1,1,1,48,48.0,48,0
2,2,tv002_s002_k1_r0.5,1,0.5,1,180.0,dense_preserve30,10.103363092805404,10.10336266577305,10.855012633467176,10.10336266577305,10.10336266577305,0.0,0.0,3.4749470689879303e-09,-2.777242633666802,-2.6602859497070312,300.0,300.0,300.0,300.0,81.07061930130956,80.56433868408203,0.0,2.5496217584821763,1.1236422526061784,1,1,0,1,1,0,46,46.0,46,0
3,3,tv003_s003_k1_r0.6,1,0.6000000238418579,0,180.0,dense_preserve30,10.10054500263007,10.100545466761627,11.223417136442066,10.100545466761627,10.100545466761627,0.0,0.0,7.535005637232681e-09,-13.35173056118441,-12.876640319824219,300.0,300.0,300.0,300.0,86.33725169245274,86.16903686523438,0.0,0.5496264301824973,1.0394927932145455,1,1,1,1,1,1,85,85.0,85,0
4,4,tv004_s004_k1_r0.6,1,0.6000000238418579,1,180.0,dense_preserve30,10.089262467787004,10.089262119757423,12.671104675686834,10.089262119757423,10.089262119757423,0.0,0.0,3.587568498471963e-09,-7.528183865480415,-7.5146484375,300.0,300.0,300.0,300.0,84.1417239799572,84.10028076171875,0.0,1.0252361621203891,1.0095883299469277,1,1,1,1,1,1,45,45.0,45,0
5,5,tv005_s005_k1_r0.6,1,0.6000000238418579,1,180.0,dense_preserve30,10.131025848927194,10.131026007827163,12.905898824860788,10.131026007827163,10.131026007827163,0.0,0.0,2.551706164300978e-18,-4.643337791877599,-4.629386901855469,300.0,300.0,300.0,300.0,83.48717688506875,83.44575500488281,0.0,1.9142127638097035,1.0095833695809127,1,1,0,1,1,0,43,43.0,43,0
6,6,tv006_s006_k1_r0.7,1,0.699999988079071,0,180.0,dense_preserve30,10.074475662118909,10.074475822693536,11.394870009835147,10.074475822693536,10.074475822693536,0.0,0.0,1.6611834181433263e-09,-14.749999577815956,-14.683189392089844,300.0,300.0,300.0,300.0,87.1933482536713,87.15186309814453,0.0,0.20697620061100674,1.0095980790004067,1,1,1,1,1,1,105,105.0,105,0
7,7,tv007_s007_k1_r0.7,1,0.699999988079071,1,180.0,dense_preserve30,10.157066477780308,10.157066724119403,12.883909738643759,10.157066724119403,10.157066724119403,0.0,0.0,5.418197277444584e-10,-6.708469849689607,-6.491523742675781,300.0,300.0,300.0,300.0,84.54420353303449,84.41511535644531,0.0,1.3845858306192576,1.0301698083300708,1,1,1,1,1,1,47,47.0,47,0
8,8,tv008_s008_k1_r0.7,1,0.699999988079071,1,180.0,dense_preserve30,10.10297282195397,10.102972993959016,10.414138036444822,10.102972993959016,10.102972993959016,0.0,0.0,2.62672087478051e-08,-2.3241193133783185,-1.845428466796875,300.0,300.0,300.0,300.0,81.76570519434088,81.23843383789062,0.0,2.5428462981266486,1.1290862943088231,1,1,0,1,1,0,46,46.0,46,0
9,9,tv009_s009_k1_r0.8,1,0.800000011920929,0,180.0,dense_preserve30,10.007942460199537,10.00794274845667,11.267053613788507,10.00794274845667,10.00794274845667,0.0,0.0,2.6962954313172996e-09,-15.785791685779074,-15.440147399902344,300.0,300.0,300.0,300.0,88.06515802515042,87.90528106689453,0.0,0.07042196553748933,1.037499021592943,1,1,1,1,1,1,721,721.0,721,0
10,10,tv010_s010_k1_r0.8,1,0.800000011920929,1,180.0,dense_preserve30,10.111661970280043,10.11166200424335,14.51552898294506,10.11166200424335,10.11166200424335,0.0,0.0,3.4523507304206218e-18,-4.232789907271638,-4.334510803222656,300.0,300.0,300.0,300.0,84.99420361788071,84.94378662109375,0.0,2.0118263814711503,1.0116765878067493,1,1,0,1,1,0,43,43.0,43,0
11,11,tv011_s011_k1_r0.8,1,0.800000011920929,1,180.0,dense_preserve30,10.212641246552167,10.212641824937155,11.786694557626067,10.212641824937155,10.212641824937155,0.0,0.0,2.2557685274250848e-18,-2.534210466617637,-2.5298080444335938,300.0,300.0,300.0,300.0,83.05474616755136,82.71930694580078,0.0,2.760445706738533,1.080298870892677,1,1,0,1,1,0,47,47.0,47,0
12,12,tv012_s012_k1_r0.9,1,0.8999999761581421,0,180.0,dense_equal20,9.951956364199813,10.033846185339018,11.83368621721076,10.033846185339018,10.033846185339018,0.0,0.0,2.2192992110659013e-17,-14.827850542759364,-14.612007141113281,300.0,300.0,300.0,300.0,88.45257940490386,88.37147521972656,0.0,0.37057660312128415,1.0188503958355877,1,1,1,1,1,1,186,186.0,186,0
13,13,tv013_s013_k1_r0.9,1,0.8999999761581421,1,180.0,dense_preserve30,10.138277990475913,10.138278003948912,15.46706525532376,10.138278003948912,10.138278003948912,0.0,0.0,2.625609013859014e-09,-5.48972103331846,-5.514610290527344,300.0,300.0,300.0,300.0,85.57461845239841,85.5787353515625,0.0,1.8233174671618,0.9990524980992117,1,1,0,1,1,0,46,46.0,46,0
14,14,tv014_s014_k1_r0.9,1,0.8999999761581421,1,180.0,dense_preserve30,10.024556524545376,10.024556721812631,12.019420555098739,10.024556721812631,10.024556721812631,0.0,0.0,9.728265431294218e-09,-3.546319055518566,-3.2667160034179688,300.0,300.0,300.0,300.0,84.04316856078304,83.42499542236328,0.0,3.2897878953569832,1.152968159254551,1,1,0,1,1,0,48,48.0,48,0
15,15,tv015_s015_k1_r1.0,1,1.0,0,180.0,dense_preserve30,10.298470276635914,10.298469884006643,13.398742463755546,10.298469884006643,10.298469884006643,0.0,0.0,8.090726894777049e-10,-16.050019843268316,-16.07929229736328,300.0,300.0,300.0,300.0,88.73571208344437,88.69061279296875,0.0,0.49065293878195976,1.0104386013933278,1,1,1,1,1,1,98,98.0,98,0
16,16,tv016_s016_k1_r1.0,1,1.0,1,180.0,dense_preserve30,11.152163669248178,11.15216357700092,17.173286669861117,11.15216357700092,11.15216357700092,0.0,0.0,2.8525343337453124e-09,-6.878419620201569,-6.832008361816406,300.0,300.0,300.0,300.0,86.43624403133458,86.4084701538086,0.0,0.9547866084431431,1.0064156644083688,1,1,1,1,1,1,48,48.0,48,0
