candidate_index,sample_index,k,ratio,config,best_cycle,combined_worst_active_rl_db,combined_total_rl_db,combined_active_gate,combined_dynamic_range_db,all_tasks_significant_worst_active_rl_db,all_tasks_significant_worst_total_rl_db,all_tasks_significant_gate,all_tasks_strict_worst_active_rl_db,all_tasks_strict_gate,task_target_error_max,dense_nearest_bound_ratio_max,dense_local_bound_ratio_max,combined_target_error_max,dense_constraint_pass,pattern_psll_db,pattern_weakest_target_gain_db,pattern_target_spread_db,pattern_nearest_iso_db,pattern_local_iso_db,pattern_pointing_error_deg,gate15,strict_gate20,mainlobe_gate,robust_active_RL_gate,strict_engineering_gate
0,0,1,0.5,dense_preserve30,0,10.061497261113171,10.243006044843161,1,7.958183124197981,10.061497261113171,10.243006044843161,1,10.061497261113171,1,2.087593450921769e-09,0.0,0.0,2.0875934509217684e-09,1,-11.679611206054688,85.5812759399414,0.0,300.0,300.0,0.14562266994235282,1,1,1,1,1
0,0,1,0.5,dense_equal20,0,10.061497261113171,10.243006044843161,1,7.958183124197981,10.061497261113171,10.243006044843161,1,10.061497261113171,1,2.087593450921769e-09,0.0,0.0,2.087593483072648e-09,1,-11.679611206054688,85.5812759399414,0.0,300.0,300.0,0.14562266994235282,1,1,1,1,1
1,1,1,0.5,dense_preserve30,1,10.078393949457993,11.515748422629564,1,10.848973746458366,10.078393949457993,11.515748422629564,1,10.078393949457993,1,0.0,0.0,0.0,0.0,1,-7.4051971435546875,83.21532440185547,0.0,300.0,300.0,0.8980526058080087,1,1,1,1,1
1,1,1,0.5,dense_equal20,1,10.078393949457993,11.515748422629564,1,10.848973746458366,10.078393949457993,11.515748422629564,1,10.078393949457993,1,8.132505886412877e-18,0.0,0.0,2.0331264716032192e-17,1,-7.4051971435546875,83.21532440185547,0.0,300.0,300.0,0.8980526058080087,1,1,1,1,1
2,2,1,0.5,dense_preserve30,0,10.10336266577305,10.855012633467176,1,13.798719310936693,10.10336266577305,10.855012633467176,1,10.10336266577305,1,3.474947068987931e-09,0.0,0.0,3.4749470689879303e-09,1,-2.6602859497070312,80.56433868408203,0.0,300.0,300.0,2.5496217584821763,1,1,0,1,0
2,2,1,0.5,dense_equal20,0,10.10336266577305,10.855012633467176,1,13.798719310936693,10.10336266577305,10.855012633467176,1,10.10336266577305,1,3.474947068987931e-09,0.0,0.0,3.4749470534134193e-09,1,-2.6602859497070312,80.56433868408203,0.0,300.0,300.0,2.5496217584821763,1,1,0,1,0
3,3,1,0.6000000238418579,dense_preserve30,0,10.100545466761627,11.223417136442066,1,9.95846564166039,10.100545466761627,11.223417136442066,1,10.100545466761627,1,7.535005637232681e-09,0.0,0.0,7.535005637232681e-09,1,-12.876640319824219,86.16903686523438,0.0,300.0,300.0,0.5496264301824973,1,1,1,1,1
3,3,1,0.6000000238418579,dense_equal20,0,10.100545466761627,11.223417136442066,1,9.95846564166039,10.100545466761627,11.223417136442066,1,10.100545466761627,1,7.535005637232681e-09,0.0,0.0,7.53500560251007e-09,1,-12.876640319824219,86.16903686523438,0.0,300.0,300.0,0.5496264301824973,1,1,1,1,1
4,4,1,0.6000000238418579,dense_preserve30,0,10.089262119757423,12.671104675686834,1,9.652411921097013,10.089262119757423,12.671104675686834,1,10.089262119757423,1,3.587568498471963e-09,0.0,0.0,3.587568498471963e-09,1,-7.5146484375,84.10028076171875,0.0,300.0,300.0,1.0252361621203891,1,1,1,1,1
4,4,1,0.6000000238418579,dense_equal20,0,10.089262119757423,12.671104675686834,1,9.652411921097013,10.089262119757423,12.671104675686834,1,10.089262119757423,1,3.587568498471963e-09,0.0,0.0,3.5875685064891308e-09,1,-7.5146484375,84.10028076171875,0.0,300.0,300.0,1.0252361621203891,1,1,1,1,1
5,5,1,0.6000000238418579,dense_preserve30,1,10.131026007827163,12.905898824860788,1,11.228657219647673,10.131026007827163,12.905898824860788,1,10.131026007827163,1,2.551706164300978e-18,0.0,0.0,2.551706164300978e-18,1,-4.629386901855469,83.44575500488281,0.0,300.0,300.0,1.9142127638097035,1,1,0,1,0
5,5,1,0.6000000238418579,dense_equal20,5,10.131026007827161,12.905898824860788,1,11.228657219647673,10.131026007827161,12.905898824860788,1,10.131026007827161,1,4.542036972455741e-17,0.0,0.0,1.837228438296704e-17,1,-4.629386901855469,83.44575500488281,0.0,300.0,300.0,1.9142127638097035,1,1,0,1,0
6,6,1,0.699999988079071,dense_preserve30,0,10.074475822693536,11.394870009835147,1,8.240714306142845,10.074475822693536,11.394870009835147,1,10.074475822693536,1,1.6611834181433267e-09,0.0,0.0,1.6611834181433263e-09,1,-14.683189392089844,87.15186309814453,0.0,300.0,300.0,0.20697620061100674,1,1,1,1,1
6,6,1,0.699999988079071,dense_equal20,0,10.074475822693536,11.394870009835147,1,8.240714306142845,10.074475822693536,11.394870009835147,1,10.074475822693536,1,1.6611834181433267e-09,0.0,0.0,1.661183414668866e-09,1,-14.683189392089844,87.15186309814453,0.0,300.0,300.0,0.20697620061100674,1,1,1,1,1
7,7,1,0.699999988079071,dense_preserve30,0,10.157066724119403,12.883909738643759,1,9.594331595186935,10.157066724119403,12.883909738643759,1,10.157066724119403,1,5.418197277444584e-10,0.0,0.0,5.418197277444584e-10,1,-6.491523742675781,84.41511535644531,0.0,300.0,300.0,1.3845858306192576,1,1,1,1,1
7,7,1,0.699999988079071,dense_equal20,0,10.157066724119403,12.883909738643759,1,9.594331595186935,10.157066724119403,12.883909738643759,1,10.157066724119403,1,5.418197277444584e-10,0.0,0.0,5.418197577270487e-10,1,-6.491523742675781,84.41511535644531,0.0,300.0,300.0,1.3845858306192576,1,1,1,1,1
8,8,1,0.699999988079071,dense_preserve30,0,10.102972993959016,10.414138036444822,1,17.312520809447527,10.102972993959016,10.414138036444822,1,10.102972993959016,1,2.62672087478051e-08,0.0,0.0,2.62672087478051e-08,1,-1.845428466796875,81.23843383789062,0.0,300.0,300.0,2.5428462981266486,1,1,0,1,0
8,8,1,0.699999988079071,dense_equal20,0,10.102972993959016,10.414138036444822,1,17.312520809447527,10.102972993959016,10.414138036444822,1,10.102972993959016,1,2.62672087478051e-08,0.0,0.0,2.626720876640871e-08,1,-1.845428466796875,81.23843383789062,0.0,300.0,300.0,2.5428462981266486,1,1,0,1,0
9,9,1,0.800000011920929,dense_preserve30,0,10.00794274845667,11.267053613788507,1,14.789615191624897,10.00794274845667,11.267053613788507,1,10.00794274845667,1,2.6962954313172996e-09,0.0,0.0,2.6962954313172996e-09,1,-15.440147399902344,87.90528106689453,0.0,300.0,300.0,0.07042196553748933,1,1,1,1,1
9,9,1,0.800000011920929,dense_equal20,0,10.00794274845667,11.267053613788507,1,14.789615191624897,10.00794274845667,11.267053613788507,1,10.00794274845667,1,2.6962954313172996e-09,0.0,0.0,2.6962954636985767e-09,1,-15.440147399902344,87.90528106689453,0.0,300.0,300.0,0.07042196553748933,1,1,1,1,1
10,10,1,0.800000011920929,dense_preserve30,1,10.11166200424335,14.51552898294506,1,13.477255330464398,10.11166200424335,14.51552898294506,1,10.11166200424335,1,3.4523507304206218e-18,0.0,0.0,3.4523507304206218e-18,1,-4.334510803222656,84.94378662109375,0.0,300.0,300.0,2.0118263814711503,1,1,0,1,0
10,10,1,0.800000011920929,dense_equal20,1,10.11166200424335,14.515528982945064,1,13.477255330464398,10.11166200424335,14.515528982945064,1,10.11166200424335,1,8.630876826051553e-17,0.0,0.0,3.4523507304206218e-18,1,-4.334510803222656,84.94378662109375,0.0,300.0,300.0,2.0118263814711503,1,1,0,1,0
11,11,1,0.800000011920929,dense_preserve30,1,10.212641824937155,11.786694557626067,1,14.671948053617445,10.212641824937155,11.786694557626067,1,10.212641824937155,1,2.2557685274250848e-18,0.0,0.0,2.2557685274250848e-18,1,-2.5298080444335938,82.71930694580078,0.0,300.0,300.0,2.760445706738533,1,1,0,1,0
11,11,1,0.800000011920929,dense_equal20,1,10.212641824937156,11.786694557626067,1,14.671948053617443,10.212641824937156,11.786694557626067,1,10.212641824937156,1,2.9324990856526105e-17,0.0,0.0,2.0301916746825764e-17,1,-2.5298080444335938,82.71930694580078,0.0,300.0,300.0,2.760445706738533,1,1,0,1,0
12,12,1,0.8999999761581421,dense_preserve30,25,10.126472893403044,11.906308253046976,1,8.576891699287454,10.126472893403044,11.906308253046976,1,10.126472893403044,1,2.219299211065901e-18,0.0,0.0,2.219299211065901e-18,1,-13.939041137695312,88.33872985839844,0.0,300.0,300.0,0.37057660312128415,1,1,1,1,1
12,12,1,0.8999999761581421,dense_equal20,3,10.033846185339018,11.83368621721076,1,8.054044173362966,10.033846185339018,11.83368621721076,1,10.033846185339018,1,3.107018895492262e-17,0.0,0.0,2.2192992110659013e-17,1,-14.612007141113281,88.37147521972656,0.0,300.0,300.0,0.37057660312128415,1,1,1,1,1
13,13,1,0.8999999761581421,dense_preserve30,0,10.138278003948912,15.46706525532376,1,14.70237577484129,10.138278003948912,15.46706525532376,1,10.138278003948912,1,2.6256090138590146e-09,0.0,0.0,2.625609013859014e-09,1,-5.514610290527344,85.5787353515625,0.0,300.0,300.0,1.8233174671618,1,1,0,1,0
13,13,1,0.8999999761581421,dense_equal20,0,10.138278003948912,15.46706525532376,1,14.70237577484129,10.138278003948912,15.46706525532376,1,10.138278003948912,1,2.6256090138590146e-09,0.0,0.0,2.6256089926475746e-09,1,-5.514610290527344,85.5787353515625,0.0,300.0,300.0,1.8233174671618,1,1,0,1,0
14,14,1,0.8999999761581421,dense_preserve30,0,10.024556721812631,12.019420555098739,1,16.58604917508757,10.024556721812631,12.019420555098739,1,10.024556721812631,1,9.72826543129422e-09,0.0,0.0,9.728265431294218e-09,1,-3.2667160034179688,83.42499542236328,0.0,300.0,300.0,3.2897878953569832,1,1,0,1,0
14,14,1,0.8999999761581421,dense_equal20,0,10.024556721812631,12.019420555098739,1,16.58604917508757,10.024556721812631,12.019420555098739,1,10.024556721812631,1,9.72826543129422e-09,0.0,0.0,9.728265452568893e-09,1,-3.2667160034179688,83.42499542236328,0.0,300.0,300.0,3.2897878953569832,1,1,0,1,0
15,15,1,1.0,dense_preserve30,0,10.298469884006643,13.398742463755546,1,6.545891136343826,10.298469884006643,13.398742463755546,1,10.298469884006643,1,8.090726894777049e-10,0.0,0.0,8.090726894777049e-10,1,-16.07929229736328,88.69061279296875,0.0,300.0,300.0,0.49065293878195976,1,1,1,1,1
15,15,1,1.0,dense_equal20,0,10.298469884006643,13.398742463755546,1,6.545891136343826,10.298469884006643,13.398742463755546,1,10.298469884006643,1,8.090726894777049e-10,0.0,0.0,8.090726438824068e-10,1,-16.07929229736328,88.69061279296875,0.0,300.0,300.0,0.49065293878195976,1,1,1,1,1
16,16,1,1.0,dense_preserve30,0,11.15216357700092,17.173286669861117,1,10.082305061793447,11.15216357700092,17.173286669861117,1,11.15216357700092,1,2.8525343337453124e-09,0.0,0.0,2.8525343337453124e-09,1,-6.832008361816406,86.4084701538086,0.0,300.0,300.0,0.9547866084431431,1,1,1,1,1
16,16,1,1.0,dense_equal20,0,11.15216357700092,17.173286669861117,1,10.082305061793447,11.15216357700092,17.173286669861117,1,11.15216357700092,1,2.8525343337453124e-09,0.0,0.0,2.8525342871880195e-09,1,-6.832008361816406,86.4084701538086,0.0,300.0,300.0,0.9547866084431431,1,1,1,1,1
17,17,1,1.0,dense_preserve30,9,10.003089890461194,12.67867759582829,1,17.32910477868154,10.003089890461194,12.67867759582829,1,10.003089890461194,1,1.4301680896278144e-16,0.0,0.0,1.4301680896278144e-16,1,3.6988525390625,80.77171325683594,0.0,300.0,300.0,1.851360657265757,0,0,0,1,0
17,17,1,1.0,dense_equal20,7,10.023330508176302,12.543399339110117,1,17.65896514523575,10.023330508176302,12.543399339110117,1,10.023330508176302,1,3.798883988073882e-17,0.0,0.0,2.905028932056498e-17,1,3.5221023559570312,80.85385131835938,0.0,300.0,300.0,1.851360657265757,0,0,0,1,0
18,18,2,0.5,dense_preserve30,5,10.076602110196127,11.263674964521915,1,16.921053616005782,10.176984932432742,10.042997019042613,1,10.176984932432742,1,0.0045766163196372615,0.42626658467187833,0.8233181374256912,8.789142012993012e-12,1,-11.125694274902344,81.59661102294922,0.7847442626953125,32.54292297363281,22.885704040527344,0.753272392411596,1,1,1,1,1
