candidate_index,sample_index,sample_id,scene_id,source_dataset,source_sample_index,selection_role,k,ratio,active_count,large_scan,min_target_separation_deg,eep_psll_db,hfss_psll_db,delta_psll_db,eep_nearest_iso_db,hfss_nearest_iso_db,delta_nearest_iso_db,eep_local_iso_db,hfss_local_iso_db,delta_local_iso_db,eep_mainlobe_gain_db,hfss_mainlobe_gain_db,delta_mainlobe_gain_db,eep_target_spread_db,hfss_target_spread_db,eep_pointing_error_deg,hfss_pointing_error_deg,all_case_worst_active_rl_db,all_case_worst_total_rl_db,gate15,strict_gate20,mainlobe_gate,active_RL_gate,strict_engineering_gate,eep_gate15,hard_negative,hard_positive,fullwave_complete,near_boundary,training_priority
0,36,dense_hfss_c036,scene_036_1c512d44ac59d831aa92,dense_local_eep_joint_run02,36,sparse_multibeam_joint_positive,4,0.5,106,0,21.625534057617188,-6.277412414550781,-6.277412414550781,0.0,26.74869155883789,26.748687744140625,-3.814697265625e-06,22.62230682373047,22.62232208251953,1.52587890625e-05,78.27159118652344,78.27159118652344,0.0,0.16300201416015625,0.16300201416015625,0.40515532954041805,0.40515532954041805,10.047130578906497,10.008054879965464,1,1,1,1,1,1,0,1,1,1,5
1,18,dense_hfss_c018,scene_018_a2305a41e138a5f82a44,dense_local_eep_joint_run02,18,sparse_multibeam_joint_positive,2,0.5,106,0,30.836536407470703,-11.125694274902344,-11.125709533691406,-1.52587890625e-05,32.54291534423828,32.54291534423828,0.0,22.885704040527344,22.885665893554688,-3.814697265625e-05,81.59661102294922,81.59661102294922,0.0,0.7847442626953125,0.7847442626953125,0.753272392411596,0.753272392411596,10.076602987260168,10.042996997337399,1,1,1,1,1,1,0,1,1,1,5
2,19,dense_hfss_c019,scene_019_d2ef96b17c2e8db0f43e,dense_local_eep_joint_run02,19,sparse_multibeam_joint_positive,2,0.5,102,1,53.63685989379883,-6.498176574707031,-6.498176574707031,0.0,27.570087432861328,27.570091247558594,3.814697265625e-06,23.832191467285156,23.83220672607422,1.52587890625e-05,79.35733795166016,79.35733032226562,-7.62939453125e-06,2.5599212646484375,2.5599288940429688,0.8411287694562455,0.8411287694562455,10.014938464024173,10.021288934938974,1,1,1,1,1,1,0,1,1,1,5
3,39,dense_hfss_c039,scene_039_d3f0d87f4f6c529a4a83,dense_local_eep_joint_run02,39,sparse_multibeam_joint_positive,4,0.6000000238418579,129,0,15.059062004089355,-9.437660217285156,-9.437660217285156,0.0,28.79491424560547,28.794960021972656,4.57763671875e-05,23.13372802734375,23.13372802734375,0.0,80.09257507324219,80.09257507324219,0.0,0.10880279541015625,0.1088104248046875,0.8796393222310983,0.8796393222310983,10.01654018317861,10.0028350027004,1,1,1,1,1,1,0,1,1,1,5
4,21,dense_hfss_c021,scene_021_7fa23c6b18cbda6da517,dense_local_eep_joint_run02,21,sparse_multibeam_joint_positive,2,0.6000000238418579,127,0,33.27549362182617,-11.505256652832031,-11.505256652832031,0.0,33.74436950683594,33.74427795410156,-9.1552734375e-05,22.465225219726562,22.465232849121094,7.62939453125e-06,82.34886169433594,82.34886169433594,0.0,1.0194320678710938,1.0194244384765625,0.6708795507678821,0.6708795507678821,10.028348163032925,10.029596322957566,1,1,1,1,1,1,0,1,1,1,5
5,23,dense_hfss_c023,scene_023_54c86e7b3dff8944bceb,dense_local_eep_joint_run02,23,sparse_multibeam_joint_positive,2,0.6000000238418579,131,1,70.64033508300781,-5.3310699462890625,-5.331077575683594,-7.62939453125e-06,29.52991485595703,29.529911041259766,-3.814697265625e-06,23.651050567626953,23.651058197021484,7.62939453125e-06,80.59180450439453,80.59180450439453,0.0,2.7721481323242188,2.7721481323242188,1.290335458576411,1.290335458576411,10.146188437922445,10.336560829847494,1,1,1,1,1,1,0,1,1,1,5
6,60,dense_hfss_c060,scene_060_ab9db79be4ac3f43ecdf,dense_local_eep_joint_run02,60,sparse_multibeam_joint_positive,6,0.699999988079071,134,1,20.716144561767578,-5.5255279541015625,-5.525520324707031,7.62939453125e-06,25.163070678710938,25.163040161132812,-3.0517578125e-05,22.852920532226562,22.852928161621094,7.62939453125e-06,78.10810852050781,78.10811614990234,7.62939453125e-06,0.10918426513671875,0.10918426513671875,0.9352186527245646,0.9352186527245646,10.026488878249289,10.040182414933724,1,1,1,1,1,1,0,1,1,1,5
7,42,dense_hfss_c042,scene_042_9cfbf378fa99d359d5cf,dense_local_eep_joint_run02,42,sparse_multibeam_joint_positive,4,0.699999988079071,152,1,23.54428482055664,-7.3621826171875,-7.362190246582031,-7.62939453125e-06,28.098247528076172,28.098255157470703,7.62939453125e-06,22.657470703125,22.657470703125,0.0,78.54948425292969,78.54948425292969,0.0,2.4954833984375,2.4954986572265625,1.4114732699568016,1.4114732699568016,10.024549338658433,10.296931088065195,1,1,1,1,1,1,0,1,1,1,5
8,24,dense_hfss_c024,scene_024_59f4a151f653906f6717,dense_local_eep_joint_run02,24,sparse_multibeam_joint_positive,2,0.699999988079071,144,0,25.092235565185547,-12.480804443359375,-12.48077392578125,3.0517578125e-05,28.12316131591797,28.123191833496094,3.0517578125e-05,24.439361572265625,24.439380645751953,1.9073486328125e-05,83.56539916992188,83.56536102294922,-3.814697265625e-05,0.0113983154296875,0.011444091796875,0.5027963584743803,0.5027963584743803,10.029945790370775,10.619559143892465,1,1,1,1,1,1,0,1,1,1,5
9,45,dense_hfss_c045,scene_045_7b434446764ab4cecbca,dense_local_eep_joint_run02,45,sparse_multibeam_joint_positive,4,0.800000011920929,167,1,17.196489334106445,-6.4200286865234375,-6.420013427734375,1.52587890625e-05,27.5838623046875,27.583812713623047,-4.9591064453125e-05,22.366104125976562,22.36608123779297,-2.288818359375e-05,79.07560729980469,79.07560729980469,0.0,2.6510696411132812,2.6510696411132812,1.2409181692031352,1.2409181692031352,10.053541994206228,10.257461665845028,1,1,1,1,1,1,0,1,1,1,5
