case_index,case_id,candidate_index,sample_index,case_kind,task_index,k,ratio,source_csv,worst_active_rl_db,total_rl_db,reflected_power_fraction,complete,complex_nmse,magnitude_rmse_db_visible40,complex_correlation,no_scale_pass
0,c000_combined,0,36,combined,-1,4,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c000_combined.csv,10.338581339339326,11.226022031814535,0.07540459241910007,1,4.375662158995208e-12,2.0215651602484286e-05,0.9999998807907104,1
1,c000_t0,0,36,task,0,4,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c000_t0.csv,10.047130578906497,10.031897797117857,0.09926821674682822,1,5.111689283660015e-12,2.1019566702307202e-05,0.9999999403953552,1
2,c000_t1,0,36,task,1,4,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c000_t1.csv,10.102882939921683,10.008054879965464,0.09981470142483928,1,3.752097157277978e-12,2.1039000785094686e-05,1.0000001192092896,1
3,c000_t2,0,36,task,2,4,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c000_t2.csv,10.107980531888977,10.049390837486172,0.09886917636357709,1,4.3054830534128286e-12,1.996070750465151e-05,0.9999999403953552,1
4,c000_t3,0,36,task,3,4,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c000_t3.csv,10.04765858637888,10.053177856049608,0.09878300068700793,1,4.397287221846735e-12,2.317072903679218e-05,0.9999997615814209,1
5,c001_combined,1,18,combined,-1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c001_combined.csv,10.076602987260168,11.263674897390512,0.07475366849149558,1,4.225345334035735e-12,2.1407500753412023e-05,0.9999997615814209,1
6,c001_t0,1,18,task,0,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c001_t0.csv,10.176985449141503,10.042996997337399,0.0990148423353713,1,4.957137131333944e-12,2.2412361431634054e-05,1.0000001192092896,1
7,c001_t1,1,18,task,1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c001_t1.csv,10.210911287739856,10.10373829039014,0.09763964033013382,1,4.268645333038723e-12,2.2385383999790065e-05,0.9999998807907104,1
8,c002_combined,2,19,combined,-1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c002_combined.csv,10.03367161908956,10.768357853762424,0.08378460270249082,1,2.1492341326784237e-12,1.942979906743858e-05,0.9999999403953552,1
9,c002_t0,2,19,task,0,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c002_t0.csv,10.090272793499258,10.0310865159674,0.09928676221747165,1,1.868495592624586e-12,1.8592991182231344e-05,0.9999995231628418,1
10,c002_t1,2,19,task,1,2,0.5,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\trusted_dense_joint_hfss_smoke_20260724_run01\sources\sources_c002_t1.csv,10.014938464024173,10.021288934938974,0.09951100365669212,1,5.486093350437482e-12,2.4795641365926713e-05,0.9999998807907104,1
