k,ratio,large_scan,candidate_count,hfss_case_count,gate15_count,strict_gate20_count,mainlobe_gate_count,active_RL_gate_count,strict_engineering_gate_count,strict_engineering_gate_rate,hfss_psll_mean_db,hfss_nearest_iso_min_db,hfss_local_iso_min_db,hfss_active_rl_min_db,delta_psll_max_abs_db,delta_local_iso_max_abs_db
2,0.5,0,1,3,1,1,1,1,1,1.0,-11.125709533691406,32.54291534423828,22.885665893554688,10.076602987260168,1.52587890625e-05,3.814697265625e-05
2,0.5,1,1,3,1,1,1,1,1,1.0,-6.498176574707031,27.570091247558594,23.83220672607422,10.014938464024173,0.0,1.52587890625e-05
2,0.5,all,2,6,2,2,2,2,2,1.0,-8.811943054199219,27.570091247558594,22.885665893554688,10.014938464024173,1.52587890625e-05,3.814697265625e-05
2,0.6,0,1,3,1,1,1,1,1,1.0,-11.505256652832031,33.74427795410156,22.465232849121094,10.028348163032925,0.0,7.62939453125e-06
2,0.6,1,1,3,1,1,1,1,1,1.0,-5.331077575683594,29.529911041259766,23.651058197021484,10.146188437922445,7.62939453125e-06,7.62939453125e-06
2,0.6,all,2,6,2,2,2,2,2,1.0,-8.418167114257812,29.529911041259766,22.465232849121094,10.028348163032925,7.62939453125e-06,7.62939453125e-06
2,0.7,0,1,3,1,1,1,1,1,1.0,-12.48077392578125,28.123191833496094,24.439380645751953,10.029945790370775,3.0517578125e-05,1.9073486328125e-05
2,0.7,all,1,3,1,1,1,1,1,1.0,-12.48077392578125,28.123191833496094,24.439380645751953,10.029945790370775,3.0517578125e-05,1.9073486328125e-05
2,0.8,0,1,3,1,1,1,1,1,1.0,-12.143730163574219,26.384597778320312,23.875328063964844,10.021915679962017,7.62939453125e-06,7.62939453125e-06
2,0.8,all,1,3,1,1,1,1,1,1.0,-12.143730163574219,26.384597778320312,23.875328063964844,10.021915679962017,7.62939453125e-06,7.62939453125e-06
2,0.9,0,1,3,1,1,1,1,1,1.0,-14.649505615234375,32.57271957397461,25.783477783203125,10.008860691894437,2.288818359375e-05,2.288818359375e-05
2,0.9,all,1,3,1,1,1,1,1,1.0,-14.649505615234375,32.57271957397461,25.783477783203125,10.008860691894437,2.288818359375e-05,2.288818359375e-05
2,all,all,7,21,7,7,7,7,7,1.0,-10.533461434500557,26.384597778320312,22.465232849121094,10.008860691894437,3.0517578125e-05,3.814697265625e-05
4,0.5,0,1,5,1,1,1,1,1,1.0,-6.277412414550781,26.748687744140625,22.62232208251953,10.047130578906497,0.0,1.52587890625e-05
4,0.5,all,1,5,1,1,1,1,1,1.0,-6.277412414550781,26.748687744140625,22.62232208251953,10.047130578906497,0.0,1.52587890625e-05
4,0.6,0,1,5,1,1,1,1,1,1.0,-9.437660217285156,28.794960021972656,23.13372802734375,10.01654018317861,0.0,0.0
4,0.6,all,1,5,1,1,1,1,1,1.0,-9.437660217285156,28.794960021972656,23.13372802734375,10.01654018317861,0.0,0.0
4,0.7,1,1,5,1,1,1,1,1,1.0,-7.362190246582031,28.098255157470703,22.657470703125,10.024549338658433,7.62939453125e-06,0.0
4,0.7,all,1,5,1,1,1,1,1,1.0,-7.362190246582031,28.098255157470703,22.657470703125,10.024549338658433,7.62939453125e-06,0.0
4,0.8,1,1,5,1,1,1,1,1,1.0,-6.420013427734375,27.583812713623047,22.36608123779297,10.053541994206228,1.52587890625e-05,2.288818359375e-05
4,0.8,all,1,5,1,1,1,1,1,1.0,-6.420013427734375,27.583812713623047,22.36608123779297,10.053541994206228,1.52587890625e-05,2.288818359375e-05
4,0.9,0,1,5,1,1,1,1,1,1.0,-9.633453369140625,28.548439025878906,23.401920318603516,10.032839859396965,2.288818359375e-05,0.0
4,0.9,1,1,5,1,1,1,1,1,1.0,-6.189659118652344,26.092552185058594,22.892845153808594,10.07004707502963,0.0,0.0
