candidate_index,source_dense_candidate_index,sample_index,k,ratio,large_scan,min_target_separation_deg,eep_psll_db,eep_nearest_iso_db,eep_local_iso_db,eep_combined_active_rl_db,eep_strict_engineering_gate,expected_hfss_case_count
0,36,36,4,0.5,0,21.625534057617188,-6.277412414550781,26.748680114746094,22.622310638427734,10.338578506092757,1,5
1,18,18,2,0.5,0,30.836536407470703,-11.125694274902344,32.54292297363281,22.885704040527344,10.076602110196127,1,3
2,19,19,2,0.5,1,53.63685989379883,-6.4981689453125,27.570083618164062,23.832191467285156,10.033672145891938,1,3
3,39,39,4,0.6000000238418579,0,15.059062004089355,-9.437660217285156,28.79491424560547,23.133731842041016,10.01654025868177,1,5
4,21,21,2,0.6000000238418579,0,33.27549362182617,-11.5052490234375,33.744384765625,22.465225219726562,10.039290883764506,1,3
5,23,23,2,0.6000000238418579,1,70.64033508300781,-5.331062316894531,29.529926300048828,23.651046752929688,10.146187895220471,1,3
6,60,60,6,0.699999988079071,1,20.716144561767578,-5.5255279541015625,25.163070678710938,22.852920532226562,10.031649475237444,1,7
7,42,42,4,0.699999988079071,1,23.54428482055664,-7.3621826171875,28.098251342773438,22.657470703125,10.116212669958678,1,5
8,24,24,2,0.699999988079071,0,25.092235565185547,-12.480804443359375,28.123149871826172,24.439353942871094,10.135778927580239,1,3
9,45,45,4,0.800000011920929,1,17.196489334106445,-6.4200286865234375,27.58385467529297,22.366092681884766,10.139429718061418,1,5
10,27,27,2,0.800000011920929,0,14.186053276062012,-12.143714904785156,26.384605407714844,23.875320434570312,10.229236969818004,1,3
11,66,66,6,0.8999999761581421,1,13.747703552246094,-7.693016052246094,29.99420928955078,23.76397705078125,10.407765203092032,1,7
12,48,48,4,0.8999999761581421,0,13.632284164428711,-9.633438110351562,28.54845428466797,23.40192413330078,10.435714785787022,1,5
13,49,49,4,0.8999999761581421,1,30.004592895507812,-6.189659118652344,26.092552185058594,22.892845153808594,10.07571057773908,1,5
14,30,30,2,0.8999999761581421,0,31.914785385131836,-14.649528503417969,32.57270050048828,25.78345489501953,10.044921465611875,1,3
