name,level,status,source_path,snapshot_path,size_bytes,sha256,note
expanded_prepare,A,passed,hfss_outputs/expanded_independent_scenes_20260724_run02/prepare_summary.json,baselines/2026-07-24-expanded-residual/snapshots/expanded_prepare.json,740,91d0a0dccce2237c4a4a22c5bf0d528391013172434d3f1ab24eb3c0d43ecb03,"Forty-five independent target scenes, 105 paired candidates, and the pre-HFSS physics gate."
expanded_manifest,A,diagnostic,hfss_outputs/expanded_independent_scenes_20260724_run02/candidate_manifest.csv,baselines/2026-07-24-expanded-residual/snapshots/expanded_manifest.csv,41389,eeb5f498dd98dd17d63d14e42a67765d337867dab6fa32aef2ab37709e4ceb5f,"Per-candidate control, intermediate-error, targeted-mainlobe, and lower-ratio metadata."
mapping_smoke,A,passed,hfss_outputs/expanded_independent_scenes_hfss_smoke_20260724_run01/analysis_summary.json,baselines/2026-07-24-expanded-residual/snapshots/mapping_smoke.json,884,d60f2d88c7d8e6a12668e9371491f110fb3559540836f8f26d40cf8d8ae73cd3,"Twenty-one-case K=6 control, mainlobe-failure, and lower-ratio mapping smoke."
expanded_hfss_analysis,A,passed,hfss_outputs/expanded_independent_scenes_hfss_20260724_run01/analysis_summary.json,baselines/2026-07-24-expanded-residual/snapshots/expanded_hfss_analysis.json,888,d6a629de8de27bb5dc1fd0ab18f2b63cfc2e770826718f6aa8f2388669dbe811,Complete 455-case no-scale EEP/direct-HFSS analysis for 105 candidates.
expanded_hfss_labels,A,fullwave_labels,hfss_outputs/expanded_independent_scenes_hfss_20260724_run01/candidate_residual_labels.csv,baselines/2026-07-24-expanded-residual/snapshots/expanded_hfss_labels.csv,61016,b1bb53b42fdfbc7287952e734d49f2aa380c37bf4dd4b86b911910ee49f3a533,Full-wave residual and engineering-gate labels for all expanded candidates.
critic_dataset_summary,A,training_open,hfss_outputs/trusted_dense_implementation_residual_dataset_20260724_run02/build_summary.json,baselines/2026-07-24-expanded-residual/snapshots/critic_dataset_summary.json,2148,2f6a5ccfe724fe471e8619b2cb9fe914e3325e4f1ff26c229f5e467e634a55e8,Scene-grouped 141-candidate and 60-scene three-source dataset audit.
critic_dataset,A,training_dataset,hfss_outputs/trusted_dense_implementation_residual_dataset_20260724_run02/fullwave_residual_dataset_v2.npz,baselines/2026-07-24-expanded-residual/snapshots/critic_dataset.npz,427643,823545f2115a7fce210e35424eb4d66b60423441ad6a8f5d09b451f6cb10658a,"Compact mask, task-weight, target, hardware-condition, residual, gate, and split arrays."
five_seed_summary,A,trained_experimental,hfss_outputs/trusted_dense_implementation_residual_critic_20260724_run02/five_seed_summary.json,baselines/2026-07-24-expanded-residual/snapshots/five_seed_summary.json,4758,e51a9f25eb30f8afa4768450ed154e0bcc1fd023d67c7f084086a72e27a96dd3,Five-seed aggregate critic metrics on eleven held-out scenes.
five_seed_metrics,A,diagnostic,hfss_outputs/trusted_dense_implementation_residual_critic_20260724_run02/five_seed_summary.csv,baselines/2026-07-24-expanded-residual/snapshots/five_seed_metrics.csv,1578,b371d8806ca758729b147dce1728674dea981a54f040744f4d7f5606f4a5f7aa,"Five-seed AUROC, AUPRC, ECE, ranking, and confidence intervals."
best_checkpoint,A,experimental_checkpoint,hfss_outputs/trusted_dense_implementation_residual_critic_20260724_run02/seed_20260726/residual_critic_v2.pt,baselines/2026-07-24-expanded-residual/snapshots/best_checkpoint.pt,771061,96e28f40d2cf69a0a7acb30cfa6fa0ef153987cb8060ad0bf951169f5d353260,Best validation-seed 188407-parameter residual critic checkpoint.
best_run_summary,A,diagnostic,hfss_outputs/trusted_dense_implementation_residual_critic_20260724_run02/seed_20260726/run_summary.json,baselines/2026-07-24-expanded-residual/snapshots/best_run_summary.json,15684,fdee2a22907182fe2b52e072f12385b8bb8a3e40a221b3158aba7044be65a9cf,"Best-seed train, validation, test, calibration, and selection metrics."
critic_acceptance,A,not_promoted,hfss_outputs/trusted_dense_implementation_critic_decision_20260724_run04/critic_acceptance.json,baselines/2026-07-24-expanded-residual/snapshots/critic_acceptance.json,3453,c1cf76d972470d5ffa3e2a92e1885675965d51458fb63a97b5d4d422f970514b,Authoritative promotion decision including gate15 AUROC and calibration failures.
critic_seed_test,A,diagnostic,hfss_outputs/trusted_dense_implementation_critic_decision_20260724_run04/five_seed_test_metrics.csv,baselines/2026-07-24-expanded-residual/snapshots/critic_seed_test.csv,2150,82df4e9b65d0c22462fec148b2e09330a28e2852a66cb43cab48909e5d679650,Per-seed held-out scene residual and gate metrics.
