candidate_index,sample_index,scene_id,target_hash,parent_candidate_index,variant_kind,k,parent_ratio,active_ratio,ratio_delta,active_count,phase_error_rms_deg,gain_error_rms_db,dropout_count,phase_ramp_deg,perturbation_seed,residual_intensity,nominal_eep_gate15,nominal_eep_gate20,actual_basis_gate15,actual_basis_gate20,actual_basis_mainlobe_gate,predicted_mainlobe_failure,nominal_psll_db,actual_basis_psll_db,nominal_nearest_iso_db,actual_basis_nearest_iso_db,nominal_local_iso_db,actual_basis_local_iso_db,nominal_weakest_target_gain_db,actual_basis_weakest_target_gain_db,actual_basis_pointing_error_deg,combined_worst_active_rl_db,combined_total_rl_db,task_significant_worst_active_rl_db,robust_active_gate,expected_hfss_case_count
0,100000,expanded_100000_391e33a8305ff00f,391e33a8305ff00f,0,nominal_control,4,0.4140625,0.4140625,0.0,106,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.881446838378906,-5.881446838378906,27.665863037109375,27.665863037109375,22.969810485839844,22.969810485839844,78.38299560546875,78.38299560546875,0.6180056077586904,10.03639871975578,11.231441637421666,10.014986180373631,1,5
1,100000,expanded_100000_391e33a8305ff00f,391e33a8305ff00f,0,targeted_mainlobe_failure,4,0.4140625,0.4140625,0.0,106,19.749818801879883,0.0,0,1.5,-1,2.3496861908107203,1,1,1,1,0,1,-5.881446838378906,-5.377464294433594,27.665863037109375,25.050823211669922,22.969810485839844,21.59021759033203,78.38299560546875,78.25975799560547,2.065621321289311,-0.45458431719361136,11.052109207940617,9.078497683306585,0,5
2,100001,expanded_100001_a06f20efa93cb102,a06f20efa93cb102,0,nominal_control,4,0.4140625,0.4140625,0.0,106,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-6.122413635253906,-6.122413635253906,26.936363220214844,26.936363220214844,22.735687255859375,22.735687255859375,78.14541625976562,78.14541625976562,8.537736462515939e-07,10.36657211346039,11.045959203344012,10.031128088577939,1,5
3,100001,expanded_100001_a06f20efa93cb102,a06f20efa93cb102,0,targeted_mainlobe_failure,4,0.4140625,0.4140625,0.0,106,19.954696655273438,0.0,0,3.0,-1,2.7922513630230057,1,1,0,0,0,1,-6.122413635253906,-6.048789978027344,26.936363220214844,23.02313995361328,22.735687255859375,21.03685760498047,78.14541625976562,78.20256042480469,2.516941476548173,5.137834367538848,11.194931390732417,9.193248866902776,0,5
4,100002,expanded_100002_2a5bd091b9b20386,2a5bd091b9b20386,0,nominal_control,4,0.4140625,0.4140625,0.0,106,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-5.990997314453125,-5.990997314453125,26.68256378173828,26.68256378173828,22.871692657470703,22.871692657470703,78.27896118164062,78.27896118164062,0.6511067549847858,10.05501840685067,11.126810613523917,10.055240885870088,1,5
5,100002,expanded_100002_2a5bd091b9b20386,2a5bd091b9b20386,0,targeted_mainlobe_failure,4,0.4140625,0.4140625,0.0,106,19.571496963500977,0.0,0,1.5,-1,2.7452228550827975,1,1,0,0,0,1,-5.990997314453125,-4.878807067871094,26.68256378173828,24.787704467773438,22.871692657470703,22.108444213867188,78.27896118164062,78.04165649414062,2.113508718202138,-4.7857436845471515,10.690079191812952,8.864010099170288,0,5
6,100003,expanded_100003_d2a18d05fd31a230,d2a18d05fd31a230,1,nominal_control,2,0.4140625,0.4140625,0.0,106,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-10.3021240234375,-10.3021240234375,26.087387084960938,26.087387084960938,23.568260192871094,23.568260192871094,81.99815368652344,81.99815368652344,1.2074182697257333e-06,10.061136180340895,11.419920325418575,10.083427061750616,1,3
7,100003,expanded_100003_d2a18d05fd31a230,d2a18d05fd31a230,1,targeted_mainlobe_failure,2,0.4140625,0.4140625,0.0,106,23.6594295501709,0.0,0,3.0,-1,4.465456361465459,1,1,1,1,0,1,-10.3021240234375,-7.8933258056640625,26.087387084960938,27.3634033203125,23.568260192871094,22.285144805908203,81.99815368652344,81.8667221069336,2.5708885244653987,-3.3945991697995015,11.116144146187729,8.707632727051548,0,3
8,100004,expanded_100004_bb1b3d2f0a523733,bb1b3d2f0a523733,1,nominal_control,2,0.4140625,0.4140625,0.0,106,0.0,0.0,0,0.0,-1,0.0,1,1,1,1,1,0,-11.237274169921875,-11.237274169921875,30.61844253540039,30.61844253540039,22.201889038085938,22.201889038085938,81.59605407714844,81.59605407714844,1.2074182697257333e-06,10.206483510667262,11.252370058607736,10.051672053509142,1,3
9,100004,expanded_100004_bb1b3d2f0a523733,bb1b3d2f0a523733,1,targeted_mainlobe_failure,2,0.4140625,0.4140625,0.0,106,17.209875106811523,0.0,0,1.5,-1,5.833845101039813,1,1,1,1,0,1,-11.237274169921875,-7.10858154296875,30.61844253540039,29.213024139404297,22.201889038085938,20.848148345947266,81.59605407714844,81.61140441894531,2.0000259279305133,8.875137682083526,11.259594947018119,9.254428975665382,0,3
