name,level,status,source_path,snapshot_path,size_bytes,sha256,note
boundary_prepare,A,passed,hfss_outputs/trusted_dense_boundary_dataset_20260724_run01/prepare_summary.json,baselines/2026-07-24-implementation-residual/snapshots/boundary_prepare.json,454,9c45bfdd86721cd20020a832a8b45b1b942e2643e9c7a79213309caa72b2e826,Twenty-one implementation-boundary and lower-ratio candidates forming a 95-case HFSS batch.
boundary_manifest,A,diagnostic,hfss_outputs/trusted_dense_boundary_dataset_20260724_run01/candidate_manifest.csv,baselines/2026-07-24-implementation-residual/snapshots/boundary_manifest.csv,6499,ea04ac5df8dde5f36a796b402e1c64f0c35d3e5b5476135d5001895de8729ad6,"Per-candidate perturbation, ratio, nominal EEP, predicted actual-basis, and active-RL metadata."
mapping_smoke,A,passed,hfss_outputs/trusted_dense_boundary_hfss_mapping_smoke_20260724_run01/analysis_summary.json,baselines/2026-07-24-implementation-residual/snapshots/mapping_smoke.json,808,782b87333a8ba404dae2419cc0a3bd4af66aced55cf3daca70d6230dcc717013,Seven-case K=6 dual-excitation mapping smoke before the full batch.
boundary_hfss_analysis,A,passed,hfss_outputs/trusted_dense_boundary_hfss_20260724_run01/analysis_summary.json,baselines/2026-07-24-implementation-residual/snapshots/boundary_hfss_analysis.json,858,efe84fc4f04431c31af9fbd879972af241d04bb3ef1b5ac3bb6ab1d9e936ede7,Complete 95-case actual-EEP/direct-HFSS mapping and nominal-command residual analysis.
boundary_hfss_labels,A,hard_negative_labels,hfss_outputs/trusted_dense_boundary_hfss_20260724_run01/candidate_residual_labels.csv,baselines/2026-07-24-implementation-residual/snapshots/boundary_hfss_labels.csv,13226,b0d20688243944805e8039c46edc006a29c56a18d30161760dc17e7f8797c7bb,Fifteen EEP-pass/HFSS-fail hard negatives and six lower-ratio paired labels.
critic_dataset_summary,A,training_open,hfss_outputs/trusted_dense_implementation_residual_dataset_20260724_run01/build_summary.json,baselines/2026-07-24-implementation-residual/snapshots/critic_dataset_summary.json,1343,5e945a9a55bd655c8b4fd08e46245568cba1afbd5225e3ebe1c7c45578c96ade,Scene-grouped 36-candidate dataset readiness and residual-scale audit.
critic_dataset,A,training_dataset,hfss_outputs/trusted_dense_implementation_residual_dataset_20260724_run01/fullwave_residual_dataset_v2.npz,baselines/2026-07-24-implementation-residual/snapshots/critic_dataset.npz,164005,11a657e504d7d94190b02674678755884e7de6ce92767daa7874a2adcd88ad2b,"Compact mask, task-weight, target, hardware-condition, residual, gate, and split arrays."
five_seed_summary,A,trained_experimental,hfss_outputs/trusted_dense_implementation_residual_critic_20260724_run01/five_seed_summary.json,baselines/2026-07-24-implementation-residual/snapshots/five_seed_summary.json,4327,437f04178438508ce9480c4b2b51613aa1e06b5516bc884b57ee920a0a250db4,Five-seed aggregate critic metrics.
five_seed_metrics,A,diagnostic,hfss_outputs/trusted_dense_implementation_residual_critic_20260724_run01/five_seed_summary.csv,baselines/2026-07-24-implementation-residual/snapshots/five_seed_metrics.csv,1147,016b3b6da04fecc03f4dfee4f68c0e9a775ad7dcbc85d216e125717fbdb26114,"Five-seed AUROC, AUPRC, ECE, ranking, and confidence intervals."
best_checkpoint,A,experimental_checkpoint,hfss_outputs/trusted_dense_implementation_residual_critic_20260724_run01/seed_20260725/residual_critic_v2.pt,baselines/2026-07-24-implementation-residual/snapshots/best_checkpoint.pt,770805,e70a2caa0a6437dd3ab5f219c81a08aba143053ed38e2c6709519f861e966384,Best validation-seed 188343-parameter residual critic checkpoint.
best_run_summary,A,diagnostic,hfss_outputs/trusted_dense_implementation_residual_critic_20260724_run01/seed_20260725/run_summary.json,baselines/2026-07-24-implementation-residual/snapshots/best_run_summary.json,14427,48fdb19793a04a814ed3652f44181e012d3a9726a0fe581f80f5263339640bcf,"Best-seed train, validation, test, calibration, and selection metrics."
critic_acceptance,A,not_promoted,hfss_outputs/trusted_dense_implementation_critic_decision_20260724_run01/critic_acceptance.json,baselines/2026-07-24-implementation-residual/snapshots/critic_acceptance.json,3345,db5dae139fe45d62f242465c8f1224c29556b5d9f2e27b18c1fb3ff59aa77207,Authoritative engineering-promotion decision and failure reasons.
critic_seed_test,A,diagnostic,hfss_outputs/trusted_dense_implementation_critic_decision_20260724_run01/five_seed_test_metrics.csv,baselines/2026-07-24-implementation-residual/snapshots/critic_seed_test.csv,1821,110860c1b2fc0901a2095d53376f52e68c7d805d74aa9bee6f957c930c02a41c,Per-seed scene-test residual and gate metrics.
