candidate_index,parent_candidate_index,sample_index,variant_kind,k,parent_ratio,active_ratio,ratio_delta,active_count,phase_error_rms_deg,gain_error_rms_db,dropout_count,phase_bits,amplitude_bits,perturbation_seed,nominal_eep_gate15,nominal_eep_gate20,actual_basis_gate15,actual_basis_gate20,actual_basis_mainlobe_gate,predicted_hard_negative,nominal_psll_db,actual_basis_psll_db,nominal_nearest_iso_db,actual_basis_nearest_iso_db,nominal_local_iso_db,actual_basis_local_iso_db,combined_worst_active_rl_db,combined_total_rl_db,task_significant_worst_active_rl_db,robust_active_gate,expected_hfss_case_count
0,0,36,implementation_boundary_hard_negative,4,0.5,0.4140625,0.0,106,4.0,0.2,0,6,7,20260842,1,1,0,0,1,1,-6.2774151164286,-6.09759542739728,26.748689310862886,24.154621286120886,22.6223036283776,21.599550485367757,7.5631663079527005,11.09666654544805,9.316228136740257,0,5
1,1,18,implementation_boundary_hard_negative,2,0.5,0.4140625,0.0,106,5.0,0.25,1,6,7,20261997,1,1,0,0,1,1,-11.125687265989285,-10.77671791329334,32.5429196833474,24.219666642496,22.88570627989533,20.28399758536581,-300.0,11.25626453975543,8.390455803138622,0,3
2,2,19,implementation_boundary_hard_negative,2,0.5,0.3984375,0.0,102,4.0,0.2,0,6,7,20262857,1,1,0,0,1,1,-6.498177667276195,-6.559277935890194,27.5700858542535,24.54614830012696,23.832183703211264,23.736440020935632,7.42024863510384,10.683444487207963,8.89649176896077,0,3
3,3,39,implementation_boundary_hard_negative,4,0.6000000238418579,0.50390625,0.0,129,5.0,0.25,1,6,7,20264018,1,1,0,0,1,1,-9.437658434682433,-9.083436369184867,28.794921946800287,24.968187069943824,23.133725612559367,21.12817846908908,-300.0,10.821024068129603,7.554429021139276,0,5
4,4,21,implementation_boundary_hard_negative,2,0.6000000238418579,0.49609375,0.0,127,10.0,0.5,2,6,7,20265353,1,1,0,0,1,1,-11.505253624926794,-11.626354686013315,33.744364465982414,24.770993172053878,22.465229265838815,20.067700100527077,-300.0,10.49032681766504,5.652480256988653,0,3
5,5,23,implementation_boundary_hard_negative,2,0.6000000238418579,0.51171875,0.0,131,5.0,0.25,1,6,7,20266031,1,1,0,0,1,1,-5.331064704226421,-5.437805836816125,29.529911677745517,24.425436091873003,23.651046080442292,22.874440145980046,-300.0,10.640325907880996,8.409167001167623,0,3
6,6,60,implementation_boundary_hard_negative,6,0.699999988079071,0.5234375,0.0,134,1.0,0.05,0,6,7,20266784,1,1,0,0,1,1,-5.525526481445937,-5.417643086441188,25.16306920589463,24.931569340938843,22.852925748351474,22.865619115517404,8.89665848539191,10.918027232244413,9.217136607876382,0,7
7,7,42,implementation_boundary_hard_negative,4,0.699999988079071,0.59375,0.0,152,6.0,0.3,0,6,7,20267975,1,1,0,0,1,1,-7.362182861794153,-7.0976267729988365,28.098245900497453,24.06486807655194,22.657472868020854,21.318377197825477,7.618085720594744,11.108690711751448,7.418040198917267,0,5
8,8,24,implementation_boundary_hard_negative,2,0.699999988079071,0.5625,0.0,144,8.0,0.4,0,6,7,20269095,1,1,0,0,1,1,-12.480797564809578,-11.987497782915298,28.123164816134647,23.692404417302455,24.439356394337132,22.150210150603357,6.700119984118976,11.081879892941519,6.161479848093326,0,3
9,9,45,implementation_boundary_hard_negative,4,0.800000011920929,0.65234375,0.0,167,8.0,0.4,0,6,7,20270105,1,1,0,0,1,1,-6.420024127708942,-6.26796679347251,27.583865697901963,24.466363714805098,22.366099128224207,21.78042437456449,8.587557859073117,11.70255396162081,7.553846738954661,0,5
10,10,27,implementation_boundary_hard_negative,2,0.800000011920929,0.65625,0.0,168,6.0,0.3,0,6,7,20271006,1,1,0,0,1,1,-12.143720916988741,-11.79988698923269,26.384596468030047,24.01877688147126,23.875319947752146,22.465387193304025,8.68398478687922,11.588188070245222,8.02395642330372,0,3
11,11,66,implementation_boundary_hard_negative,6,0.8999999761581421,0.72265625,0.0,185,12.0,0.6,1,6,7,20272385,1,1,0,0,0,1,-7.693012479380172,-6.855319243394092,29.994208531513173,24.743146232660465,23.763984291067338,19.830222090075964,-300.0,12.250335802446264,3.364349092526702,0,7
12,12,48,implementation_boundary_hard_negative,4,0.8999999761581421,0.70703125,0.0,181,10.0,0.5,0,6,7,20273282,1,1,0,0,1,1,-9.6334337152379,-10.025126339293905,28.548459817286933,23.825273570885706,23.401924971670297,21.30163309743179,7.2061833223258995,11.716632598489587,6.3860798335360585,0,5
13,13,49,implementation_boundary_hard_negative,4,0.8999999761581421,0.75,0.0,192,4.0,0.2,0,6,7,20273955,1,1,0,0,1,1,-6.189659905184143,-6.2041023851776345,26.09255070985536,24.806141924784292,22.892845514275457,22.29280523181353,8.379269331668247,13.667452687414839,8.936977530092847,0,5
14,14,30,implementation_boundary_hard_negative,2,0.8999999761581421,0.75390625,0.0,193,10.0,0.5,2,6,7,20275450,1,1,0,0,1,1,-14.649532787508576,-14.440174377433948,32.572732575555534,23.86652527089162,25.783461629619218,20.554942951233784,-300.0,11.878151502467729,6.173365249677399,0,3
15,1,18,paired_lower_ratio,2,0.5,0.40234375,0.01171875,103,0.0,0.0,0,6,7,-1,1,1,1,1,1,0,-10.83269577953169,-10.83269577953169,32.45778119830943,32.45778119830943,22.641912045499183,22.641912045499183,10.017549537917517,11.295827169121058,9.80781140995932,0,3
