metric,mean,ci95_half_width,seed_20260725,seed_20260726,seed_20260727,seed_20260728,seed_20260729
gate15_auroc,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gate15_auprc,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gate15_ece,0.17538865058512393,0.06836341339782465,0.19548075590864752,0.240591016541917,0.15149720200653455,0.05189626457701836,0.23747801389150222
gate20_auroc,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gate20_auprc,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gate20_ece,0.1686654865503702,0.07609382183181827,0.18083963797627284,0.2528409527232205,0.1373613960001551,0.03660386404953897,0.23568158200266354
mainlobe_auroc,nan,nan,nan,nan,nan,nan,nan
strict_engineering_auroc,1.0,0.0,1.0,1.0,1.0,1.0,1.0
rank_gate15_rate,1.0,0.0,1.0,1.0,1.0,1.0,1.0
rank_gate20_rate,1.0,0.0,1.0,1.0,1.0,1.0,1.0
rank_strict_engineering_rate,1.0,0.0,1.0,1.0,1.0,1.0,1.0
conservative_gate15_rate,1.0,0.0,1.0,1.0,1.0,1.0,1.0
conservative_gate20_rate,1.0,0.0,1.0,1.0,1.0,1.0,1.0
conservative_strict_engineering_rate,1.0,0.0,1.0,1.0,1.0,1.0,1.0
oracle_gate15_rate,1.0,0.0,1.0,1.0,1.0,1.0,1.0
oracle_gate20_rate,1.0,0.0,1.0,1.0,1.0,1.0,1.0
oracle_strict_engineering_rate,1.0,0.0,1.0,1.0,1.0,1.0,1.0
