k,ratio,large_scan,n,gate15_rate,strict_gate20_rate,mainlobe_gate_rate,active_RL_gate_rate,psll_mean_db,nearest_iso_mean_db,local_iso_mean_db,worst_active_rl_mean_db,worst_active_rl_max_db
1,0.5,0,1,1.0,1.0,1.0,0.0,-11.824287414550781,300.0,300.0,5.895073245390678,5.895073245390678
1,0.5,1,2,1.0,1.0,0.5,0.0,-5.121982574462891,300.0,300.0,1.3949231062891834,5.459161113188838
1,0.6,0,1,1.0,1.0,1.0,0.0,-13.351722717285156,300.0,300.0,6.755730479209716,6.755730479209716
1,0.6,1,2,1.0,1.0,0.5,0.0,-6.085762023925781,300.0,300.0,1.4112871658884152,2.2384708591068807
1,0.7,0,1,1.0,1.0,1.0,0.0,-14.750007629394531,300.0,300.0,5.098433639697982,5.098433639697982
1,0.7,1,2,1.0,1.0,0.5,0.0,-4.516292572021484,300.0,300.0,-2.0240268749575883,2.715485177703498
1,0.8,0,1,1.0,1.0,1.0,0.0,-15.785797119140625,300.0,300.0,5.182711121782445,5.182711121782445
1,0.8,1,2,1.0,1.0,0.0,0.0,-3.3834991455078125,300.0,300.0,2.618821577043285,3.4957899237595176
1,0.9,0,1,1.0,1.0,1.0,0.0,-14.827842712402344,300.0,300.0,5.2976980681737595,5.2976980681737595
1,0.9,1,2,1.0,1.0,0.0,0.0,-4.518032073974609,300.0,300.0,-1.6502072944370996,8.1117457756346
1,1.0,0,1,1.0,1.0,1.0,0.0,-16.050003051757812,300.0,300.0,8.738882907124111,8.738882907124111
1,1.0,1,2,0.5,0.5,0.5,0.0,-2.5437850952148438,300.0,300.0,-7.027846231070113,8.4295032724023
2,0.5,0,1,1.0,0.0,1.0,0.0,-11.693321228027344,33.41478729248047,18.32452392578125,3.4915322335323684,3.4915322335323684
2,0.5,1,2,0.0,0.0,0.5,0.0,-7.2041473388671875,25.41620635986328,16.12420654296875,0.5882499015641596,1.8102826912201477
2,0.6,0,1,0.0,0.0,1.0,0.0,-12.354301452636719,33.452911376953125,14.204460144042969,0.6938271313463211,0.6938271313463211
2,0.6,1,2,0.5,0.0,0.5,0.0,-5.222023010253906,25.284442901611328,18.587358474731445,0.9487826095536371,1.3320371021832718
2,0.7,0,1,1.0,0.0,1.0,0.0,-11.532752990722656,35.407447814941406,15.914352416992188,3.4010193392704724,3.4010193392704724
2,0.7,1,2,0.0,0.0,0.0,0.0,-5.857601165771484,22.285608291625977,18.485427856445312,-1.2146756352913375,2.03598350006793
2,0.8,0,1,0.0,0.0,1.0,0.0,-14.113929748535156,27.591686248779297,14.466934204101562,2.734784413061717,2.734784413061717
2,0.8,1,2,0.5,0.5,0.0,0.0,-5.488880157470703,24.884368896484375,22.12503433227539,-1.0091487661891003,0.7779012927553909
2,0.9,0,1,1.0,0.0,1.0,0.0,-15.260765075683594,28.056514739990234,18.399063110351562,6.1521825154282075,6.1521825154282075
2,0.9,1,2,0.0,0.0,0.0,0.0,-3.551441192626953,25.717140197753906,17.190105438232422,2.418590402009235,2.448444404517286
2,1.0,0,1,1.0,1.0,1.0,0.0,-14.803962707519531,32.54834747314453,30.839244842529297,1.660569836280742,1.660569836280742
2,1.0,1,2,0.5,0.5,0.0,0.0,-4.563232421875,24.465744018554688,19.22771453857422,-4.855505080728588,-0.345223200618076
4,0.5,0,1,1.0,0.0,1.0,0.0,-6.6613616943359375,25.26648712158203,17.37189483642578,0.37526310189883016,0.37526310189883016
4,0.5,1,2,0.0,0.0,0.0,0.0,-3.2864532470703125,22.48638153076172,14.733760833740234,2.6143267396862697,3.4596735317841527
4,0.6,0,1,1.0,0.0,1.0,0.0,-8.62408447265625,25.76012420654297,17.539154052734375,-2.4825175223868636,-2.4825175223868636
4,0.6,1,2,0.0,0.0,0.0,0.0,-4.537181854248047,22.580265045166016,17.58161163330078,-0.1781105609933491,1.5340366087489632
4,0.7,1,3,0.0,0.0,0.3333333333333333,0.0,-5.939043680826823,24.317203521728516,16.796236673990887,1.908935383427469,2.366286661975077
4,0.8,1,3,0.3333333333333333,0.0,0.3333333333333333,0.0,-5.3593088785807295,25.277150472005207,17.08105723063151,0.6290851990817397,2.8551696207537915
4,0.9,0,1,0.0,0.0,1.0,0.0,-10.501426696777344,24.815093994140625,17.428054809570312,3.3817644795316895,3.3817644795316895
4,0.9,1,2,1.0,0.5,0.5,0.0,-5.061885833740234,26.395477294921875,18.54540252685547,1.639111493535655,2.1746998978893566
4,1.0,0,1,0.0,0.0,1.0,0.0,-11.517936706542969,24.714210510253906,16.877365112304688,3.874063622865636,3.874063622865636
4,1.0,1,2,0.5,0.0,0.5,0.0,-5.559257507324219,25.430076599121094,18.750263214111328,1.9900546117452937,2.873150278076401
6,0.5,0,2,0.0,0.0,0.0,0.0,1.3189582824707031,31.076574325561523,5.171962738037109,-3.154471177250379,-0.7212154192799887
6,0.5,1,5,0.0,0.0,0.0,0.0,0.22093658447265624,21.603028869628908,8.892842102050782,-1.8914758640289033,1.4349185691374402
6,0.6,0,2,0.0,0.0,0.5,0.0,0.1627349853515625,32.29852104187012,5.4332122802734375,-5.874239011513878,-5.74144198499118
6,0.6,1,5,0.0,0.0,0.0,0.0,-1.5262100219726562,22.31162033081055,9.900009155273438,-3.6192828318301755,2.718854614017752
6,0.7,0,2,0.0,0.0,0.5,0.0,-0.6718559265136719,33.31062889099121,5.060504913330078,-3.1716599376608356,-1.7816816560310367
6,0.7,1,5,0.0,0.0,0.0,0.0,-1.6283355712890626,23.333321380615235,11.933670043945312,-3.9299658916578033,3.1873575813157324
6,0.8,0,2,0.0,0.0,0.0,0.0,-2.2345657348632812,32.39164733886719,4.820831298828125,-5.013513820392817,-2.1932347537871686
6,0.8,1,5,0.0,0.0,0.0,0.0,-1.933251953125,23.605671691894532,11.752409362792969,-3.565271698627489,1.8525525151969142
6,0.9,0,2,0.0,0.0,0.0,0.0,-5.000923156738281,31.83441734313965,4.769805908203125,-10.219465402863818,-9.137892515120091
6,0.9,1,5,0.2,0.0,0.2,0.0,-2.92069091796875,24.081230926513673,9.939006042480468,-2.9395316961737175,1.7658419335952824
6,1.0,0,2,0.0,0.0,0.0,0.0,-8.449298858642578,32.37995719909668,4.8850555419921875,-5.821816095409432,-0.8145511831467338
6,1.0,1,5,0.2,0.0,0.0,0.0,-3.1306381225585938,23.71201858520508,9.961763000488281,-3.2342543067097,0.6648258012717612
