split,residual,n,target_std_db,train_mean_baseline_rmse_db,train_mean_baseline_mae_db,zero_baseline_rmse_db
train,delta_psll_db,72,1.1692567803390268e-05,1.1692567803390268e-05,8.924507800443672e-06,1.1723257010514434e-05
train,delta_nearest_iso_db,72,3.555634650962649e-05,3.555634650962649e-05,2.512814086160542e-05,3.6528479060422835e-05
train,delta_local_iso_db,72,1.550841130275786e-05,1.550841130275786e-05,1.1232164171006945e-05,1.5521438110012948e-05
train,delta_mainlobe_gain_db,72,7.2420665422404714e-06,7.2420665422404714e-06,4.909656665943288e-06,7.24904012743084e-06
val,delta_psll_db,12,9.910874219334854e-06,1.0286679670131765e-05,7.417466905381944e-06,1.0092740291841853e-05
val,delta_nearest_iso_db,12,1.4230746768696716e-05,1.5629931804971804e-05,1.2327123571325231e-05,1.4357998899633044e-05
val,delta_local_iso_db,12,1.4553735278141781e-05,1.56381910657868e-05,1.0384453667534721e-05,1.5881851192215978e-05
val,delta_mainlobe_gain_db,12,6.57658922372729e-06,8.123354809558002e-06,4.768371582031251e-06,7.940925596107989e-06
test,delta_psll_db,12,1.375408659158321e-05,1.4070462267301629e-05,1.1585376880787036e-05,1.4273290202232137e-05
test,delta_nearest_iso_db,12,3.719601526145443e-05,4.529937511117681e-05,3.2601533112702545e-05,4.110030201948544e-05
test,delta_local_iso_db,12,1.5521438110012948e-05,1.5638191065786797e-05,1.0490417480468752e-05,1.557343637328579e-05
test,delta_mainlobe_gain_db,12,6.229374549314316e-06,6.237480440250581e-06,4.026624891493056e-06,6.229374549314316e-06
