candidate_index,sample_index,sample_id,scene_id,source_dataset,source_sample_index,selection_role,k,ratio,active_count,large_scan,min_target_separation_deg,eep_psll_db,hfss_psll_db,delta_psll_db,eep_nearest_iso_db,hfss_nearest_iso_db,delta_nearest_iso_db,eep_local_iso_db,hfss_local_iso_db,delta_local_iso_db,eep_mainlobe_gain_db,hfss_mainlobe_gain_db,delta_mainlobe_gain_db,eep_target_spread_db,hfss_target_spread_db,eep_pointing_error_deg,hfss_pointing_error_deg,all_case_worst_active_rl_db,all_case_worst_total_rl_db,gate15,strict_gate20,mainlobe_gate,active_RL_gate,strict_engineering_gate,eep_gate15,hard_negative,hard_positive,fullwave_complete,near_boundary,training_priority
0,0,tv000_s000_k1_r0.5,scene_000_373bbaafbf7b62f67733,task_level_run02,64,proxy_joint_positive,1,0.5,128,0,180.0,-11.824287414550781,-11.824287414550781,0.0,300.0,300.0,0.0,300.0,300.0,0.0,85.65300750732422,85.65300750732422,0.0,0.0,0.0,0.14562266994235282,0.14562266994235282,5.895073245390678,9.72515764222265,1,1,1,0,0,1,0,1,1,1,5
1,1,tv001_s001_k1_r0.5,scene_001_e7d8fb1a1e47cad8a923,task_level_run02,44,proxy_near_boundary,1,0.5,128,1,180.0,-7.4667205810546875,-7.466712951660156,7.62939453125e-06,300.0,300.0,0.0,300.0,300.0,0.0,83.33787536621094,83.3378677368164,-7.62939453125e-06,0.0,0.0,0.8980526058080087,0.8980526058080087,5.459161113188838,11.221211277611093,1,1,1,0,0,1,0,1,1,1,5
2,2,tv002_s002_k1_r0.5,scene_002_efdeb6d2c2e61ba30d4f,task_level_run02,3,proxy_large_scan_risk,1,0.5,128,1,180.0,-2.7772445678710938,-2.777252197265625,-7.62939453125e-06,300.0,300.0,0.0,300.0,300.0,0.0,81.07061767578125,81.07062530517578,7.62939453125e-06,0.0,0.0,2.5496217584821763,2.5496217584821763,-2.669314900610471,10.830778259968522,1,1,0,0,0,1,0,1,1,1,5
3,3,tv003_s003_k1_r0.6,scene_003_7b6e8d982df521b80338,task_level_run02,152,proxy_joint_positive,1,0.6000000238418579,154,0,180.0,-13.351730346679688,-13.351722717285156,7.62939453125e-06,300.0,300.0,0.0,300.0,300.0,0.0,86.33724975585938,86.33724975585938,0.0,0.0,0.0,0.5496264301824973,0.5496264301824973,6.755730479209716,10.537986425508572,1,1,1,0,0,1,0,1,1,1,5
4,4,tv004_s004_k1_r0.6,scene_004_8f890b236a836a089040,task_level_run02,130,proxy_near_boundary,1,0.6000000238418579,154,1,180.0,-7.528190612792969,-7.5281829833984375,7.62939453125e-06,300.0,300.0,0.0,300.0,300.0,0.0,84.14173126220703,84.1417236328125,-7.62939453125e-06,0.0,0.0,1.0252361621203891,1.0252361621203891,0.5841034726699499,12.152237073980178,1,1,1,0,0,1,0,1,1,0,2
5,5,tv005_s005_k1_r0.6,scene_005_082b405ca6747765c41a,task_level_run02,126,proxy_large_scan_risk,1,0.6000000238418579,154,1,180.0,-4.643341064453125,-4.643341064453125,0.0,300.0,300.0,0.0,300.0,300.0,0.0,83.48717498779297,83.48717498779297,0.0,0.0,0.0,1.9142127638097035,1.9142127638097035,2.2384708591068807,13.074553869603854,1,1,0,0,0,1,0,1,1,0,2
6,6,tv006_s006_k1_r0.7,scene_006_223b8d7cac1b0ff021ba,task_level_run02,264,proxy_joint_positive,1,0.699999988079071,179,0,180.0,-14.749992370605469,-14.750007629394531,-1.52587890625e-05,300.0,300.0,0.0,300.0,300.0,0.0,87.19334411621094,87.19334411621094,0.0,0.0,0.0,0.20697620061100674,0.20697620061100674,5.098433639697982,10.952751599832764,1,1,1,0,0,1,0,1,1,1,5
7,7,tv007_s007_k1_r0.7,scene_007_714e685e05515667fd71,task_level_run02,207,proxy_near_boundary,1,0.699999988079071,179,1,180.0,-6.708473205566406,-6.708473205566406,0.0,300.0,300.0,0.0,300.0,300.0,0.0,84.54420471191406,84.5442123413086,7.62939453125e-06,0.0,0.0,1.3845858306192576,1.3845858306192576,2.715485177703498,12.110175187318394,1,1,1,0,0,1,0,1,1,0,2
8,8,tv008_s008_k1_r0.7,scene_008_715217334eba9da97d97,task_level_run02,233,proxy_large_scan_risk,1,0.699999988079071,179,1,180.0,-2.3241119384765625,-2.3241119384765625,0.0,300.0,300.0,0.0,300.0,300.0,0.0,81.76570129394531,81.76570129394531,0.0,0.0,0.0,2.5428462981266486,2.5428462981266486,-6.763538927618674,10.229337650954019,1,1,0,0,0,1,0,1,1,1,5
9,9,tv009_s009_k1_r0.8,scene_009_8fc06bdf6835603ea6b4,task_level_run02,301,proxy_joint_positive,1,0.800000011920929,205,0,180.0,-15.785789489746094,-15.785797119140625,-7.62939453125e-06,300.0,300.0,0.0,300.0,300.0,0.0,88.06515502929688,88.06517028808594,1.52587890625e-05,0.0,0.0,0.07042196553748933,0.07042196553748933,5.182711121782445,10.715060502452161,1,1,1,0,0,1,0,0,1,1,3
10,10,tv010_s010_k1_r0.8,scene_010_1264f475318462d8cc77,task_level_run02,392,proxy_near_boundary,1,0.800000011920929,205,1,180.0,-4.2327880859375,-4.2327880859375,0.0,300.0,300.0,0.0,300.0,300.0,0.0,84.99420166015625,84.99420166015625,0.0,0.0,0.0,2.0118263814711503,2.0118263814711503,3.4957899237595176,14.666932692940847,1,1,0,0,0,1,0,1,1,0,2
11,11,tv011_s011_k1_r0.8,scene_011_22c29f24bb47c2033ce4,task_level_run02,380,proxy_large_scan_risk,1,0.800000011920929,205,1,180.0,-2.5342025756835938,-2.534210205078125,-7.62939453125e-06,300.0,300.0,0.0,300.0,300.0,0.0,83.05474090576172,83.05474853515625,7.62939453125e-06,0.0,0.0,2.760445706738533,2.760445706738533,1.7418532303270529,11.753983954739569,1,1,0,0,0,1,0,1,1,1,5
12,12,tv012_s012_k1_r0.9,scene_012_30dc00ed9f431c85e3e3,task_level_run02,445,proxy_joint_positive,1,0.8999999761581421,230,0,180.0,-14.827842712402344,-14.827842712402344,0.0,300.0,300.0,0.0,300.0,300.0,0.0,88.45257568359375,88.45256805419922,-7.62939453125e-06,0.0,0.0,0.37057660312128415,0.37057660312128415,5.2976980681737595,11.361276778361676,1,1,1,0,0,1,0,0,1,1,3
13,13,tv013_s013_k1_r0.9,scene_013_0f26cbf0b608fdae1995,task_level_run02,449,proxy_near_boundary,1,0.8999999761581421,230,1,180.0,-5.489715576171875,-5.489738464355469,-2.288818359375e-05,300.0,300.0,0.0,300.0,300.0,0.0,85.57461547851562,85.57463836669922,2.288818359375e-05,0.0,0.0,1.8233174671618,1.8233174671618,8.1117457756346,15.29258802926682,1,1,0,0,0,1,0,1,1,1,5
14,14,tv014_s014_k1_r0.9,scene_014_4aa305661bb63cf4e158,task_level_run02,409,proxy_large_scan_risk,1,0.8999999761581421,230,1,180.0,-3.5463104248046875,-3.54632568359375,-1.52587890625e-05,300.0,300.0,0.0,300.0,300.0,0.0,84.04316711425781,84.04316711425781,0.0,0.0,0.0,2.2991196276469545,2.2991196276469545,-11.412160364508798,11.497087810227136,1,1,0,0,0,1,0,1,1,1,5
15,15,tv015_s015_k1_r1.0,scene_015_0578db6082d7ec64c8e2,task_level_run02,528,proxy_joint_positive,1,1.0,256,0,180.0,-16.050025939941406,-16.050003051757812,2.288818359375e-05,300.0,300.0,0.0,300.0,300.0,0.0,88.7357177734375,88.7356948852539,-2.288818359375e-05,0.0,0.0,0.49065293878195976,0.49065293878195976,8.738882907124111,13.354143445093278,1,1,1,0,0,1,0,0,1,1,3
16,16,tv016_s016_k1_r1.0,scene_016_374155e00f894fab0678,task_level_run02,558,proxy_near_boundary,1,1.0,256,1,180.0,-6.87841796875,-6.878425598144531,-7.62939453125e-06,300.0,300.0,0.0,300.0,300.0,0.0,86.43624114990234,86.43624877929688,7.62939453125e-06,0.0,0.0,0.9547866084431431,0.9547866084431431,8.4295032724023,17.384884227835297,1,1,1,0,0,1,0,1,1,1,5
17,17,tv017_s017_k1_r1.0,scene_017_9c61f04977b01a179eee,task_level_run02,555,proxy_large_scan_risk,1,1.0,256,1,180.0,1.7908477783203125,1.7908554077148438,7.62939453125e-06,300.0,300.0,0.0,300.0,300.0,0.0,82.93021392822266,82.93022155761719,7.62939453125e-06,0.0,0.0,1.851360657265757,1.851360657265757,-22.485195734542526,10.698654315089822,0,0,0,0,0,0,0,0,1,1,3
