name,level,status,source_path,snapshot_path,size_bytes,sha256,note
boundary_prepare,A,passed,hfss_outputs/gate15_boundary_scenes_20260725_run01/prepare_summary.json,baselines/2026-07-25-gate15-boundary/snapshots/boundary_prepare.json,521,33c0b60d73dc82ffe03ad1a0f54144427b26524c573fb36df6870bd8a7deb8c5,"Thirty independent PSLL, nearest-isolation, and local-isolation boundary scenes with ninety paired candidates."
boundary_manifest,A,diagnostic,hfss_outputs/gate15_boundary_scenes_20260725_run01/candidate_manifest.csv,baselines/2026-07-25-gate15-boundary/snapshots/boundary_manifest.csv,33514,307cb61f1d32a4d230fa6ee913dcdded27a7443460583858b7b8dadc6f3b1c4c,"Per-candidate boundary type, side, physical perturbation, EEP metrics, and active-return metadata."
mapping_smoke,A,passed,hfss_outputs/gate15_boundary_scenes_hfss_smoke_20260725_run01/analysis_summary.json,baselines/2026-07-25-gate15-boundary/snapshots/mapping_smoke.json,825,1698ea1befe5b1e72d34f8971e7b393e912188a327b60e73164c0da61b43581e,Thirty-four-case no-scale EEP/direct-HFSS mapping smoke across all three boundary mechanisms.
boundary_hfss_analysis,A,passed,hfss_outputs/gate15_boundary_scenes_hfss_20260725_run01/analysis_summary.json,baselines/2026-07-25-gate15-boundary/snapshots/boundary_hfss_analysis.json,875,39192044f679f5129b82336d4550e0d01c3a3de6b1fc1f1e4981751847766d07,Complete 444-case full-wave analysis for ninety candidates and thirty independent scenes.
boundary_hfss_summary,A,passed,hfss_outputs/gate15_boundary_scenes_hfss_20260725_run01/gate15_boundary_hfss_summary.json,baselines/2026-07-25-gate15-boundary/snapshots/boundary_hfss_summary.json,556,8b1b734dcf4e8ed8815ec5097eb34a51a3d102565ca3d239b6b29275753b3ebc,Strict audit of inside/outside threshold crossings with zero new mainlobe failures.
boundary_hfss_groups,A,diagnostic,hfss_outputs/gate15_boundary_scenes_hfss_20260725_run01/gate15_boundary_hfss_summary_by_type_side.csv,baselines/2026-07-25-gate15-boundary/snapshots/boundary_hfss_groups.csv,1602,d88e0130d4192e15319f2bc2c49ee251054dec1ef4fee3c492349feceb4a926e,Full-wave margins by PSLL/nearest/local boundary type and control/inside/outside side.
boundary_hfss_labels,A,pattern_boundary_labels,hfss_outputs/gate15_boundary_scenes_hfss_20260725_run01/candidate_residual_labels.csv,baselines/2026-07-25-gate15-boundary/snapshots/boundary_hfss_labels.csv,51778,d99dfc97ad43ec9a04dbbd5c1298b718b69570ba3879fe662b417c0100e07c9b,"Thirty isolated gate15 hard negatives, thirty just-inside positives, and thirty controls."
critic_dataset_summary,A,training_open,hfss_outputs/trusted_dense_implementation_residual_dataset_20260725_run02/build_summary.json,baselines/2026-07-25-gate15-boundary/snapshots/critic_dataset_summary.json,2690,4dc15120105d68098f0c1dbc140881f29e880d32e03ada64b2bd1938dfb16c75,Scene-grouped 231-candidate and 90-scene four-source dataset audit.
critic_dataset,A,training_dataset,hfss_outputs/trusted_dense_implementation_residual_dataset_20260725_run02/fullwave_residual_dataset_v2.npz,baselines/2026-07-25-gate15-boundary/snapshots/critic_dataset.npz,592445,d430404c9e29fc6a95d3ba0d233164d727dbb7d3328cc632c89786e224fd1595,"Mask, task-weight, target, implementation-condition, residual, gate, and leakage-free split arrays."
five_seed_summary,A,trained,hfss_outputs/trusted_dense_implementation_residual_critic_20260725_run01/five_seed_summary.json,baselines/2026-07-25-gate15-boundary/snapshots/five_seed_summary.json,4793,241b1288630a8a0532e9ea4283afe365fd987685e42ac7c7bbe966bbc55e7150,"Five-seed discrimination, residual-regression, and ranking metrics before pooled calibration."
