candidate_index,sample_index,sample_id,scene_id,source_dataset,source_sample_index,selection_role,k,ratio,active_count,large_scan,min_target_separation_deg,variant_kind,parent_candidate_index,parent_ratio,ratio_delta,phase_error_rms_deg,gain_error_rms_db,dropout_count,phase_bits,amplitude_bits,perturbation_seed,eep_psll_db,hfss_psll_db,delta_psll_db,eep_nearest_iso_db,hfss_nearest_iso_db,delta_nearest_iso_db,eep_local_iso_db,hfss_local_iso_db,delta_local_iso_db,eep_mainlobe_gain_db,hfss_mainlobe_gain_db,delta_mainlobe_gain_db,eep_target_spread_db,hfss_target_spread_db,eep_pointing_error_deg,hfss_pointing_error_deg,all_case_worst_active_rl_db,all_case_worst_total_rl_db,gate15,strict_gate20,mainlobe_gate,active_RL_gate,strict_engineering_gate,eep_gate15,hard_negative,hard_positive,fullwave_complete,near_boundary,training_priority
0,200000,gate15_c000_s200000,gate15_psll_200000_f1bda39aa702b3bd,gate15_boundary_scenes_run01,60,nominal_control,6,0.5234375,134,1,20.699947357177734,nominal_control,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.086372375488281,-4.086372375488281,0.0,25.988162994384766,25.988208770751953,4.57763671875e-05,22.345352172851562,22.345340728759766,-1.1444091796875e-05,76.58951568603516,76.58950805664062,-7.62939453125e-06,1.59844970703125,1.5984649658203125,1.0000000000002647,1.0000000000002647,10.047109393187055,10.080860029940194,1,1,1,1,1,1,0,1,1,1,5
1,200000,gate15_c001_s200000,gate15_psll_200000_f1bda39aa702b3bd,gate15_boundary_scenes_run01,60,gate15_psll_inside,6,0.5234375,134,1,20.699947357177734,gate15_psll_inside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.086372375488281,-0.199737548828125,3.8866348266601562,25.988162994384766,25.988216400146484,5.340576171875e-05,22.345352172851562,21.93267059326172,-0.41268157958984375,76.58951568603516,76.23109436035156,-0.35842132568359375,1.59844970703125,1.6304244995117188,1.0000000000002647,1.0000000000002647,0.15609081723156593,10.047649472964578,1,1,1,0,0,1,0,1,1,1,5
2,200000,gate15_c002_s200000,gate15_psll_200000_f1bda39aa702b3bd,gate15_boundary_scenes_run01,60,gate15_psll_outside,6,0.5234375,134,1,20.699947357177734,gate15_psll_outside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.086372375488281,0.22122955322265625,4.3076019287109375,25.988162994384766,25.988224029541016,6.103515625e-05,22.345352172851562,21.762516021728516,-0.5828361511230469,76.58951568603516,76.19035339355469,-0.39916229248046875,1.59844970703125,1.6324081420898438,1.0000000000002647,1.0000000000002647,-0.9961440293235317,10.043237721349854,0,0,1,0,0,1,1,0,1,1,7
3,200001,gate15_c003_s200001,gate15_psll_200001_6c7f73f6f5814330,gate15_boundary_scenes_run01,66,nominal_control,6,0.72265625,185,1,13.454964637756348,nominal_control,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-6.626396179199219,-6.62640380859375,-7.62939453125e-06,29.20709991455078,29.207107543945312,7.62939453125e-06,23.633316040039062,23.633304595947266,-1.1444091796875e-05,78.89144897460938,78.89144897460938,0.0,0.213226318359375,0.21323394775390625,1.3639596782628904,1.3639596782628904,10.040353501228898,10.51425482195264,1,1,1,1,1,1,0,1,1,1,5
4,200001,gate15_c004_s200001,gate15_psll_200001_6c7f73f6f5814330,gate15_boundary_scenes_run01,66,gate15_psll_inside,6,0.72265625,185,1,13.454964637756348,gate15_psll_inside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-6.626396179199219,-0.2760009765625,6.350395202636719,29.20709991455078,29.207096099853516,-3.814697265625e-06,23.633316040039062,21.554943084716797,-2.0783729553222656,78.89144897460938,78.48133087158203,-0.41011810302734375,0.213226318359375,0.21323394775390625,1.3639596782628904,1.3639596782628904,4.2374471086589764,10.630689466869242,1,1,1,0,0,1,0,1,1,1,5
5,200001,gate15_c005_s200001,gate15_psll_200001_6c7f73f6f5814330,gate15_boundary_scenes_run01,66,gate15_psll_outside,6,0.72265625,185,1,13.454964637756348,gate15_psll_outside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-6.626396179199219,0.18083953857421875,6.8072357177734375,29.20709991455078,29.207080841064453,-1.9073486328125e-05,23.633316040039062,21.384552001953125,-2.2487640380859375,78.89144897460938,78.43241882324219,-0.4590301513671875,0.213226318359375,0.212860107421875,1.3639596782628904,1.3639596782628904,3.542773697106389,10.636671269796022,0,0,1,0,0,1,1,0,1,1,7
6,200002,gate15_c006_s200002,gate15_psll_200002_1ab04f6b717fe1ea,gate15_boundary_scenes_run01,66,nominal_control,6,0.72265625,185,1,13.454964637756348,nominal_control,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-6.3162384033203125,-6.316253662109375,-1.52587890625e-05,28.849323272705078,28.849365234375,4.1961669921875e-05,23.43817901611328,23.43819808959961,1.9073486328125e-05,78.7764663696289,78.77647399902344,7.62939453125e-06,0.15853118896484375,0.15850830078125,1.0300377248811952,1.0300377248811952,10.005104889719691,10.432585110568755,1,1,1,1,1,1,0,1,1,1,5
7,200002,gate15_c007_s200002,gate15_psll_200002_1ab04f6b717fe1ea,gate15_boundary_scenes_run01,66,gate15_psll_inside,6,0.72265625,185,1,13.454964637756348,gate15_psll_inside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-6.3162384033203125,-0.5130691528320312,5.803169250488281,28.849323272705078,28.849334716796875,1.1444091796875e-05,23.43817901611328,21.251846313476562,-2.1863327026367188,78.7764663696289,78.41001892089844,-0.36644744873046875,0.15853118896484375,0.1043243408203125,1.0300377248811952,1.3639596782628904,-3.9839390503837038,10.45220190625548,1,1,1,0,0,1,0,1,1,1,5
8,200002,gate15_c008_s200002,gate15_psll_200002_1ab04f6b717fe1ea,gate15_boundary_scenes_run01,66,gate15_psll_outside,6,0.72265625,185,1,13.454964637756348,gate15_psll_outside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-6.3162384033203125,0.36066436767578125,6.676902770996094,28.849323272705078,28.849327087402344,3.814697265625e-06,23.43817901611328,21.00701904296875,-2.4311599731445312,78.7764663696289,78.31385040283203,-0.462615966796875,0.15853118896484375,0.0975799560546875,1.0300377248811952,1.3639596782628904,-5.791815558650001,10.453723153634403,0,0,1,0,0,1,1,0,1,1,7
9,200003,gate15_c009_s200003,gate15_psll_200003_85adc4ecf9e1f6c2,gate15_boundary_scenes_run01,60,nominal_control,6,0.5234375,134,1,21.460710525512695,nominal_control,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.288414001464844,-4.288398742675781,1.52587890625e-05,25.95602798461914,25.956050872802734,2.288818359375e-05,22.39548110961914,22.395477294921875,-3.814697265625e-06,77.37361145019531,77.37360382080078,-7.62939453125e-06,0.6446456909179688,0.6446609497070312,1.0036461650242572,1.0036461650242572,10.032037616645898,10.014268548510701,1,1,1,1,1,1,0,1,1,1,5
