candidate_index,sample_index,scene_id,target_hash,boundary_type,boundary_side,variant_kind,parent_candidate_index,k,active_ratio,active_count,implementation_delta_norm,implementation_delta_max,task_mixing_amplitude,coherent_mode_amplitude,boundary_metric_code,nominal_eep_gate15,actual_basis_gate15,actual_basis_gate20,actual_basis_mainlobe_gate,predicted_hard_negative,nominal_psll_db,actual_basis_psll_db,nominal_nearest_iso_db,actual_basis_nearest_iso_db,nominal_local_iso_db,actual_basis_local_iso_db,actual_basis_pointing_error_deg,combined_worst_active_rl_db,combined_total_rl_db,task_significant_worst_active_rl_db,robust_active_gate,expected_hfss_case_count
0,200000,gate15_psll_200000_f1bda39aa702b3bd,f1bda39aa702b3bd,psll,control,nominal_control,6,6,0.5234375,134,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-4.086372375488281,-4.086372375488281,25.988174438476562,25.988174438476562,22.345352172851562,22.345352172851562,1.0000000000002647,10.079059086482335,10.77079743920293,10.047109236348899,1,7
1,200000,gate15_psll_200000_f1bda39aa702b3bd,f1bda39aa702b3bd,psll,inside,gate15_psll_inside,6,6,0.5234375,134,0.0896211564540863,0.07346100360155106,0.0,0.27104667648751724,1,1,1,1,1,0,-4.086372375488281,-0.199737548828125,25.988174438476562,25.988174438476562,22.345352172851562,21.932655334472656,1.0001412680852089,0.15609150134492342,10.553251401101999,8.493699855655338,0,7
2,200000,gate15_psll_200000_f1bda39aa702b3bd,f1bda39aa702b3bd,psll,outside,gate15_psll_outside,6,6,0.5234375,134,0.09522248059511185,0.07805231213569641,0.0,0.28798709376798703,1,1,0,0,1,1,-4.086372375488281,0.2212371826171875,25.988174438476562,25.988162994384766,22.345352172851562,21.762496948242188,1.0001412680852089,-0.9961433603831916,10.52842255619835,8.341637119841621,0,7
3,200001,gate15_psll_200001_6c7f73f6f5814330,6c7f73f6f5814330,psll,control,nominal_control,11,6,0.72265625,185,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-6.62640380859375,-6.62640380859375,29.20709228515625,29.20709228515625,23.633319854736328,23.633319854736328,1.3639596782628904,10.044615245606487,12.69280323191178,10.040353335607932,1,7
4,200001,gate15_psll_200001_6c7f73f6f5814330,6c7f73f6f5814330,psll,inside,gate15_psll_inside,11,6,0.72265625,185,0.12144150584936142,0.0968475192785263,0.0,0.3089056281304224,1,1,1,1,1,0,-6.62640380859375,-0.2760009765625,29.20709228515625,29.20709228515625,23.633319854736328,21.554981231689453,1.3640224032600166,4.237447123967405,12.635040683699792,7.734888684366032,0,7
5,200001,gate15_psll_200001_6c7f73f6f5814330,6c7f73f6f5814330,psll,outside,gate15_psll_outside,11,6,0.72265625,185,0.12903159856796265,0.10290049016475677,0.0,0.3282122298885738,1,1,0,0,1,1,-6.62640380859375,0.18085479736328125,29.20709228515625,29.207103729248047,23.633319854736328,21.38457489013672,1.3640224032600166,3.5427737145960574,12.605616442882566,7.494147366724469,0,7
6,200002,gate15_psll_200002_1ab04f6b717fe1ea,1ab04f6b717fe1ea,psll,control,nominal_control,11,6,0.72265625,185,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-6.3162384033203125,-6.3162384033203125,28.849327087402344,28.849327087402344,23.43817901611328,23.43817901611328,1.0300377248811952,10.018336113164565,12.513400850975886,10.005105165220886,1,7
7,200002,gate15_psll_200002_1ab04f6b717fe1ea,1ab04f6b717fe1ea,psll,inside,gate15_psll_inside,11,6,0.72265625,185,0.11475016921758652,0.09108559787273407,0.0,0.3081888027686869,1,1,1,1,1,0,-6.3162384033203125,-0.5130691528320312,28.849327087402344,28.84933853149414,23.43817901611328,21.251861572265625,1.3639701602660683,-3.9839393312775337,12.187803329930274,8.123907134484782,0,7
8,200002,gate15_psll_200002_1ab04f6b717fe1ea,1ab04f6b717fe1ea,psll,outside,gate15_psll_outside,11,6,0.72265625,185,0.1290939450263977,0.10247131437063217,0.0,0.34671240311477275,1,1,0,0,1,1,-6.3162384033203125,0.36064910888671875,28.849327087402344,28.849319458007812,23.43817901611328,21.00702667236328,1.3639701602660683,-5.791815828840184,12.118724744263043,7.787737230561539,0,7
9,200003,gate15_psll_200003_85adc4ecf9e1f6c2,85adc4ecf9e1f6c2,psll,control,nominal_control,6,6,0.5234375,134,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-4.288414001464844,-4.288414001464844,25.95602798461914,25.95602798461914,22.395477294921875,22.395477294921875,1.0036461650242572,10.032037735220126,10.719867584439077,10.038916214464264,1,7
10,200003,gate15_psll_200003_85adc4ecf9e1f6c2,85adc4ecf9e1f6c2,psll,inside,gate15_psll_inside,6,6,0.5234375,134,0.10065396130084991,0.08527842164039612,0.0,0.3093071625594086,1,1,1,1,1,0,-4.288414001464844,-0.2270965576171875,25.95602798461914,25.956024169921875,22.395477294921875,21.60540008544922,1.0145804202770927,-0.06898883338896358,10.721687312545175,7.3240749517445725,0,7
11,200003,gate15_psll_200003_85adc4ecf9e1f6c2,85adc4ecf9e1f6c2,psll,outside,gate15_psll_outside,6,6,0.5234375,134,0.1073642298579216,0.09096364676952362,0.0,0.3299276400633691,1,1,0,0,1,1,-4.288414001464844,0.22438812255859375,25.95602798461914,25.956031799316406,22.395477294921875,21.551284790039062,1.0597422910504026,-1.0324278393528477,10.711222684677605,7.065843525660629,0,7
12,200004,gate15_psll_200004_1c12768767174523,1c12768767174523,psll,control,nominal_control,11,6,0.72265625,185,0.0,0.0,0.0,0.0,0,1,1,1,1,0,-6.885292053222656,-6.885292053222656,29.57398223876953,29.57398223876953,23.931095123291016,23.931095123291016,1.4462673401904567,10.062650509968002,12.861949483742512,10.065895452818296,1,7
