name,level,status,source_path,snapshot_path,size_bytes,sha256,note
prospective_prepare,A,passed,hfss_outputs/prospective_gate15_scenes_20260725_run01/prepare_summary.json,baselines/2026-07-25-prospective-hfss/snapshots/prospective_prepare.json,691,64896322a0959ef8b4d3d87e5f9b4de4b15160a47f3d69ac944526f90b8b803a,"Twenty-four unseen target-direction scenes with balanced PSLL, nearest-isolation, and local-isolation boundary triplets."
freeze_manifest,A,pre_registered,hfss_outputs/prospective_frozen_critic_20260725_run01/prospective_freeze_manifest.json,baselines/2026-07-25-prospective-hfss/snapshots/freeze_manifest.json,2190,f79543626b26e30f2ed65a0895fc8d5a11930fb85f38ede31e94904f1659330f,"Pre-HFSS checkpoint, calibrator, dataset, thresholds, substitutions, and SHA-256 freeze record."
frozen_predictions,A,pre_registered,hfss_outputs/prospective_frozen_critic_20260725_run01/frozen_predictions_before_hfss.csv,baselines/2026-07-25-prospective-hfss/snapshots/frozen_predictions.csv,30748,737b2b678d0142b310f6cf0482e740814b781d490ebf44f0435207a2fed3223c,"Seventy-two candidate probabilities, residual predictions, confidence bounds, and admission decisions saved before HFSS."
frozen_selections,A,pre_registered,hfss_outputs/prospective_frozen_critic_20260725_run01/frozen_scene_selections_before_hfss.csv,baselines/2026-07-25-prospective-hfss/snapshots/frozen_selections.csv,8635,7053101bf10f8defe34b971cf0db02af41176dfb20fa87f6658ca1fb50f33bef,Four frozen top-one selection rules for every unseen scene.
mapping_smoke,A,passed,hfss_outputs/prospective_gate15_hfss_smoke_20260725_run01/analysis_summary.json,baselines/2026-07-25-prospective-hfss/snapshots/mapping_smoke.json,823,568cbb8a57c98f8ac476abdded325ecb598f9782e2bd10538e2d069bfb115542,Thirty-case unseen-scene no-scale mapping smoke before the full prospective batch.
prospective_hfss_analysis,A,passed,hfss_outputs/prospective_gate15_hfss_20260725_run01/analysis_summary.json,baselines/2026-07-25-prospective-hfss/snapshots/prospective_hfss_analysis.json,860,2fda5b500de5ac0c0970b55c3aab713f8e440637252035478573230b3590d59a,Complete 354-case prospective no-scale EEP/direct-HFSS analysis.
prospective_boundary_audit,A,passed,hfss_outputs/prospective_gate15_hfss_20260725_run01/gate15_boundary_hfss_summary.json,baselines/2026-07-25-prospective-hfss/snapshots/prospective_boundary_audit.json,726,0e01aac8e0be5ca2774ab9ecc1e20657cebff7e6efb98cccda3538f61521816b,Dynamic audit of all twenty-four inside/outside boundary crossings with zero mainlobe failures.
prospective_boundary_groups,A,diagnostic,hfss_outputs/prospective_gate15_hfss_20260725_run01/gate15_boundary_hfss_summary_by_type_side.csv,baselines/2026-07-25-prospective-hfss/snapshots/prospective_boundary_groups.csv,1551,2f474fc7fa5a217a13025fb6f372d381249d5d932884f0c4b4f2b87fa2490ba6,Prospective HFSS margins grouped by boundary type and side.
prospective_hfss_labels,A,prospective_locked,hfss_outputs/prospective_gate15_hfss_20260725_run01/candidate_residual_labels.csv,baselines/2026-07-25-prospective-hfss/snapshots/prospective_hfss_labels.csv,41302,07090cf145eab8cc1e7feb793b0a19d1d1012e7e96a5978b3be78384007763a7,Prospective labels retained for evaluation only and excluded from post-HFSS retraining.
prospective_evaluation,A,failed_acceptance,hfss_outputs/prospective_frozen_critic_evaluation_20260725_run03/prospective_validation_summary.json,baselines/2026-07-25-prospective-hfss/snapshots/prospective_evaluation.json,10644,4399fa65766568612f2a829d772243bb621b3c0138b2affeba8555529a3a2955,Frozen critic prospective decision: gate15 AUROC and gate20 ECE failed the inherited v0.7 protocol.
