gate,bin,low,high,count,mean_probability,positive_rate
gate15,0,0.0,0.1,0,nan,nan
gate15,1,0.1,0.2,3,0.12503472308059213,0.3333333333333333
gate15,2,0.2,0.3,0,nan,nan
gate15,3,0.3,0.4,4,0.3976385692084142,0.5
gate15,4,0.4,0.5,3,0.472543785852751,0.3333333333333333
gate15,5,0.5,0.6,36,0.5487611109644956,0.5277777777777778
gate15,6,0.6,0.7,0,nan,nan
gate15,7,0.7,0.8,2,0.749218050515079,0.5
gate15,8,0.8,0.9,0,nan,nan
gate15,9,0.9,1.0,24,0.9886251207247789,1.0
gate20,0,0.0,0.1,0,nan,nan
gate20,1,0.1,0.2,12,0.16015814904380585,0.0
gate20,2,0.2,0.3,5,0.2357750236432276,0.4
gate20,3,0.3,0.4,3,0.3030193895708101,0.3333333333333333
gate20,4,0.4,0.5,14,0.48843456328373075,0.35714285714285715
gate20,5,0.5,0.6,14,0.5294572625456498,0.5
gate20,6,0.6,0.7,0,nan,nan
gate20,7,0.7,0.8,0,nan,nan
gate20,8,0.8,0.9,0,nan,nan
gate20,9,0.9,1.0,24,0.9603834524728313,1.0
mainlobe_gate,0,0.0,0.1,0,nan,nan
mainlobe_gate,1,0.1,0.2,0,nan,nan
mainlobe_gate,2,0.2,0.3,0,nan,nan
mainlobe_gate,3,0.3,0.4,0,nan,nan
mainlobe_gate,4,0.4,0.5,0,nan,nan
mainlobe_gate,5,0.5,0.6,0,nan,nan
mainlobe_gate,6,0.6,0.7,0,nan,nan
mainlobe_gate,7,0.7,0.8,0,nan,nan
mainlobe_gate,8,0.8,0.9,0,nan,nan
mainlobe_gate,9,0.9,1.0,72,0.9823561238470293,1.0
strict_engineering_gate,0,0.0,0.1,44,0.005400903580075535,0.022727272727272728
strict_engineering_gate,1,0.1,0.2,2,0.14509282046113156,0.0
strict_engineering_gate,2,0.2,0.3,0,nan,nan
strict_engineering_gate,3,0.3,0.4,0,nan,nan
strict_engineering_gate,4,0.4,0.5,2,0.47430069986184475,0.5
strict_engineering_gate,5,0.5,0.6,0,nan,nan
strict_engineering_gate,6,0.6,0.7,0,nan,nan
strict_engineering_gate,7,0.7,0.8,0,nan,nan
strict_engineering_gate,8,0.8,0.9,0,nan,nan
strict_engineering_gate,9,0.9,1.0,24,0.994513912186985,1.0
