boundary_type,boundary_side,candidate_count,scene_count,gate15_count,gate15_positive_count,gate15_positive_rate,gate15_auroc,gate15_auprc,gate15_accuracy,gate15_precision,gate15_recall,gate15_specificity,gate15_brier,gate15_ece,gate15_nll,gate15_tp,gate15_tn,gate15_fp,gate15_fn,gate20_count,gate20_positive_count,gate20_positive_rate,gate20_auroc,gate20_auprc,gate20_accuracy,gate20_precision,gate20_recall,gate20_specificity,gate20_brier,gate20_ece,gate20_nll,gate20_tp,gate20_tn,gate20_fp,gate20_fn
all,all,72,24,72,48,0.6666666666666666,0.7951388888888888,0.9077079527423578,0.6944444444444444,0.7096774193548387,0.9166666666666666,0.25,0.16886697919216515,0.041372307081112863,0.47317196654663835,44,6,18,4,72,39,0.5416666666666666,0.8951048951048951,0.9256403436750994,0.7916666666666666,0.8157894736842105,0.7948717948717948,0.7878787878787878,0.12981867742072045,0.08382287783139554,0.3901164332217831,31,26,7,8
all,control,24,24,24,24,1.0,nan,1.0,1.0,1.0,1.0,0.0,0.0001294533014724402,0.011374879275221073,0.011440101501591962,24,0,0,0,24,24,1.0,nan,1.0,1.0,1.0,1.0,0.0,0.0016049922783023813,0.0396165475271687,0.04044195925822179,24,0,0,0
all,inside,24,24,24,24,1.0,nan,1.0,0.8333333333333334,1.0,0.8333333333333334,0.0,0.23713066069275732,0.47582189055206103,0.6809754407918915,20,0,0,4,24,15,0.625,0.7851851851851852,0.8279621158568526,0.5833333333333334,0.7777777777777778,0.4666666666666667,0.7777777777777778,0.22687218009518562,0.28332997439893587,0.6416004955583294,7,7,2,8
all,outside,24,24,24,0,0.0,nan,nan,0.25,0.0,0.0,0.25,0.26934082358226574,0.5023688030264646,0.7271003573464316,0,6,18,0,24,0,0.0,nan,nan,0.7916666666666666,0.0,0.0,0.7916666666666666,0.16097885988867336,0.36554889349678643,0.48830684484879816,0,19,5,0
local,all,24,8,24,16,0.6666666666666666,0.8203125,0.9195325986886089,0.7083333333333334,0.7368421052631579,0.875,0.375,0.17795216711692596,0.06517668994940391,0.4994047785441154,14,3,5,2,24,8,0.3333333333333333,1.0,1.0,0.9166666666666666,0.8,1.0,0.875,0.04746566279178607,0.167014720323078,0.20049642706278767,8,14,2,0
local,control,8,8,8,8,1.0,nan,1.0,1.0,1.0,1.0,0.0,0.0001270324312579909,0.011269357349207754,0.011333355086448269,8,0,0,0,8,8,1.0,nan,1.0,1.0,1.0,1.0,0.0,0.0014122774016317322,0.03730514953158326,0.038029898219605326,8,0,0,0
local,inside,8,8,8,8,1.0,nan,1.0,0.75,1.0,0.75,0.0,0.2984937136630796,0.5282286894394298,0.8347796282520762,6,0,0,2,8,0,0.0,nan,nan,0.875,0.0,0.0,0.875,0.08268944952829455,0.25760673249490945,0.31597399480368454,0,7,1,0
local,outside,8,8,8,0,0.0,nan,nan,0.375,0.0,0.0,0.375,0.2352357552564403,0.46510802400271606,0.6521013522938219,0,3,5,0,8,0,0.0,nan,nan,0.875,0.0,0.0,0.875,0.05829526144543192,0.20613227894274122,0.24748538816507315,0,7,1,0
nearest,all,24,8,24,16,0.6666666666666666,0.8046875,0.9129613682227384,0.6666666666666666,0.6818181818181818,0.9375,0.125,0.16740864168677091,0.08093434765143419,0.4651854882308933,15,1,7,1,24,16,0.6666666666666666,0.8359375,0.9235876582124185,0.75,0.8571428571428571,0.75,0.75,0.17298148783085146,0.1260264192770162,0.489432471230681,12,6,2,4
nearest,control,8,8,8,8,1.0,nan,1.0,1.0,1.0,1.0,0.0,0.00012704475434295763,0.011270544469484944,0.011334548355919604,8,0,0,0,8,8,1.0,nan,1.0,1.0,1.0,1.0,0.0,0.001399304779495367,0.03726590953634945,0.03798372721574385,8,0,0,0
nearest,inside,8,8,8,8,1.0,nan,1.0,0.875,1.0,0.875,0.0,0.2025678678086895,0.44132290691385834,0.5946415664947419,7,0,0,1,8,8,1.0,nan,1.0,0.5,1.0,0.5,0.0,0.28703934920606566,0.5255392070645803,0.7829162915320949,4,0,0,4
nearest,outside,8,8,8,0,0.0,nan,nan,0.125,0.0,0.0,0.125,0.29953101249728037,0.5222560162160567,0.7895803498420186,0,1,7,0,8,0,0.0,nan,nan,0.75,0.0,0.0,0.75,0.23050580950699343,0.4678687763705107,0.6473973949442045,0,6,2,0
psll,all,24,8,24,16,0.6666666666666666,0.8125,0.918246308000565,0.7083333333333334,0.7142857142857143,0.9375,0.25,0.16124012877279859,0.030048412412474506,0.4549256328649065,15,2,6,1,24,15,0.625,0.8074074074074075,0.9068231332937216,0.7083333333333334,0.7857142857142857,0.7333333333333333,0.6666666666666666,0.1690088816395238,0.11551680984434601,0.4804204013718807,11,6,3,4
psll,control,8,8,8,8,1.0,nan,1.0,1.0,1.0,1.0,0.0,0.00013428271881637204,0.011584736006970298,0.011652401062408013,8,0,0,0,8,8,1.0,nan,1.0,1.0,1.0,1.0,0.0,0.0020033946537800448,0.04427858351357383,0.04531225233931619,8,0,0,0
psll,inside,8,8,8,8,1.0,nan,1.0,0.875,1.0,0.875,0.0,0.21033040060650277,0.45791407530289474,0.6135051276288568,7,0,0,1,8,7,0.875,0.42857142857142855,0.9093537414965986,0.375,0.75,0.42857142857142855,0.0,0.3108877415511967,0.42117462628749236,0.825911200339209,3,0,1,4
psll,outside,8,8,8,0,0.0,nan,nan,0.25,0.0,0.0,0.25,0.2732557029930766,0.519742368860621,0.7396193699034546,0,2,6,0,8,0,0.0,nan,nan,0.75,0.0,0.0,0.75,0.19413550871359464,0.42264562517710724,0.5700377514371169,0,6,2,0
