candidate_index,sample_index,sample_id,scene_id,source_dataset,source_sample_index,selection_role,k,ratio,active_count,large_scan,min_target_separation_deg,variant_kind,parent_candidate_index,parent_ratio,ratio_delta,phase_error_rms_deg,gain_error_rms_db,dropout_count,phase_bits,amplitude_bits,perturbation_seed,eep_psll_db,hfss_psll_db,delta_psll_db,eep_nearest_iso_db,hfss_nearest_iso_db,delta_nearest_iso_db,eep_local_iso_db,hfss_local_iso_db,delta_local_iso_db,eep_mainlobe_gain_db,hfss_mainlobe_gain_db,delta_mainlobe_gain_db,eep_target_spread_db,hfss_target_spread_db,eep_pointing_error_deg,hfss_pointing_error_deg,all_case_worst_active_rl_db,all_case_worst_total_rl_db,gate15,strict_gate20,mainlobe_gate,active_RL_gate,strict_engineering_gate,eep_gate15,hard_negative,hard_positive,fullwave_complete,near_boundary,training_priority
0,200000,gate15_c000_s200000,gate15_psll_200000_fc53533ba9fa20e1,gate15_boundary_scenes_run01,60,nominal_control,6,0.5234375,134,1,20.853517532348633,nominal_control,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.182014465332031,-4.1820068359375,7.62939453125e-06,25.711811065673828,25.711822509765625,1.1444091796875e-05,23.090465545654297,23.090469360351562,3.814697265625e-06,77.74442291259766,77.74443054199219,7.62939453125e-06,0.09420013427734375,0.0941925048828125,0.9999999999999002,0.9999999999999002,10.04493290034427,10.039474120097422,1,1,1,1,1,1,0,1,1,1,5
1,200000,gate15_c001_s200000,gate15_psll_200000_fc53533ba9fa20e1,gate15_boundary_scenes_run01,60,gate15_psll_inside,6,0.5234375,134,1,20.853517532348633,gate15_psll_inside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.1820068359375,-0.343536376953125,3.838470458984375,25.711811065673828,25.711822509765625,1.1444091796875e-05,23.090465545654297,21.68033218383789,-1.4101333618164062,77.74441528320312,77.30928039550781,-0.4351348876953125,0.094207763671875,0.16622161865234375,0.9999999999999002,1.3401645476539878,-9.188815091718817,9.986260703718916,1,1,1,0,0,1,0,1,1,1,5
2,200000,gate15_c002_s200000,gate15_psll_200000_fc53533ba9fa20e1,gate15_boundary_scenes_run01,60,gate15_psll_outside,6,0.5234375,134,1,20.853517532348633,gate15_psll_outside,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.182014465332031,0.07625579833984375,4.258270263671875,25.711811065673828,25.711822509765625,1.1444091796875e-05,23.09046173095703,21.557937622070312,-1.5325241088867188,77.74442291259766,77.25397491455078,-0.490447998046875,0.09420013427734375,0.18480682373046875,0.9999999999999002,1.3401645476539878,-8.63707260961302,9.981710359825891,0,0,1,0,0,1,1,0,1,1,7
3,200001,gate15_c003_s200001,gate15_psll_200001_3c2a59570537fa9a,gate15_boundary_scenes_run01,66,nominal_control,6,0.72265625,185,1,12.474692344665527,nominal_control,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-3.93035888671875,-3.9303436279296875,1.52587890625e-05,29.464298248291016,29.46442413330078,0.000125885009765625,22.415252685546875,22.415267944335938,1.52587890625e-05,78.14710998535156,78.1470947265625,-1.52587890625e-05,1.5859375,1.5859527587890625,1.4247985077662242,1.4247985077662242,10.046024693296665,10.577393094986787,1,1,1,1,1,1,0,1,1,1,5
4,200001,gate15_c004_s200001,gate15_psll_200001_3c2a59570537fa9a,gate15_boundary_scenes_run01,66,gate15_psll_inside,6,0.72265625,185,1,12.474692344665527,gate15_psll_inside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-3.93035888671875,-0.5167007446289062,3.4136581420898438,29.464298248291016,29.464397430419922,9.918212890625e-05,22.415252685546875,19.738906860351562,-2.6763458251953125,78.14710998535156,77.76801300048828,-0.37909698486328125,1.5859375,1.6404647827148438,1.4247985077662242,1.4247985077662242,-2.0807613078802953,10.584109075352444,1,0,1,0,0,1,0,0,1,1,3
5,200001,gate15_c005_s200001,gate15_psll_200001_3c2a59570537fa9a,gate15_boundary_scenes_run01,66,gate15_psll_outside,6,0.72265625,185,1,12.474692344665527,gate15_psll_outside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-3.9303512573242188,0.36095428466796875,4.2913055419921875,29.464298248291016,29.464385986328125,8.7738037109375e-05,22.415252685546875,19.416702270507812,-2.9985504150390625,78.14710235595703,77.6790771484375,-0.46802520751953125,1.5859451293945312,1.646881103515625,1.4247985077662242,1.4247985077662242,-6.362506778905469,10.583495526618679,0,0,1,0,0,1,1,0,1,1,7
6,200002,gate15_c006_s200002,gate15_psll_200002_a94b27008a765a40,gate15_boundary_scenes_run01,66,nominal_control,6,0.72265625,185,1,12.54211711883545,nominal_control,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-4.959228515625,-4.959251403808594,-2.288818359375e-05,28.641647338867188,28.64163589477539,-1.1444091796875e-05,22.729106903076172,22.72911834716797,1.1444091796875e-05,78.0101089477539,78.01011657714844,7.62939453125e-06,1.6560287475585938,1.6560134887695312,1.4462673401904567,1.4462673401904567,10.036601226875586,10.564363250619994,1,1,1,1,1,1,0,1,1,1,5
7,200002,gate15_c007_s200002,gate15_psll_200002_a94b27008a765a40,gate15_boundary_scenes_run01,66,gate15_psll_inside,6,0.72265625,185,1,12.54211711883545,gate15_psll_inside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-4.959236145019531,-0.5485000610351562,4.410736083984375,28.641647338867188,28.641639709472656,-7.62939453125e-06,22.729106903076172,22.77361297607422,0.044506072998046875,78.0101089477539,77.7146987915039,-0.29541015625,1.656036376953125,1.6474380493164062,1.4462673401904567,1.4462673401904567,-5.594866596747617,10.722174717343144,1,1,1,0,0,1,0,1,1,1,5
8,200002,gate15_c008_s200002,gate15_psll_200002_a94b27008a765a40,gate15_boundary_scenes_run01,66,gate15_psll_outside,6,0.72265625,185,1,12.54211711883545,gate15_psll_outside,11,0.72265625,0.0,0.0,0.0,0,16,16,-1,-4.959236145019531,0.2870025634765625,5.246238708496094,28.641639709472656,28.64165496826172,1.52587890625e-05,22.729106903076172,22.75213623046875,0.023029327392578125,78.0101089477539,77.64061737060547,-0.3694915771484375,1.656036376953125,1.6473617553710938,1.4462673401904567,1.4462673401904567,-3.11623198027482,10.740053687922579,0,0,1,0,0,1,1,0,1,1,7
9,200003,gate15_c009_s200003,gate15_psll_200003_515d629ff1f82f77,gate15_boundary_scenes_run01,60,nominal_control,6,0.5234375,134,1,20.625606536865234,nominal_control,6,0.5234375,0.0,0.0,0.0,0,16,16,-1,-4.553062438964844,-4.553062438964844,0.0,26.26202392578125,26.261966705322266,-5.7220458984375e-05,22.83020782470703,22.83022689819336,1.9073486328125e-05,77.82235717773438,77.82234954833984,-7.62939453125e-06,0.1304473876953125,0.1304473876953125,1.3194813092298907,1.3194813092298907,10.044925887842114,10.055749046491279,1,1,1,1,1,1,0,1,1,1,5
