split,k_value,ratio,count,scene_count,gate15_rate,strict_gate20_rate,hard_negative_count,hard_positive_count,near_boundary_count
train,2,0.5,23,12,0.43478260869565216,0.13043478260869565,5,3,23
train,2,0.6000000238418579,19,12,0.5789473684210527,0.2631578947368421,4,5,19
train,2,0.699999988079071,20,12,0.55,0.15,6,3,20
train,2,0.800000011920929,22,12,0.5,0.09090909090909091,5,2,22
train,4,0.5,27,12,0.48148148148148145,0.25925925925925924,5,7,27
train,4,0.6000000238418579,22,12,0.5,0.2727272727272727,3,6,22
train,4,0.699999988079071,19,12,0.42105263157894735,0.2631578947368421,3,5,19
train,4,0.800000011920929,16,12,0.4375,0.25,1,4,16
train,6,0.5,22,12,0.5,0.09090909090909091,3,2,22
train,6,0.6000000238418579,21,12,0.6666666666666666,0.09523809523809523,3,2,21
train,6,0.699999988079071,23,12,0.34782608695652173,0.043478260869565216,3,1,23
train,6,0.800000011920929,18,12,0.3888888888888889,0.05555555555555555,1,1,18
val,2,0.5,11,4,0.36363636363636365,0.18181818181818182,2,2,11
val,2,0.6000000238418579,4,4,0.25,0.25,0,1,4
val,2,0.699999988079071,6,4,0.3333333333333333,0.16666666666666666,0,1,6
val,2,0.800000011920929,7,4,0.2857142857142857,0.14285714285714285,0,1,7
val,4,0.5,8,4,0.625,0.375,1,3,8
val,4,0.6000000238418579,6,4,0.5,0.5,1,3,6
val,4,0.699999988079071,8,4,0.625,0.25,2,2,8
val,4,0.800000011920929,6,4,0.3333333333333333,0.0,1,0,6
val,6,0.5,8,4,0.5,0.125,2,1,8
val,6,0.6000000238418579,8,4,0.375,0.0,1,0,8
val,6,0.699999988079071,8,4,0.625,0.125,1,1,8
val,6,0.800000011920929,4,4,0.5,0.0,0,0,4
test,2,0.5,9,4,0.8888888888888888,0.5555555555555556,1,5,9
test,2,0.6000000238418579,9,4,0.7777777777777778,0.4444444444444444,3,4,9
test,2,0.699999988079071,5,4,0.8,0.4,1,2,5
test,2,0.800000011920929,5,4,1.0,0.2,3,1,5
test,4,0.5,6,4,0.5,0.5,0,3,6
test,4,0.6000000238418579,7,4,0.8571428571428571,0.42857142857142855,3,3,7
test,4,0.699999988079071,9,4,0.3333333333333333,0.2222222222222222,1,2,9
test,4,0.800000011920929,6,4,0.5,0.16666666666666666,1,1,6
test,6,0.5,8,4,0.25,0.0,2,0,8
test,6,0.6000000238418579,8,4,0.5,0.125,1,1,8
test,6,0.699999988079071,5,4,0.6,0.0,0,0,5
test,6,0.800000011920929,7,4,0.8571428571428571,0.14285714285714285,1,1,7
