candidate_index,prospective_pool_candidate_index,sample_index,target_hash,k_value,ratio,admitted,fallback_used,strict_probability,eep_actual_strict_gate,oracle_has_strict_candidate,oracle_minimum_ratio,hfss_gate15,hfss_strict_gate20,hfss_mainlobe_gate,hfss_active_rl_gate,hfss_strict_engineering_gate,hfss_psll_db,hfss_nearest_iso_db,hfss_local_iso_db,hfss_worst_active_rl_db
0,24,390000,97d5fce5e1509643,2,0.800000011920929,0,1,2.7820058221550426e-06,0,0,nan,0,0,0,0,0,-5.0586395263671875,16.429519653320312,16.179092407226562,8.04953534688103
1,57,390001,47a4e85c008c0cf0,2,0.800000011920929,0,1,0.07516945898532867,0,0,nan,0,0,1,0,0,-10.768310546875,24.956714630126953,22.077056884765625,-4.055778446608629
2,95,390002,6df5dc964857163e,2,0.800000011920929,0,1,2.7820058221550426e-06,0,0,nan,0,0,1,0,0,-4.7222137451171875,14.629356384277344,14.531700134277344,4.374893014931179
3,121,390003,d1e073166481699f,2,0.800000011920929,0,1,0.07731276005506516,0,1,0.6000000238418579,1,1,1,0,0,-7.468482971191406,27.90069580078125,23.05926513671875,9.499562654651333
4,145,390004,0939ab629d64a1bf,4,0.699999988079071,1,0,0.8197154998779297,1,1,0.699999988079071,1,1,1,1,1,-6.2366180419921875,25.595779418945312,22.2657470703125,10.343514990399289
5,161,390005,60e79eb966d6b7e0,4,0.5,1,0,0.8617899417877197,1,1,0.5,1,1,1,1,1,-6.7662506103515625,27.67055892944336,21.868194580078125,10.613012567770788
6,193,390006,7af4adefb29120cf,4,0.5,1,0,0.9158105850219727,1,1,0.5,1,1,1,1,1,-5.1603240966796875,25.492507934570312,22.387962341308594,11.249359268793098
7,225,390007,734745ca345264ac,4,0.5,1,0,0.9728202819824219,1,1,0.5,1,1,1,1,1,-5.096565246582031,27.580078125,22.235050201416016,10.991845160892325
8,280,390008,a73f91e8a507eb75,6,0.800000011920929,0,1,2.7820058221550426e-06,0,0,nan,0,0,0,0,0,-1.4690475463867188,23.439674377441406,21.679840087890625,8.777349114793783
9,297,390009,bea8b62c98cfaa94,6,0.6000000238418579,1,0,0.8195505738258362,1,1,0.6000000238418579,1,1,1,1,1,-5.172676086425781,26.227680206298828,21.72357940673828,10.78573541552515
10,348,390010,8be2fd4a0ab5cf72,6,0.800000011920929,0,1,2.7820058221550426e-06,0,0,nan,0,0,0,0,0,-2.1854171752929688,23.077171325683594,20.90418243408203,2.659404585000469
11,378,390011,4e9e54a6a58f84b6,6,0.800000011920929,0,1,0.0012431578943505883,0,1,0.6000000238418579,0,0,0,1,0,-3.3358917236328125,24.580646514892578,21.973033905029297,10.192284859389085
