sample_index,k_value,baseline_oracle,joint_oracle,rescued,joint_minimum_ratio,baseline_best_violation_db,joint_best_violation_db
421000,2,1,1,0,0.5,0.0,0.0
421001,2,1,1,0,0.5,0.0,0.0
421002,2,1,1,0,0.5,0.0,0.0
421003,2,1,1,0,0.5,0.0,0.0
421004,2,1,1,0,0.5,0.0,0.0
421005,2,1,1,0,0.5,0.0,0.0
421006,2,0,1,1,0.5,0.35753631591796875,0.0
421007,2,0,1,1,0.6000000238418579,0.4140167236328125,0.0
421008,2,0,0,0,nan,3.204969346523285,1.3252967149019241
421009,2,0,0,0,nan,0.5,0.23448944091796875
421010,2,0,0,0,nan,0.5,0.5
421011,2,0,0,0,nan,0.38486480712890625,0.0844573974609375
421012,2,1,1,0,0.5,0.0,0.0
421013,2,1,1,0,0.5,0.0,0.0
421014,2,1,1,0,0.5,0.0,0.0
421015,2,1,1,0,0.5,0.0,0.0
421016,2,1,1,0,0.5,0.0,0.0
421017,2,1,1,0,0.5,0.0,0.0
421018,2,1,1,0,0.5,0.0,0.0
421019,2,1,1,0,0.6000000238418579,0.0,0.0
421020,6,1,1,0,0.5,0.0,0.0
421021,6,1,1,0,0.5,0.0,0.0
421022,6,1,1,0,0.5,0.0,0.0
421023,6,1,1,0,0.5,0.0,0.0
421024,6,1,1,0,0.5,0.0,0.0
421025,6,1,1,0,0.5,0.0,0.0
421026,6,1,1,0,0.5,0.0,0.0
421027,6,0,0,0,nan,0.5,0.5
421028,6,1,1,0,0.6000000238418579,0.0,0.0
421029,6,1,1,0,0.5,0.0,0.0
421030,6,1,1,0,0.5,0.0,0.0
421031,6,1,1,0,0.5,0.0,0.0
421032,6,1,1,0,0.5,0.0,0.0
421033,6,1,1,0,0.5,0.0,0.0
421034,6,1,1,0,0.5,0.0,0.0
421035,6,1,1,0,0.5,0.0,0.0
421036,6,1,1,0,0.5,0.0,0.0
421037,6,1,1,0,0.5,0.0,0.0
421038,6,1,1,0,0.5,0.0,0.0
421039,6,1,1,0,0.5,0.0,0.0
