candidate_index,sample_index,target_hash,k_value,ratio,selection_role,source_dataset,source_candidate_index,eep_actual_strict_gate20,eep_actual_psll_db,eep_actual_nearest_iso_db,eep_actual_local_iso_db,margin_psll_db,margin_nearest_iso_db,margin_local_iso_db,margin_mainlobe_db,margin_active_rl_db,mask_sha256,nominal_weights_sha256,actual_weights_sha256
0,422019,fd6a6531cb4922f9,2,0.5,strict_positive,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,1904,1,-7.945899963378906,26.195049285888672,22.95458221435547,7.945899963378906,1.1950492858886719,2.9545822143554688,0.5040130615234375,0.875036895275116,a2ce62c282a4640e95245ed5862d5c3df292a8db8fc8a78f48ed60dc5f20fba1,3b92a7f23591b2ac8b4e9b6a7bd8296435056a77f764d578a595dc8aea2af7d0,9c0b0173fa55a93844243e90055564f538ae170dfe2a2f1e05fad4c0bbeab309
1,422011,cd6589418a8bd28f,2,0.5,strict_positive,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,1137,1,-8.74298095703125,25.734771728515625,22.995506286621094,8.74298095703125,0.734771728515625,2.9955062866210938,0.503204345703125,0.7661787271499634,e2bda63caf554dcd3879c43fb19c81e08b3ae469549e4a25a438c619f3462e11,1611bb11c82af88560923e77755c2d3b4e65eb9b9014f585408a8884fb7e6a9b,471caa706ba55b1fe75aaab20c94964b8bd5e438a86fe7e33a56d43729892849
2,422004,e7acc4ff369d90eb,2,0.6000000238418579,strict_positive,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,445,1,-10.860137939453125,25.846668243408203,22.87464141845703,10.860137939453125,0.8466682434082031,2.8746414184570312,0.5000152587890625,0.8071359992027283,f32dbdc5ac8455694c61601269a7a4ae189dacaac1f5ed261114216d28fe9912,72e38370a21c07e0f14bd03a0152877a43004daef65cb152ac8aaad8283d29ed,d6cc60ca8869ea3c894b94a69ce890b6a0a4ea0212352793a1d77e1b3f2242fd
3,422007,b2c52ad8232c5e83,2,0.6000000238418579,nearest_boundary,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,726,1,-4.445411682128906,25.00983428955078,21.810890197753906,4.445411682128906,0.00983428955078125,1.8108901977539062,0.46912384033203125,1.1193832159042358,906cb5de6e542f3b7dc871772ebf12e82018856fd57efec79e90a69d855a9603,162de848149a9961c939b719f1a29f88a7fd733f31d60b2140c85dcee75f5102,42faa4649bc1468ed295a413ec85604e014e7fbc37cfe4d58134bac73787514e
4,422010,2cb9f54301427c44,2,0.699999988079071,nearest_boundary,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,995,1,-5.330360412597656,25.05023956298828,22.345260620117188,5.330360412597656,0.05023956298828125,2.3452606201171875,0.4858856201171875,0.2278154492378235,9642fddd195f3720b8c5b7a823f4b2061a6abc305a74f5f970b58c0c6f1ec788,f24f44b04f317e6eeb5ff253294402467d9f8045a64a474e17afcba11bf76261,1afcfd7d3044824d755257de4e959de08bf2531b871372f54e1f2e6cf0f5469f
5,422014,a33a907cb40c1394,2,0.5,active_rl_boundary,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,1425,1,-8.279006958007812,28.61544418334961,23.76068115234375,8.279006958007812,3.6154441833496094,3.76068115234375,0.473968505859375,0.012668863870203495,a2ce62c282a4640e95245ed5862d5c3df292a8db8fc8a78f48ed60dc5f20fba1,f706cbbaa39b04404c62e588d038bfbd46a9f736ca7e9c2a4b0ab7592348843b,c214c4e41480f80b558ccc28bf3d8615512998fe405ba318c73d0fcbc6b7587d
6,422006,ef0dc3e1362211d4,2,0.800000011920929,active_rl_boundary,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,578,1,-4.537071228027344,25.1883544921875,23.463882446289062,4.537071228027344,0.1883544921875,3.4638824462890625,0.4793548583984375,0.07074052095413208,2aeff0bff3f4e63e9ef189bdba44d5b05fdf50c64b44375ec4c1528b47696e33,53d523a36bbd1a0f1a88831fd1d3beae20219e6c83bdfc69f4b4826d0866c85e,103c132ac056d6460ee40e17f765736b7a184ffb793c4d37b317ce4fd1f2a1cc
7,423019,76de927dbe2cc512,4,0.5,strict_positive,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,1919,1,-8.356246948242188,26.953521728515625,22.327972412109375,8.356246948242188,1.953521728515625,2.327972412109375,0.5006561279296875,0.7795318365097046,13afec58c98cec6b9a530a090146ffbfb156275d2a9c289a898991ed0b19c02b,c377758699a989b20ec45ead4438b3399aa15444eb3ed51266ad90b9cfb5520f,59a99da6223668619ab8264215412b8973efb84047303ad1adc99116707ee3f2
8,423008,e7ec54963bccc65e,4,0.6000000238418579,strict_positive,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,827,1,-6.795524597167969,27.56523895263672,22.63689422607422,6.795524597167969,2.5652389526367188,2.6368942260742188,0.5,0.5488051772117615,2709e01e869d9a5a5cae6216dae0c91dc8f9d99a8469d326cef20ebca21fa0b5,179165cf6a14a25a92efb6a53b4a83e449b6e5b3684087fb4f51d731845b4139,bfb5f8240eb2d289eaa70161b737e84d110129fee54143db0928ed3de192ed48
9,423005,d07ab439d2d587ef,4,0.5,psll_boundary,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,557,1,-0.578094482421875,26.85034942626953,22.232006072998047,0.578094482421875,1.8503494262695312,2.232006072998047,0.48178863525390625,0.20988593995571136,2db206d860c23e9d24f8d6de2402302caf3488815d1c3af338b084dc84158eb2,1b404081fdef463745b54ad707c39f7da6add49747948e7cc27ac4881672cf57,1ba581aebdc57a18f6d3bf122eedace63c5782afeaaf2e0d85bd88b1d13faabe
10,423013,a1f1a80b07eff1d2,4,0.699999988079071,nearest_boundary,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,1290,1,-6.61883544921875,25.009254455566406,21.647125244140625,6.61883544921875,0.00925445556640625,1.647125244140625,0.4796295166015625,0.2346542328596115,dc04bce4a3fa4cf2aa76bd5eef8840457adc0c836a27af0f99e4ee97fac2b68c,455bd0df74f3e93d27c8dcf5d52d193982b5ed7b21549877f72fe1cd5ab0cc23,0c03e08c90ed3509cb328cc04fd9d34c116936c268513481780b0693d30abfb3
11,423007,df9cc1c2344b7f1b,4,0.800000011920929,local_boundary,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,683,1,-7.036323547363281,26.16302490234375,21.682815551757812,7.036323547363281,1.16302490234375,1.6828155517578125,0.46559906005859375,0.19778066873550415,d2f89e16ca42aa4449319f31cc0649ffd9a79e789938fd0c4fb21d2da4700635,2d8e9502efd75284d0326c117167814e2b4da09bc2a6107b17b4bebeb16f87c0,d76adfbb627a821d7ac469ce0d6a28524db5c3d8d63b8e303fc3f30817b76d13
12,423004,373c83fd1c0f0aa1,4,0.5,active_rl_boundary,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,457,1,-6.2375335693359375,25.844131469726562,22.308910369873047,6.2375335693359375,0.8441314697265625,2.308910369873047,0.21446308493614197,0.055028609931468964,029595759b2cd9ad4284a900fb60f6601c6579663cce1d7b4941fea54e822aa5,c442466b152dbfa5a6ad96d3482093a530fc8da4c1ac495e757012a4607dcbd5,d332d2748b0412ac679bb2a74a32edf89bcd434fe2f375c2c5cd13c689406aca
