sample_index,target_hash,k_value,candidate_count,strict_candidate_count,oracle_strict,oracle_minimum_ratio,best_candidate_index,best_candidate_ratio,best_strict_violation_db,min_target_separation_deg,max_target_theta_deg,large_scan,small_target_gap,best_margin_psll_db,best_margin_nearest_iso_db,best_margin_local20_iso_db,best_margin_mainlobe_db,best_margin_active_rl_db
423000,1a3e8b235472568c,4,96,18,1,0.5,90,0.5,0.0,16.0,24.0,0,1,6.9421234130859375,0.14027023315429688,1.5769996643066406,0.47589111328125,0.49616846442222595
423001,6df06671b866d50e,4,96,23,1,0.5,169,0.5,0.0,16.0,38.0,0,1,4.619743347167969,1.1380386352539062,2.056873321533203,0.3746490478515625,0.6969176530838013
423002,5482f1d3407ce4b5,4,96,62,1,0.5,265,0.5,0.0,16.0,39.0,0,1,5.04595947265625,3.961151123046875,1.7364006042480469,0.3785247802734375,0.32565218210220337
423003,69326824e3e958b0,4,96,33,1,0.5,361,0.5,0.0,16.0,43.0,0,1,6.05804443359375,3.048309326171875,2.269805908203125,0.492523193359375,1.0495259761810303
423004,373c83fd1c0f0aa1,4,96,5,1,0.5,457,0.5,0.0,16.0,40.0,0,1,6.2375335693359375,0.8441314697265625,2.308910369873047,0.21446308493614197,0.055028609931468964
423005,d07ab439d2d587ef,4,96,35,1,0.5,552,0.5,0.0,16.0,38.0,0,1,3.0794525146484375,1.4756851196289062,1.9693069458007812,0.4476165771484375,0.23975731432437897
423006,73a6214cc44e3a59,4,96,24,1,0.5,648,0.5,0.0,16.0,37.0,0,1,4.450286865234375,2.0385055541992188,2.5828514099121094,0.454071044921875,0.5188263058662415
423007,df9cc1c2344b7f1b,4,96,53,1,0.5,744,0.5,0.0,16.0,29.0,0,1,4.019584655761719,1.5636482238769531,1.7278022766113281,0.491607666015625,0.06793394684791565
423008,e7ec54963bccc65e,4,96,44,1,0.5,842,0.5,0.0,16.0,29.0,0,1,4.414176940917969,1.9969139099121094,1.9211769104003906,0.45654296875,0.17245328426361084
423009,32ba815925a01869,4,96,60,1,0.5,937,0.5,0.0,16.0,40.0,0,1,8.116630554199219,1.6534042358398438,2.1693115234375,0.47705841064453125,1.054031491279602
423010,9468630c5a549a78,4,96,58,1,0.5,1032,0.5,0.0,18.50168800354004,40.0,0,1,5.8910064697265625,0.5633697509765625,1.2193069458007812,0.42926788330078125,0.9382894039154053
423011,ca49083001bf7939,4,96,59,1,0.5,1128,0.5,0.0,16.0,29.0,0,1,3.4958038330078125,2.054393768310547,2.266510009765625,0.3189544677734375,0.37822890281677246
423012,9763991c5a337c61,4,96,62,1,0.5,1224,0.5,0.0,26.207185745239258,41.0,0,0,5.935325622558594,1.0649948120117188,2.611328125,0.46466827392578125,0.8370442390441895
423013,a1f1a80b07eff1d2,4,96,57,1,0.5,1320,0.5,0.0,21.58724594116211,35.0,0,0,3.8013229370117188,0.38355255126953125,1.2595596313476562,0.4892578125,1.0618304014205933
423014,4fff43b53ea68f4e,4,96,26,1,0.5,1417,0.5,0.0,21.869728088378906,39.0,0,0,5.659027099609375,2.399364471435547,1.9816360473632812,0.480987548828125,0.4770321846008301
423015,92f1d7549df65c1b,4,96,47,1,0.5,1513,0.5,0.0,23.170639038085938,37.0,0,0,5.48394775390625,0.58404541015625,1.6631889343261719,0.40404510498046875,1.0041438341140747
423016,cc20bffbd99a8226,4,96,36,1,0.5,1619,0.5,0.0,23.96044158935547,38.0,0,0,3.7271957397460938,0.5143508911132812,2.0031051635742188,0.4665679931640625,0.7721543312072754
423017,c62f842cdf7f2835,4,96,33,1,0.5,1705,0.5,0.0,17.33513641357422,27.0,0,1,7.297576904296875,1.8635482788085938,2.1331558227539062,0.4467620849609375,0.2037965953350067
423018,bacdf063c00f52fd,4,96,18,1,0.5,1801,0.5,0.0,16.16038703918457,25.0,0,1,6.647605895996094,2.4162521362304688,1.2572250366210938,0.2805633544921875,0.33308708667755127
423019,76de927dbe2cc512,4,96,50,1,0.5,1897,0.5,0.0,16.0,30.0,0,1,6.712249755859375,0.9504013061523438,1.6809272766113281,0.4851837158203125,0.6293154954910278
