candidate_index,sample_index,target_hash,k_value,ratio,selection_category,boundary_metric,pair_group,source_dataset,source_candidate_index,eep_actual_strict_gate20,eep_nominal_strict_gate20,margin_psll_db,margin_nearest_iso_db,margin_local_iso_db,margin_mainlobe_db,margin_active_rl_db,mask_sha256,nominal_weights_sha256,actual_weights_sha256
0,422009,33d4fbcbc75fbda9,2,0.5,near_boundary,psll,,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,943,0,0,-0.3511962890625,-2.0560073852539062,2.26116943359375,0.445281982421875,0.9492389559745789,0a0cfc0523815f2861dd47e53a3933c174d1417a687a548dc25d56c2210fcdc6,64ac51aa8034f4620c34dbfd7eee17abcb551999f5b008ff6a6537894212de54,812a87b2e41a1eaeb0256fb67e50971440ee0142655889fea18cecc983d58f1c
1,421015,e31d97de60b7f195,2,0.6000000238418579,near_boundary,nearest_iso,,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,1505,0,0,8.237350463867188,0.0017547607421875,1.0181884765625,0.420654296875,-0.007899686694145203,df179b813e81a740656a5d01dd73782a28c4b4afa35fdb88e8c8f2d7d703e72a,e0d304f10e49be926c2a4b3073def452e1eb14316ecf7ae50252383c248671a5,c570ce497083cd7ac2f2b1ba2a70b00d622acb317ae1f6c3be67e85aa481db0d
2,421003,c5158b6de663ae4c,2,0.699999988079071,near_boundary,local_iso,,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,332,0,0,6.73077392578125,-3.111724853515625,0.0016326904296875,0.4288482666015625,0.12166234105825424,434365fd134dafc025040a115d13f22f52ed73e0b4dab99e04f38c798e72c4e2,0dceb987735c61ec30a4880333dc3252467fcbe80433a2f66af24c4b4a5f2c1f,c0c821216043ed744064c5f242ce1900d8b9926a4181f4e850f957ec1d531438
3,421019,49062885375962c5,2,0.800000011920929,near_boundary,active_rl,,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,1839,0,0,9.472511291503906,-1.1139717102050781,2.9700775146484375,0.47290802001953125,0.009643062017858028,10fc3fe330de3906a73f25244b42e73c5309b8cf5a525228a674f4e80ddd5f36,e9f751ea6639a8fa8eccff6fe7a2d884ad9d04ecdcf6b3b8c2b2f27f01442153,81c6e9d04cf48175b2912050993016c9d43c441ad89f18006ba8f883cc3a70af
4,422002,672dfc48d61748dc,2,0.5,near_boundary,psll,,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,271,0,0,-0.4600067138671875,-1.4520034790039062,2.933563232421875,0.47544097900390625,1.7064199447631836,0a0cfc0523815f2861dd47e53a3933c174d1417a687a548dc25d56c2210fcdc6,462529deb45cfc8a83831b87f887819f23acda3b012579f6a74c51425b23391c,8cb985e641c600f91a1196c2269e285ec52b92c628f4644ae372d2a3f42e4a9a
5,422017,d6b4e6a043dd618c,2,0.6000000238418579,near_boundary,nearest_iso,,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,1682,0,0,7.2811431884765625,-0.00243377685546875,2.6385116577148438,0.47097015380859375,0.5908915996551514,9e2f61cd8e684879fd84387a226cbd06b449f9fe4c6bc8ca35590be63787bebb,832500ce86133b412159e43f0863c2761b6bbece38daa109748fb77b0b3ef2ef,bbee9a26b489c9d3a42a4040856e55a3fb41607712aa604436f9f1b96e88c58f
6,421017,f85a12f42f1cf166,2,0.5,hard_positive,,k2_pair_01_s421017,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,1725,1,1,5.1473236083984375,1.4279861450195312,3.7843093872070312,0.5065460205078125,1.1688282489776611,1c22556f0174513ff12e7b842e44c5f83027d41f849b224ff07b961e565b9a4e,315194a0b9d8672c749e9ec412686bf599d382f43b32b30cbc4024f61c935267,96f03547be26f7cb65720775875a7a6d8018bdc75f395e141c38d2d03f87a27a
7,421001,41ef9f7f84ded12d,2,0.6000000238418579,hard_positive,,,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,162,1,1,8.919296264648438,5.745243072509766,3.1417007446289062,0.502532958984375,0.5178130865097046,b2b33a4ad13e7613f9fb84c3ddd12155201c96a91b90fe789978ccac1c2f2e5f,0c38167e2f955e72934771589484e32b291d6f7d6740d378c8f04b300744e644,b59d503187b571fd9dba3964262fdd13a662d385f9eb1e269eb7ec92763efb59
8,421002,ed1de8031e36a760,2,0.699999988079071,hard_positive,,,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,233,1,1,12.046676635742188,0.9063987731933594,4.036823272705078,0.50103759765625,0.6302096247673035,3d600f3576a5cc9f03471eba1727d30a2c6caf94cba13b2a6ddeb91a5ed998b5,8b7bb5cf48ff9575c2317bad3d8e2aed11c453b5602e700a8dcde7f6d18dcccf,cfe86e03aaf96201f4e6fcc53cf65004129832961cbb95a172629175c3ce5d67
9,421013,b2c0bb87d49f3dfa,2,0.800000011920929,hard_positive,,,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,1262,1,1,10.847396850585938,1.7289505004882812,2.3121566772460938,0.49542236328125,1.5584571361541748,54bc61578c88ff5c5d0bde2f2b505315c8014978f87cbcfd1047e9475a2caa98,cd9dde8afc95a940477f4323d6a79bc1c60b44a5204f1cf69c49b27dd08c01b2,f24c2431d958b9c1f69bb5c3dc1bda7c9ffb033769153f3218df45b3c4d5eab7
