base_sample_index,k_value,target_hash,max_target_theta_deg,min_target_separation_deg,source_dataset,computed_target_hash
422015,2,16480c12d6570982,19.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,ec5ec42b02eab593
422016,2,a8b044ebc75c8493,22.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,4fe0b261f2c8c5d4
422012,2,47d90f52fb5667c2,38.0,30.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,2b7c1b5ce57700b6
422005,2,6f20d2889434bf44,34.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,d9f33017610205f8
422019,2,fd6a6531cb4922f9,32.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,c206c265cd03fbc8
422003,2,1a93533e6ba3d4f1,35.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,a80929d75f466842
422014,2,a33a907cb40c1394,36.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,d468264b81e206eb
422000,2,1fc5ae6b29e96808,39.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,b15dfca36d1bda72
422011,2,cd6589418a8bd28f,39.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,8f5902ec849bb6ac
422017,2,d6b4e6a043dd618c,41.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,f3526c058435a749
422018,2,9688571a586f4868,42.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,e961628743b6df65
422006,2,ef0dc3e1362211d4,48.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,ad2ae1fcb52eaa40
422010,2,2cb9f54301427c44,48.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,8eee2d86cffcd827
422007,2,b2c52ad8232c5e83,48.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,90aa09f13abb889e
422009,2,33d4fbcbc75fbda9,48.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01,2c2c8a56c968819e
423000,4,1a3e8b235472568c,24.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,f0c3bf9150433530
423018,4,bacdf063c00f52fd,25.0,16.16038703918457,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,590c66b19f53940d
423007,4,df9cc1c2344b7f1b,29.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,72f7d924262f75fe
423008,4,e7ec54963bccc65e,29.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,c0318775d1fe0f82
423011,4,ca49083001bf7939,29.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,3b9dbcfd2a42c17e
423013,4,a1f1a80b07eff1d2,35.0,21.58724594116211,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,bb91f9feb35c32f6
423015,4,92f1d7549df65c1b,37.0,23.170639038085938,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,1c76a96378044dee
423012,4,9763991c5a337c61,41.0,26.207185745239258,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,dc2a8318ecf1e960
423014,4,4fff43b53ea68f4e,39.0,21.869728088378906,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,e61ce1d13dfb5837
423006,4,73a6214cc44e3a59,37.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,befca04d0f954a3a
423005,4,d07ab439d2d587ef,38.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,5e28c5af08ecab3d
423010,4,9468630c5a549a78,40.0,18.50168800354004,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,8d2e2d5dde4a0337
423002,4,5482f1d3407ce4b5,39.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,4c65eb384dc7468f
423009,4,32ba815925a01869,40.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,1bc2aec78a1e154b
423003,4,69326824e3e958b0,43.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01,a6d1bacd31bfd51a
421037,6,6fd6a21e8c5f9257,42.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,1d8415003feab672
421031,6,c3719bf95d3c806a,43.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,3265c3761062ed40
421039,6,9811c8b33bc38642,44.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,449119c6466e8b36
421021,6,c4e2370136b0c3f5,45.0,13.678428649902344,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,e1c3acdce2875f87
421024,6,8be01219e85cec1a,46.0,14.58853530883789,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,5526f5ebff3154bb
421020,6,5da25b45082993a5,47.0,14.58853530883789,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,e7130d6dbca138a0
421033,6,b4d6229fa3da95cc,47.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01,7344440fba2ea6a1
