gate,bin,lower,upper,count,mean_probability,observed_rate
strict_gate20,0,0.0,0.1,571,0.01171319790141463,0.0
strict_gate20,1,0.1,0.2,42,0.14962952142093508,0.047619047619047616
strict_gate20,2,0.2,0.30000000000000004,33,0.24952906418704623,0.09090909090909091
strict_gate20,3,0.30000000000000004,0.4,24,0.35061084534972914,0.08333333333333333
strict_gate20,4,0.4,0.5,12,0.45305600439508753,0.3333333333333333
strict_gate20,5,0.5,0.6000000000000001,34,0.5558349678183303,0.7647058823529411
strict_gate20,6,0.6000000000000001,0.7000000000000001,13,0.6511219581732384,0.6153846153846154
strict_gate20,7,0.7000000000000001,0.8,10,0.7628297978639603,0.9
strict_gate20,8,0.8,0.9,28,0.8412162985120502,0.9642857142857143
strict_gate20,9,0.9,1.0,97,0.9632362174004624,0.9896907216494846
active_rl_gate,0,0.0,0.1,416,0.01644762604124746,0.0
active_rl_gate,1,0.1,0.2,66,0.1491123106217746,0.015151515151515152
active_rl_gate,2,0.2,0.30000000000000004,30,0.25778702562054,0.16666666666666666
active_rl_gate,3,0.30000000000000004,0.4,32,0.35208187126554547,0.09375
active_rl_gate,4,0.4,0.5,27,0.4539528399705887,0.2962962962962963
active_rl_gate,5,0.5,0.6000000000000001,26,0.5505131383927969,0.6153846153846154
active_rl_gate,6,0.6000000000000001,0.7000000000000001,30,0.6506863374511401,0.7333333333333333
active_rl_gate,7,0.7000000000000001,0.8,21,0.755279865860939,0.8095238095238095
active_rl_gate,8,0.8,0.9,31,0.8552534064938945,0.967741935483871
active_rl_gate,9,0.9,1.0,185,0.9711916719900596,1.0
