metric,with_drift_features,without_drift_features,delta_with_minus_without
test_strict_gate20_auroc,0.9886750713410472,0.9827112065066326,0.005963864834414578
test_strict_gate20_auprc,0.9553957260387588,0.9353271709216898,0.020068555117068954
test_strict_gate20_brier,0.034338845713915746,0.04366865042156439,-0.009329804707648645
test_strict_gate20_ece,0.033032274168928975,0.03801292461489707,-0.004980650445968092
test_strict_gate20_precision,0.9064000655652655,0.9466429508703937,-0.040242885305128206
test_strict_gate20_recall,0.8983050847457626,0.7480225988700565,0.15028248587570614
test_active_rl_gate_auroc,0.9867354271462991,0.9764757033556967,0.01025972379060247
test_active_rl_gate_auprc,0.9763817137741457,0.9586003062381184,0.017781407536027305
test_active_rl_gate_brier,0.04761942350587285,0.06220438582527934,-0.014584962319406487
test_active_rl_gate_ece,0.042270174974799846,0.048448143301626535,-0.00617796832682669
test_active_rl_gate_precision,0.8931810935230396,0.9157435725032587,-0.022562478980219014
test_active_rl_gate_recall,0.9170731707317075,0.7930313588850175,0.12404181184668994
top1_strict_rate,0.3,0.2972222222222222,0.002777777777777768
