sample_index,base_sample_index,operator_profile,operator_family,drift_intensity,split,k_value,candidate_count
1400000,421020,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400001,421021,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400002,421022,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400003,421023,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400004,421024,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400005,421025,frequency_low_x0.05,frequency_low,0.05,test,6,4
1400006,421026,frequency_low_x0.05,frequency_low,0.05,test,6,4
1400007,421029,frequency_low_x0.05,frequency_low,0.05,val,6,4
1400008,421030,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400009,421031,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400010,421033,frequency_low_x0.05,frequency_low,0.05,test,6,4
1400011,421035,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400012,421036,frequency_low_x0.05,frequency_low,0.05,val,6,4
1400013,421037,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400014,421039,frequency_low_x0.05,frequency_low,0.05,train,6,4
1400015,422000,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400016,422003,frequency_low_x0.05,frequency_low,0.05,val,2,4
1400017,422005,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400018,422006,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400019,422007,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400020,422009,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400021,422010,frequency_low_x0.05,frequency_low,0.05,val,2,4
1400022,422011,frequency_low_x0.05,frequency_low,0.05,test,2,4
1400023,422012,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400024,422014,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400025,422015,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400026,422016,frequency_low_x0.05,frequency_low,0.05,test,2,4
1400027,422017,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400028,422018,frequency_low_x0.05,frequency_low,0.05,test,2,4
1400029,422019,frequency_low_x0.05,frequency_low,0.05,train,2,4
1400030,423000,frequency_low_x0.05,frequency_low,0.05,test,4,4
1400031,423002,frequency_low_x0.05,frequency_low,0.05,train,4,4
1400032,423003,frequency_low_x0.05,frequency_low,0.05,test,4,4
1400033,423005,frequency_low_x0.05,frequency_low,0.05,train,4,4
1400034,423006,frequency_low_x0.05,frequency_low,0.05,train,4,4
1400035,423007,frequency_low_x0.05,frequency_low,0.05,train,4,4
1400036,423008,frequency_low_x0.05,frequency_low,0.05,val,4,4
1400037,423009,frequency_low_x0.05,frequency_low,0.05,train,4,4
1400038,423010,frequency_low_x0.05,frequency_low,0.05,val,4,4
1400039,423011,frequency_low_x0.05,frequency_low,0.05,train,4,4
1400040,423012,frequency_low_x0.05,frequency_low,0.05,train,4,4
1400041,423013,frequency_low_x0.05,frequency_low,0.05,train,4,4
1400042,423014,frequency_low_x0.05,frequency_low,0.05,test,4,4
1400043,423015,frequency_low_x0.05,frequency_low,0.05,train,4,4
1400044,423018,frequency_low_x0.05,frequency_low,0.05,train,4,4
1401000,421020,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401001,421021,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401002,421022,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401003,421023,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401004,421024,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401005,421025,frequency_low_x0.20,frequency_low,0.2,test,6,4
1401006,421026,frequency_low_x0.20,frequency_low,0.2,test,6,4
1401007,421029,frequency_low_x0.20,frequency_low,0.2,val,6,4
1401008,421030,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401009,421031,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401010,421033,frequency_low_x0.20,frequency_low,0.2,test,6,4
1401011,421035,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401012,421036,frequency_low_x0.20,frequency_low,0.2,val,6,4
1401013,421037,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401014,421039,frequency_low_x0.20,frequency_low,0.2,train,6,4
1401015,422000,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401016,422003,frequency_low_x0.20,frequency_low,0.2,val,2,4
1401017,422005,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401018,422006,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401019,422007,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401020,422009,frequency_low_x0.20,frequency_low,0.2,train,2,4
1401021,422010,frequency_low_x0.20,frequency_low,0.2,val,2,4
1401022,422011,frequency_low_x0.20,frequency_low,0.2,test,2,4
