model,bin,count,mean_probability,observed_rate
model_a,0,580,0.022329228831158753,0.0
model_a,1,52,0.1509446113731918,0.07692307692307693
model_a,2,41,0.2581454107356144,0.34146341463414637
model_a,3,32,0.3365854568313807,0.375
model_a,4,22,0.4561756986108694,0.6363636363636364
model_a,5,9,0.5462648411591847,0.7777777777777778
model_a,6,8,0.6108431980013848,0.875
model_a,7,6,0.7822416504224141,1.0
model_a,8,7,0.8574139884540014,1.0
model_a,9,107,0.9650131790437431,0.9906542056074766
model_b,0,590,0.011066466719436114,0.001694915254237288
model_b,1,53,0.15322414330889927,0.05660377358490566
model_b,2,12,0.27473393542071184,0.08333333333333333
model_b,3,15,0.35021684745947523,0.13333333333333333
model_b,4,24,0.46794117117921513,0.5833333333333334
model_b,5,25,0.5531082079410553,0.68
model_b,6,16,0.6350463636219501,0.75
model_b,7,14,0.7627374346767153,0.9285714285714286
model_b,8,26,0.8571367089564983,1.0
model_b,9,89,0.9725480865896416,0.9887640449438202
model_c,0,571,0.01171319790141463,0.0
model_c,1,42,0.14962952142093508,0.047619047619047616
model_c,2,33,0.24952906418704623,0.09090909090909091
model_c,3,24,0.35061084534972914,0.08333333333333333
model_c,4,12,0.45305600439508753,0.3333333333333333
model_c,5,34,0.5558349678183303,0.7647058823529411
model_c,6,13,0.6511219581732384,0.6153846153846154
model_c,7,10,0.7628297978639603,0.9
model_c,8,28,0.8412162985120502,0.9642857142857143
model_c,9,97,0.9632362174004624,0.9896907216494846
