model,dimension,value,auroc,auprc,brier,ece,precision,recall,positive_rate
model_a,k,2,0.9762434352795799,0.8996815971784787,0.03605270167339697,0.033548370510657,0.9092553997726412,0.7384615384615385,0.13541666666666666
model_a,k,4,0.9896086194586875,0.9732858253096508,0.03634157855757259,0.04837983561314557,0.949925217994102,0.8535211267605634,0.24652777777777776
model_a,k,6,0.9842844600526778,0.9400592870227745,0.05076563141824812,0.06508816037924293,0.9392056685452912,0.6925373134328359,0.2326388888888889
model_a,ratio,0.5,0.9961133603238865,0.9786497926915384,0.021780268040653937,0.0460532967115509,0.9605351170568561,0.7846153846153847,0.12037037037037038
model_a,ratio,0.6,0.985705003248863,0.9511570471993958,0.04078287233624962,0.04800248619391153,0.9129261286108662,0.8,0.20833333333333334
model_a,ratio,0.7,0.9669058918856349,0.9002303806692351,0.058734565088796334,0.0489414295497044,0.902428601209089,0.7283018867924529,0.24537037037037038
model_a,ratio,0.8,0.984535247135085,0.9645002695887344,0.042915510066590355,0.052977765320343616,0.977224980082123,0.769811320754717,0.24537037037037038
model_a,drift_intensity,0.05,0.9893538461538463,0.9847225969382098,0.026923400232756235,0.07013776155679216,0.9902920634920636,0.976,0.5787037037037037
model_a,drift_intensity,0.20,0.8665806754221389,0.5986855435238103,0.13375628568139986,0.08680412231467256,0.5997785780979059,0.2653846153846154,0.24074074074074076
model_a,drift_intensity,0.50,nan,nan,0.001769852278834657,0.02378696983798298,0.0,0.0,0.0
model_a,drift_intensity,1.00,nan,nan,0.0017636773392995266,0.02338658649393723,0.0,0.0,0.0
model_b,k,2,0.9890021624961383,0.9477148230101508,0.028222804510266607,0.028178916408928743,0.9199506375976965,0.8153846153846154,0.13541666666666666
model_b,k,4,0.9943012916206919,0.9836944472155096,0.03389303272352402,0.06114744866696077,0.8947981770012868,0.9380281690140844,0.24652777777777776
model_b,k,6,0.9892888498683055,0.9512525391858798,0.038154887947493554,0.042209403243288715,0.9203407896644198,0.835820895522388,0.2326388888888889
model_b,ratio,0.5,0.9982995951417004,0.9882857397368412,0.017682519398967256,0.04640273474483618,0.9096807151979565,0.8923076923076924,0.12037037037037038
model_b,ratio,0.6,0.9931124106562702,0.9750778728248317,0.029491584256006058,0.044820412116742904,0.9131755794576579,0.9111111111111111,0.20833333333333334
model_b,ratio,0.7,0.9799861095034148,0.9264367261155504,0.046654480134706175,0.039190231456609305,0.8974242424242425,0.8641509433962264,0.24537037037037038
model_b,ratio,0.8,0.9888181502488715,0.9683780939894844,0.03986571645203276,0.03798911110202876,0.9171916030128371,0.8377358490566038,0.24537037037037038
model_b,drift_intensity,0.05,0.9882197802197801,0.9820605765367523,0.028643162491584294,0.07521600050365865,0.9887174603174603,0.976,0.5787037037037037
model_b,drift_intensity,0.20,0.9166979362101312,0.7382055523466059,0.10419027737011095,0.06876732481970213,0.6983292899060697,0.623076923076923,0.24074074074074076
model_b,drift_intensity,0.50,nan,nan,0.0008607062041812418,0.01261386929697109,0.0,0.0,0.0
model_b,drift_intensity,1.00,nan,nan,1.541758357564105e-07,5.852443350793603e-05,0.0,0.0,0.0
model_c,k,2,0.9890433528987745,0.9512457726335668,0.02904527031370126,0.037941662586651645,0.9661367249602544,0.8,0.13541666666666666
model_c,k,4,0.9960407606931915,0.9874048412675187,0.035844805260332624,0.0719937431097285,0.8815097935557155,0.9830985915492958,0.24652777777777776
model_c,k,6,0.9887553184304722,0.9542029407209265,0.03812646100696754,0.042290626915908666,0.9099932942874119,0.8656716417910447,0.2326388888888889
model_c,ratio,0.5,0.9976113360323886,0.9865059005176973,0.018424635250994987,0.051516618945422296,0.8922448177620591,0.9538461538461538,0.12037037037037038
model_c,ratio,0.6,0.9923586744639374,0.9721213047503576,0.029444514905415397,0.0443812433422974,0.9304899671337139,0.9244444444444445,0.20833333333333334
model_c,ratio,0.7,0.9785854844310684,0.9305571136836772,0.04823312218574166,0.043523324215975455,0.8956745580773496,0.8716981132075471,0.24537037037037038
model_c,ratio,0.8,0.9869892348651466,0.9642686804030964,0.041253109765849845,0.03853297943718777,0.9051881444044957,0.8754716981132076,0.24537037037037038
model_c,drift_intensity,0.05,0.9898461538461538,0.9855825831533822,0.030593588270237098,0.08252001328947119,0.9856349206349206,0.984,0.5787037037037037
model_c,drift_intensity,0.20,0.9091697936210131,0.7321117599119571,0.10508472652230658,0.05790008050988558,0.7136027271720193,0.6923076923076923,0.24074074074074076
model_c,drift_intensity,0.50,nan,nan,0.0016765402711870817,0.017416327527413084,0.0,0.0,0.0
model_c,drift_intensity,1.00,nan,nan,5.270442711489072e-07,0.0001377143876888484,0.0,0.0,0.0
