model,dimension,value,top1_strict_rate,oracle_strict_rate
model_a,k,2,0.25277777777777777,0.2638888888888889
model_a,k,4,0.3055555555555556,0.3611111111111111
model_a,k,6,0.3166666666666667,0.4027777777777778
model_a,ratio,0.5,0.12037037037037038,0.12037037037037038
model_a,ratio,0.6,0.20833333333333334,0.20833333333333334
model_a,ratio,0.7,0.24537037037037038,0.24537037037037038
model_a,ratio,0.8,0.24537037037037038,0.24537037037037038
model_a,drift_intensity,0.05,0.874074074074074,0.888888888888889
model_a,drift_intensity,0.20,0.29259259259259257,0.4814814814814815
model_a,drift_intensity,0.50,0.0,0.0
model_a,drift_intensity,1.00,0.0,0.0
model_b,k,2,0.25,0.2638888888888889
model_b,k,4,0.3194444444444445,0.3611111111111111
model_b,k,6,0.3333333333333333,0.4027777777777778
model_b,ratio,0.5,0.12037037037037038,0.12037037037037038
model_b,ratio,0.6,0.20833333333333334,0.20833333333333334
model_b,ratio,0.7,0.24537037037037038,0.24537037037037038
model_b,ratio,0.8,0.24537037037037038,0.24537037037037038
model_b,drift_intensity,0.05,0.8703703703703705,0.888888888888889
model_b,drift_intensity,0.20,0.3333333333333333,0.4814814814814815
model_b,drift_intensity,0.50,0.0,0.0
model_b,drift_intensity,1.00,0.0,0.0
model_c,k,2,0.25,0.2638888888888889
model_c,k,4,0.3111111111111111,0.3611111111111111
model_c,k,6,0.3388888888888889,0.4027777777777778
model_c,ratio,0.5,0.12037037037037038,0.12037037037037038
model_c,ratio,0.6,0.20833333333333334,0.20833333333333334
model_c,ratio,0.7,0.24537037037037038,0.24537037037037038
model_c,ratio,0.8,0.24537037037037038,0.24537037037037038
model_c,drift_intensity,0.05,0.874074074074074,0.888888888888889
model_c,drift_intensity,0.20,0.32592592592592595,0.4814814814814815
model_c,drift_intensity,0.50,0.0,0.0
model_c,drift_intensity,1.00,0.0,0.0
