sample_index,ratio,initial_unique_masks,rescue_unique_masks,total_unique_masks
421020,0.5,32,0,32
421020,0.6,32,0,32
421020,0.7,32,0,32
421020,0.8,32,0,32
421021,0.5,32,0,32
421021,0.6,32,0,32
421021,0.7,32,0,32
421021,0.8,32,0,32
421022,0.5,32,8,40
421022,0.6,32,8,40
421022,0.7,32,8,40
421022,0.8,32,8,40
421023,0.5,32,8,40
421023,0.6,32,8,40
421023,0.7,32,8,40
421023,0.8,32,8,40
421024,0.5,32,0,32
421024,0.6,32,0,32
421024,0.7,32,0,32
421024,0.8,32,0,32
421025,0.5,32,8,40
421025,0.6,32,8,40
421025,0.7,32,8,40
421025,0.8,32,8,40
421026,0.5,32,8,40
421026,0.6,32,8,40
421026,0.7,32,8,40
421026,0.8,32,8,40
421029,0.5,32,8,40
421029,0.6,32,8,40
421029,0.7,32,8,40
421029,0.8,32,8,40
421030,0.5,32,0,32
421030,0.6,32,0,32
421030,0.7,32,0,32
421030,0.8,32,0,32
421031,0.5,32,8,40
421031,0.6,32,8,40
421031,0.7,32,8,40
421031,0.8,32,8,40
421033,0.5,32,8,40
421033,0.6,32,8,40
421033,0.7,32,8,40
421033,0.8,32,8,40
421035,0.5,32,8,40
421035,0.6,32,8,40
421035,0.7,32,8,40
421035,0.8,32,8,40
421036,0.5,32,8,40
421036,0.6,32,8,40
421036,0.7,32,8,40
421036,0.8,32,8,40
421037,0.5,32,0,32
421037,0.6,32,0,32
421037,0.7,32,0,32
421037,0.8,32,0,32
421039,0.5,32,0,32
421039,0.6,32,0,32
421039,0.7,32,0,32
421039,0.8,32,0,32
422000,0.5,32,8,40
422000,0.6,32,8,40
422000,0.7,32,8,40
422000,0.8,32,8,40
422003,0.5,32,0,32
422003,0.6,32,0,32
422003,0.7,32,0,32
422003,0.8,32,0,32
422005,0.5,32,0,32
422005,0.6,32,0,32
422005,0.7,32,0,32
422005,0.8,32,0,32
422006,0.5,32,8,40
422006,0.6,32,8,40
422006,0.7,32,8,40
422006,0.8,32,8,40
422007,0.5,32,0,32
422007,0.6,32,0,32
422007,0.7,32,0,32
422007,0.8,32,0,32
422009,0.5,32,0,32
422009,0.6,32,0,32
422009,0.7,32,0,32
422009,0.8,32,0,32
422010,0.5,32,0,32
422010,0.6,32,0,32
422010,0.7,32,0,32
422010,0.8,32,0,32
422011,0.5,32,0,32
422011,0.6,32,0,32
422011,0.7,32,0,32
422011,0.8,32,0,32
422012,0.5,32,0,32
422012,0.6,32,0,32
422012,0.7,32,0,32
422012,0.8,32,0,32
422014,0.5,32,0,32
422014,0.6,32,0,32
422014,0.7,32,0,32
422014,0.8,32,0,32
422015,0.5,32,0,32
422015,0.6,32,0,32
422015,0.7,32,0,32
422015,0.8,32,0,32
422016,0.5,32,0,32
422016,0.6,32,0,32
422016,0.7,32,0,32
422016,0.8,32,0,32
422017,0.5,32,0,32
422017,0.6,32,0,32
422017,0.7,32,0,32
422017,0.8,32,0,32
422018,0.5,32,8,40
422018,0.6,32,8,40
422018,0.7,32,8,40
422018,0.8,32,8,40
422019,0.5,32,0,32
422019,0.6,32,0,32
422019,0.7,32,0,32
422019,0.8,32,0,32
423000,0.5,32,8,40
