sample_index,k_value,target_hash,scene_origin,max_target_theta_deg,min_target_separation_deg,source_dataset
422015,2,16480c12d6570982,existing45,19.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422016,2,a8b044ebc75c8493,existing45,22.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422012,2,47d90f52fb5667c2,existing45,38.0,30.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422005,2,6f20d2889434bf44,existing45,34.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422019,2,fd6a6531cb4922f9,existing45,32.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422003,2,1a93533e6ba3d4f1,existing45,35.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422014,2,a33a907cb40c1394,existing45,36.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422000,2,1fc5ae6b29e96808,existing45,39.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422011,2,cd6589418a8bd28f,existing45,39.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422017,2,d6b4e6a043dd618c,existing45,41.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422018,2,9688571a586f4868,existing45,42.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422006,2,ef0dc3e1362211d4,existing45,48.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422010,2,2cb9f54301427c44,existing45,48.0,20.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422007,2,b2c52ad8232c5e83,existing45,48.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
422009,2,33d4fbcbc75fbda9,existing45,48.0,18.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v12_k2_operating_envelope_validation_candidates_20260727_run01
423000,4,1a3e8b235472568c,existing45,24.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423018,4,bacdf063c00f52fd,existing45,25.0,16.16038703918457,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423007,4,df9cc1c2344b7f1b,existing45,29.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423008,4,e7ec54963bccc65e,existing45,29.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423011,4,ca49083001bf7939,existing45,29.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423013,4,a1f1a80b07eff1d2,existing45,35.0,21.58724594116211,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423015,4,92f1d7549df65c1b,existing45,37.0,23.170639038085938,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423012,4,9763991c5a337c61,existing45,41.0,26.207185745239258,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423014,4,4fff43b53ea68f4e,existing45,39.0,21.869728088378906,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423006,4,73a6214cc44e3a59,existing45,37.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423005,4,d07ab439d2d587ef,existing45,38.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423010,4,9468630c5a549a78,existing45,40.0,18.50168800354004,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423002,4,5482f1d3407ce4b5,existing45,39.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423009,4,32ba815925a01869,existing45,40.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
423003,4,69326824e3e958b0,existing45,43.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v13_k4_operating_envelope_validation_candidates_20260727_run01
421037,6,6fd6a21e8c5f9257,existing45,42.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421031,6,c3719bf95d3c806a,existing45,43.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421039,6,9811c8b33bc38642,existing45,44.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421021,6,c4e2370136b0c3f5,existing45,45.0,13.678428649902344,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421024,6,8be01219e85cec1a,existing45,46.0,14.58853530883789,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421020,6,5da25b45082993a5,existing45,47.0,14.58853530883789,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421033,6,b4d6229fa3da95cc,existing45,47.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421023,6,4ab44345bb13b335,existing45,48.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421030,6,652338a0fc6481aa,existing45,49.0,16.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421026,6,c140eaf553ff77ba,existing45,50.0,13.433188438415527,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421035,6,31b8c72e3502f8d5,existing45,56.0,20.196687698364258,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
421022,6,d2c9f15a253da239,existing45,55.0,14.0,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v11_operating_envelope_validation_candidates_20260727_run01
