envelope,scene_origin,k_value,scene_count,oracle_pass_count,robust_oracle_rate
E1,all,all,75,75,1.0
E1,all,2,25,25,1.0
E1,all,4,25,25,1.0
E1,all,6,25,25,1.0
E1,existing45,all,45,45,1.0
E1,existing45,2,15,15,1.0
E1,existing45,4,15,15,1.0
E1,existing45,6,15,15,1.0
E1,new30,all,30,30,1.0
E1,new30,2,10,10,1.0
E1,new30,4,10,10,1.0
E1,new30,6,10,10,1.0
E2,all,all,75,73,0.9733333333333334
E2,all,2,25,25,1.0
E2,all,4,25,24,0.96
E2,all,6,25,24,0.96
E2,existing45,all,45,43,0.9555555555555556
E2,existing45,2,15,15,1.0
E2,existing45,4,15,14,0.9333333333333333
E2,existing45,6,15,14,0.9333333333333333
E2,new30,all,30,30,1.0
E2,new30,2,10,10,1.0
E2,new30,4,10,10,1.0
E2,new30,6,10,10,1.0
E3,all,all,75,0,0.0
E3,all,2,25,0,0.0
E3,all,4,25,0,0.0
E3,all,6,25,0,0.0
E3,existing45,all,45,0,0.0
E3,existing45,2,15,0,0.0
E3,existing45,4,15,0,0.0
E3,existing45,6,15,0,0.0
E3,new30,all,30,0,0.0
E3,new30,2,10,0,0.0
E3,new30,4,10,0,0.0
E3,new30,6,10,0,0.0
