sample_index,scene_origin,k_value,envelope,robust_oracle_pass,minimum_feasible_ratio,best_candidate_source,best_evaluation_index,best_worst_margin_db
421020,existing45,6,E1,1,0.5,adversarial_multi_corner_refinement,1201,0.4592132568359375
421020,existing45,6,E2,1,0.5,adversarial_multi_corner_refinement,1200,0.02544252760708332
421020,existing45,6,E3,0,nan,hard_positive_swap_01,564,-8.47951602935791
421021,existing45,6,E1,1,0.5,adversarial_multi_corner_refinement,1204,0.45548248291015625
421021,existing45,6,E2,1,0.6000000238418579,adversarial_multi_corner_refinement,1205,0.22171610593795776
421021,existing45,6,E3,0,nan,continuation_swap_01,534,-6.497806549072266
421022,existing45,6,E1,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,qmf_16,0.4675750732421875
421022,existing45,6,E2,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,qmf_18,0.42429351806640625
421022,existing45,6,E3,0,nan,hard_positive_neighbor_03,667,-8.408016204833984
421023,existing45,6,E1,1,0.5,E2_active_rl_guided_mask_rescue,rescue_57,0.46540069580078125
421023,existing45,6,E2,0,nan,E2_active_rl_guided_mask_rescue,rescue_32,-0.09796828776597977
421023,existing45,6,E3,0,nan,hard_positive_swap_02,594,-6.602340221405029
421024,existing45,6,E1,1,0.5,adversarial_multi_corner_refinement,1219,0.46173858642578125
421024,existing45,6,E2,1,0.5,adversarial_multi_corner_refinement,1217,0.09657780081033707
421024,existing45,6,E3,0,nan,parent_normalized,548,-10.677022933959961
421025,existing45,6,E1,1,0.5,E2_active_rl_guided_mask_rescue,rescue_76,0.4628753662109375
421025,existing45,6,E2,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,mf_74,0.3333587646484375
421025,existing45,6,E3,0,nan,E2_active_rl_guided_mask_rescue,rescue_81,-11.66474437713623
421026,existing45,6,E1,1,0.699999988079071,K6_multifrequency_combined_mainlobe_reserve,mf_126,0.4257816970348358
421026,existing45,6,E2,1,0.800000011920929,K6_multifrequency_combined_mainlobe_reserve,mf_127,0.24812470376491547
421026,existing45,6,E3,0,nan,E2_active_rl_guided_mask_rescue,rescue_104,-6.2990288734436035
421029,existing45,6,E1,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,qmf_79,0.471588134765625
421029,existing45,6,E2,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,qmf_76,0.36688995361328125
421029,existing45,6,E3,0,nan,E2_active_rl_guided_mask_rescue,rescue_129,-7.266529083251953
421030,existing45,6,E1,1,0.5,local_swap_06,623,0.43288421630859375
421030,existing45,6,E2,1,0.5,adversarial_multi_corner_refinement,1232,0.03220093622803688
421030,existing45,6,E3,0,nan,hard_positive_swap_00,617,-12.386726379394531
421031,existing45,6,E1,1,0.5,adversarial_multi_corner_refinement,1238,0.4709625244140625
421031,existing45,6,E2,1,0.5,E2_active_rl_guided_mask_rescue,rescue_160,0.048147350549697876
421031,existing45,6,E3,0,nan,E2_active_rl_guided_mask_rescue,rescue_160,-6.532757759094238
421033,existing45,6,E1,1,0.5,E2_active_rl_guided_mask_rescue,rescue_208,0.46556854248046875
421033,existing45,6,E2,1,0.699999988079071,E2_active_rl_guided_mask_rescue,rescue_210,0.07520148903131485
421033,existing45,6,E3,0,nan,E2_active_rl_guided_mask_rescue,rescue_202,-13.086559295654297
421035,existing45,6,E1,1,0.5,E2_active_rl_guided_mask_rescue,rescue_238,0.46091461181640625
421035,existing45,6,E2,1,0.5,K6_multifrequency_combined_mainlobe_reserve,mf_177,0.2989044189453125
421035,existing45,6,E3,0,nan,E2_active_rl_guided_mask_rescue,rescue_227,-11.993648529052734
421036,existing45,6,E1,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,qmf_122,0.47089385986328125
421036,existing45,6,E2,1,0.6000000238418579,K6_multifrequency_combined_mainlobe_reserve,qmf_122,0.32086944580078125
421036,existing45,6,E3,0,nan,parent_normalized,688,-10.880844116210938
421037,existing45,6,E1,1,0.5,adversarial_multi_corner_refinement,1254,0.4683685302734375
421037,existing45,6,E2,1,0.5,adversarial_multi_corner_refinement,1254,0.18976221978664398
421037,existing45,6,E3,0,nan,parent_normalized,484,-6.843394756317139
421039,existing45,6,E1,1,0.5,adversarial_multi_corner_refinement,1258,0.4682769775390625
421039,existing45,6,E2,1,0.6000000238418579,adversarial_multi_corner_refinement,1257,0.1612308770418167
421039,existing45,6,E3,0,nan,hard_positive_neighbor_00,512,-7.718345642089844
422000,existing45,2,E1,1,0.5,E2_active_rl_guided_mask_rescue,rescue_291,0.46567535400390625
422000,existing45,2,E2,1,0.5,E2_active_rl_guided_mask_rescue,rescue_296,0.17555393278598785
422000,existing45,2,E3,0,nan,ratio_continuation_03,115,-8.598283767700195
422003,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1264,0.4727630615234375
422003,existing45,2,E2,1,0.5,adversarial_multi_corner_refinement,1264,0.14307942986488342
422003,existing45,2,E3,0,nan,hard_positive_swap_00,81,-6.937522888183594
422005,existing45,2,E1,1,0.5,mirrored_pair,53,0.4553985595703125
422005,existing45,2,E2,1,0.5,adversarial_multi_corner_refinement,1268,0.30446624755859375
422005,existing45,2,E3,0,nan,adversarial_multi_corner_refinement,1269,-9.189114570617676
422006,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1275,0.46307373046875
422006,existing45,2,E2,1,0.5,E2_active_rl_guided_mask_rescue,rescue_321,0.23157501220703125
422006,existing45,2,E3,0,nan,E2_active_rl_guided_mask_rescue,rescue_340,-6.563626766204834
422007,existing45,2,E1,1,0.5,local_swap_augment_01,214,0.45209503173828125
422007,existing45,2,E2,1,0.5,adversarial_multi_corner_refinement,1278,0.28861236572265625
422007,existing45,2,E3,0,nan,adversarial_multi_corner_refinement,1277,-6.476022720336914
422009,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1280,0.44306182861328125
422009,existing45,2,E2,1,0.5,adversarial_multi_corner_refinement,1283,0.2547454833984375
422009,existing45,2,E3,0,nan,local_swap_augment_01,225,-11.36081314086914
422010,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1287,0.460357666015625
422010,existing45,2,E2,1,0.5,adversarial_multi_corner_refinement,1284,0.20606231689453125
422010,existing45,2,E3,0,nan,hard_positive_neighbor_03,201,-8.033928871154785
422011,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1291,0.4496917724609375
422011,existing45,2,E2,1,0.699999988079071,adversarial_multi_corner_refinement,1290,0.10968788713216782
422011,existing45,2,E3,0,nan,power_top,128,-7.346846103668213
422012,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1292,0.45557403564453125
422012,existing45,2,E2,1,0.6000000238418579,adversarial_multi_corner_refinement,1293,0.279937744140625
422012,existing45,2,E3,0,nan,ratio_continuation_02,35,-11.499271392822266
422014,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1298,0.44184112548828125
422014,existing45,2,E2,1,0.5,adversarial_multi_corner_refinement,1297,0.15450285375118256
422014,existing45,2,E3,0,nan,mirrored_pair,100,-9.836180686950684
422015,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1301,0.4697418212890625
422015,existing45,2,E2,1,0.5,adversarial_multi_corner_refinement,1300,0.33980560302734375
422015,existing45,2,E3,0,nan,continuation_swap_01,5,-12.567471504211426
422016,existing45,2,E1,1,0.5,adversarial_multi_corner_refinement,1305,0.464324951171875
