sample_index,old_E2_pass,new_E2_pass,rescued,old_best_worst_margin_db,new_best_worst_margin_db,best_margin_change_db,old_root_cause,new_root_cause,new_best_source,new_best_ratio,new_best_variant,new_psll_margin_db,new_nearest_iso_margin_db,new_local20_iso_margin_db,new_mainlobe_margin_db,new_active_rl_margin_db,new_hardware_margin_db
421022,0,0,0,-0.5,-0.02290830761194229,0.4770916923880577,mainlobe,active_rl,K6_multifrequency_combined_mainlobe_reserve,0.800000011920929,mf_eq_r5_rl13,5.789756774902344,3.266742706298828,2.5563735961914062,0.11071976274251938,-0.02290830761194229,0.1741975098848343
421023,0,0,0,-0.09796828776597977,-0.09796828776597977,0.0,active_rl,active_rl,E2_active_rl_guided_mask_rescue,0.5,parent,2.7006301879882812,-0.03516387939453125,0.8233680725097656,0.07520148903131485,-0.09796828776597977,0.9881856441497803
421025,0,1,1,-0.0860595703125,0.3333587646484375,0.4194183349609375,nearest_iso,mainlobe,K6_multifrequency_combined_mainlobe_reserve,0.6000000238418579,mf_eq_r5_rl13,2.445343017578125,2.8352127075195312,2.016437530517578,0.3333587646484375,0.5110858678817749,0.5041621327400208
421026,0,1,1,-0.3299095332622528,0.24812470376491547,0.5780342370271683,active_rl,active_rl,K6_multifrequency_combined_mainlobe_reserve,0.800000011920929,mf_eq_r2_rl12p5_strong,2.8253707885742188,3.1173553466796875,0.328277587890625,0.28089141845703125,0.24812470376491547,0.9978777766227722
421029,0,0,0,-0.5,-0.12483270466327667,0.3751672953367233,mainlobe,active_rl,K6_multifrequency_combined_mainlobe_reserve,0.800000011920929,mf_eq_r5_rl13,3.1771011352539062,1.4716072082519531,1.7468681335449219,0.310150146484375,-0.12483270466327667,0.9954320788383484
421035,0,1,1,-0.21175625920295715,0.2989044189453125,0.5106606781482697,active_rl,mainlobe,K6_multifrequency_combined_mainlobe_reserve,0.699999988079071,mf_eq_r5_rl12p5,3.0372772216796875,2.6408462524414062,2.9587936401367188,0.2989044189453125,0.4290972352027893,0.9362706542015076
421036,0,0,0,-0.5,-0.07544844597578049,0.4245515540242195,mainlobe,mainlobe,K6_multifrequency_combined_mainlobe_reserve,0.800000011920929,mf_eq_r2_rl12,2.9111709594726562,2.221820831298828,3.4117965698242188,-0.07544844597578049,0.0357036292552948,0.8648483753204346
426120,0,0,0,-0.5,-0.22061198949813843,0.2793880105018616,mainlobe,mainlobe,K6_multifrequency_combined_mainlobe_reserve,0.800000011920929,mf_eq_r5_rl13,2.6740798950195312,2.7118492126464844,1.4322052001953125,-0.22061198949813843,-0.13356104493141174,0.34438881278038025
426122,0,1,1,-0.5,0.20094095170497894,0.7009409517049789,mainlobe,mainlobe,K6_multifrequency_combined_mainlobe_reserve,0.6000000238418579,mf_eq_r2_rl12,3.1077651977539062,3.0129356384277344,2.25677490234375,0.20094095170497894,0.22736208140850067,0.9969077110290527
426124,0,1,1,-0.5,0.20805078744888306,0.7080507874488831,mainlobe,active_rl,K6_multifrequency_combined_mainlobe_reserve,0.800000011920929,mf_eq_r5_rl12p5,1.7163848876953125,0.7184791564941406,0.5472259521484375,0.29640892148017883,0.20805078744888306,0.688169002532959
426125,0,0,0,-0.5,-0.2420109063386917,0.2579890936613083,mainlobe,mainlobe,K6_multifrequency_combined_mainlobe_reserve,0.699999988079071,mf_eq_r2_rl12p5_strong,0.49384307861328125,2.6213760375976562,0.9509429931640625,-0.2420109063386917,0.1089586541056633,0.27465540170669556
426126,0,1,1,-0.5,0.33162689208984375,0.8316268920898438,mainlobe,mainlobe,K6_multifrequency_combined_mainlobe_reserve,0.699999988079071,mf_eq_r5_rl13,3.8454132080078125,3.165771484375,2.5459976196289062,0.33162689208984375,0.9870518445968628,0.9979643225669861
