candidate_index,sample_index,k,ratio,selection_role,fullwave_pattern_gate,combined_active_rl_gate,combined_plus_significant_task_active_rl_gate,all_nonzero_task_active_rl_gate,engineering_gate_combined_operating_state,engineering_gate_preexisting_eep_semantics,engineering_gate_all_nonzero_task_diagnostic,combined_worst_active_rl_db,combined_total_rl_db,worst_significant_case_active_rl_db,worst_all_nonzero_case_active_rl_db
0,426106,2,0.5,reserve,1,1,1,1,1,1,1,11.431883781823544,12.048419193976528,11.236087733096392,11.23608796637155
1,426104,2,0.5,reserve,1,1,1,1,1,1,1,11.428924068676329,12.428006171789223,11.42892403206302,11.428924068676329
2,426100,2,0.5,psll_boundary,1,1,1,0,1,1,0,12.035358816055851,12.352080350556813,11.483786147691513,6.080449888877011
3,426107,2,0.6000000238418579,nearest_boundary,1,1,1,1,1,1,1,11.202429493175647,12.45910613768974,11.202429142473264,11.202429493175647
4,426102,2,0.699999988079071,local_boundary,1,1,1,1,1,1,1,11.026819565245434,13.405854047986756,11.018087874918272,11.018087527928703
5,426105,2,0.800000011920929,active_rl_boundary,1,1,1,1,1,1,1,11.573289372236303,14.454268121240634,11.141665691471225,11.141665889287333
6,426109,2,0.6000000238418579,large_scan,1,1,1,1,1,1,1,11.772230720855518,12.250385105124998,11.292986584826824,11.292986867867505
7,426111,4,0.5,reserve,1,1,1,1,1,1,1,11.882987309565596,12.189019212032166,10.978616775507534,10.978616435158875
8,426115,4,0.5,psll_boundary,1,1,1,0,1,1,0,11.994268962035683,12.201551140995566,11.793343380546384,-13.140144994312873
9,426116,4,0.6000000238418579,nearest_boundary,1,1,1,1,1,1,1,10.883651563201479,13.053687112382725,10.630339705476931,10.63033796408222
10,426110,4,0.699999988079071,local_boundary,1,1,1,1,1,1,1,11.573340584913458,12.955637453613617,10.621623772186963,10.621624147434375
11,426113,4,0.800000011920929,active_rl_boundary,1,1,1,1,1,1,1,10.98742672569747,13.646420074239863,10.744895459548012,10.74489516840141
12,426117,4,0.6000000238418579,large_scan,1,1,1,1,1,1,1,11.045077734100012,12.850685825849002,10.682204522229286,10.682203740603375
13,426121,6,0.5,reserve,1,1,1,0,1,1,0,11.442146716160357,12.256547650719439,10.890386334970763,-7.037885628766196
14,426128,6,0.5,psll_boundary,1,1,1,0,1,1,0,10.993849844587078,12.837915635615216,10.993849583079431,-10.251275694979036
15,426125,6,0.6000000238418579,nearest_boundary,1,1,1,0,1,1,0,12.671669767495361,13.412802434916362,11.80493025887736,-1.8459800271615048
16,426122,6,0.699999988079071,local_boundary,1,1,1,0,1,1,0,12.164863484078188,13.265760861801237,11.887996846710305,0.39300781318551664
17,426124,6,0.800000011920929,active_rl_boundary,1,1,1,0,1,1,0,11.553340993616345,13.907564253291024,11.296384696603326,-6.431730055399215
18,426126,6,0.699999988079071,large_scan,1,1,1,0,1,1,0,11.644926484617873,13.761704350115805,11.644925335575016,-5.783496661375393
19,426120,6,0.800000011920929,small_gap,1,1,1,0,1,1,0,12.965253204855664,14.302871195886857,12.70095994011481,0.7868984494232663
