candidate_index,sample_index,sample_id,scene_id,source_dataset,source_sample_index,selection_role,k,ratio,active_count,large_scan,min_target_separation_deg,variant_kind,phase_error_rms_deg,gain_error_rms_db,dropout_count,phase_bits,amplitude_bits,perturbation_seed,eep_psll_db,hfss_psll_db,delta_psll_db,eep_nearest_iso_db,hfss_nearest_iso_db,delta_nearest_iso_db,eep_local_iso_db,hfss_local_iso_db,delta_local_iso_db,eep_mainlobe_gain_db,hfss_mainlobe_gain_db,delta_mainlobe_gain_db,eep_target_spread_db,hfss_target_spread_db,eep_pointing_error_deg,hfss_pointing_error_deg,all_case_worst_active_rl_db,all_case_worst_total_rl_db,gate15,strict_gate20,mainlobe_gate,active_RL_gate,strict_engineering_gate,eep_gate15,hard_negative,hard_positive,fullwave_complete,near_boundary,training_priority
0,426106,v17_426106,v17_scene_426106,v16_final,426106,reserve,2,0.5,128,0,26.896507263183594,adversarial_multi_corner_refinement,1.8034967184066772,0.11199985444545746,128,7,7,61594118,-8.963325500488281,-9.024703979492188,-0.06137847900390625,29.05968475341797,29.045867919921875,-0.01381683349609375,24.594314575195312,24.281959533691406,-0.31235504150390625,82.23250579833984,82.22222900390625,-0.01027679443359375,0.0048065185546875,0.00173187255859375,8.537736462515939e-07,8.537736462515939e-07,11.23608796637155,11.965937767070297,1,1,1,1,1,1,0,1,1,1,5
1,426104,v17_426104,v17_scene_426104,v16_final,426104,reserve,2,0.5,128,0,32.71324920654297,adversarial_multi_corner_refinement,2.3831751346588135,0.12484773248434067,128,7,7,61593924,-10.097305297851562,-10.237709045410156,-0.14040374755859375,30.336570739746094,29.846961975097656,-0.4896087646484375,22.818851470947266,22.94925308227539,0.130401611328125,82.02294158935547,82.02717590332031,0.00423431396484375,0.010101318359375,0.02886962890625,8.537736462515939e-07,8.537736462515939e-07,11.428924068676329,12.022142123510688,1,1,1,1,1,1,0,1,1,1,5
2,426100,v17_426100,v17_scene_426100,v16_final,426100,psll_boundary,2,0.5,128,0,20.0,adversarial_multi_corner_refinement,1.731963038444519,0.12313676625490189,128,7,7,61693539,-4.6402435302734375,-4.645469665527344,-0.00522613525390625,28.125476837158203,27.786945343017578,-0.338531494140625,24.150733947753906,24.15884780883789,0.008113861083984375,81.63677215576172,81.64073181152344,0.00395965576171875,0.00540924072265625,0.008544921875,0.0,0.0,6.080449888877011,12.007874356002159,1,1,1,0,0,1,0,1,1,1,5
3,426107,v17_426107,v17_scene_426107,v16_final,426107,nearest_boundary,2,0.6000000238418579,154,1,20.0,adversarial_multi_corner_refinement,2.191107749938965,0.12200616300106049,154,7,7,61594215,-10.335784912109375,-10.377700805664062,-0.0419158935546875,27.790637969970703,27.183570861816406,-0.6070671081542969,24.056427001953125,23.656410217285156,-0.40001678466796875,82.79154968261719,82.81504821777344,0.02349853515625,0.1059112548828125,0.07184600830078125,0.0,0.0,11.202429493175647,12.107342699546708,1,1,1,1,1,1,0,1,1,1,5
4,426102,v17_426102,v17_scene_426102,v16_final,426102,local_boundary,2,0.699999988079071,179,1,20.0,adversarial_multi_corner_refinement,1.6152487993240356,0.11683715134859085,179,7,7,61693733,-7.8440093994140625,-7.7939300537109375,0.050079345703125,28.444564819335938,28.682968139648438,0.2384033203125,24.883651733398438,24.710350036621094,-0.17330169677734375,83.69721221923828,83.69091796875,-0.00629425048828125,0.11646270751953125,0.1492767333984375,8.537736462515939e-07,8.537736462515939e-07,11.018087527928703,12.177274002406538,1,1,1,1,1,1,0,1,1,1,5
5,426105,v17_426105,v17_scene_426105,v16_final,426105,active_rl_boundary,2,0.800000011920929,205,1,33.82600784301758,adversarial_multi_corner_refinement,1.9099839925765991,0.1231759786605835,205,7,7,61594021,-10.843246459960938,-10.880386352539062,-0.037139892578125,27.45258331298828,27.963695526123047,0.5111122131347656,24.052837371826172,24.216392517089844,0.16355514526367188,84.19529724121094,84.17214965820312,-0.0231475830078125,0.05075836181640625,0.08261871337890625,0.0,0.0,11.141665889287333,12.992346282837959,1,1,1,1,1,1,0,1,1,1,5
6,426109,v17_426109,v17_scene_426109,v16_final,426109,large_scan,2,0.6000000238418579,154,0,18.0,adversarial_multi_corner_refinement,1.712686538696289,0.118516705930233,154,7,7,61594409,-9.899002075195312,-9.861259460449219,0.03774261474609375,29.857654571533203,29.898693084716797,0.04103851318359375,24.97077178955078,24.04248809814453,-0.92828369140625,83.0514907836914,83.05367279052734,0.0021820068359375,0.00659942626953125,0.01129150390625,8.537736462515939e-07,8.537736462515939e-07,11.292986867867505,11.949631827113176,1,1,1,1,1,1,0,1,1,1,5
7,426111,v17_426111,v17_scene_426111,v16_final,426111,reserve,4,0.5,128,0,16.0,adversarial_multi_corner_refinement,2.141676902770996,0.12306320667266846,128,7,7,61594603,-5.275062561035156,-5.2800140380859375,-0.00495147705078125,27.02043914794922,27.10973358154297,0.08929443359375,22.817886352539062,22.46094512939453,-0.35694122314453125,79.19290161132812,79.17242431640625,-0.020477294921875,0.0679168701171875,0.0697174072265625,0.13956967372334456,0.13956967372334456,10.978616435158875,11.982180125168718,1,1,1,1,1,1,0,1,1,1,5
8,426115,v17_426115,v17_scene_426115,v16_final,426115,psll_boundary,4,0.5,128,0,21.58724594116211,adversarial_multi_corner_refinement,1.6981384754180908,0.12779170274734497,128,7,7,61694994,-3.1941909790039062,-3.1034698486328125,0.09072113037109375,26.682483673095703,26.33747100830078,-0.3450126647949219,22.50165557861328,22.577472686767578,0.07581710815429688,78.4437484741211,78.43245697021484,-0.01129150390625,0.13538360595703125,0.15771484375,0.9999999999999002,0.9999999999999002,-13.140144994312873,12.041369917565257,1,1,1,0,0,1,0,1,1,1,5
9,426116,v17_426116,v17_scene_426116,v16_final,426116,nearest_boundary,4,0.6000000238418579,154,1,22.431486129760742,adversarial_multi_corner_refinement,2.2024195194244385,0.12133282423019409,154,7,7,61695091,-7.323158264160156,-7.150871276855469,0.1722869873046875,25.855873107910156,25.65764617919922,-0.1982269287109375,21.513450622558594,21.316864013671875,-0.19658660888671875,79.42949676513672,79.35460662841797,-0.07489013671875,0.14157867431640625,0.180938720703125,1.2074182697257333e-06,1.2074182697257333e-06,10.63033796408222,12.04474356177084,1,1,1,1,1,1,0,1,1,1,5
10,426110,v17_426110,v17_scene_426110,v16_final,426110,local_boundary,4,0.699999988079071,179,0,16.0,adversarial_multi_corner_refinement,1.8761368989944458,0.1155194565653801,179,7,7,61594506,-7.564994812011719,-7.4221038818359375,0.14289093017578125,27.138050079345703,27.03771209716797,-0.10033798217773438,22.37244415283203,22.565536499023438,0.19309234619140625,80.53512573242188,80.50597381591797,-0.02915191650390625,0.102783203125,0.14624786376953125,1.0000000000002647,8.537736462515939e-07,10.621624147434375,12.07285076531355,1,1,1,1,1,1,0,1,1,1,5
11,426113,v17_426113,v17_scene_426113,v16_final,426113,active_rl_boundary,4,0.800000011920929,205,1,23.56344223022461,adversarial_multi_corner_refinement,1.8172330856323242,0.11654657125473022,205,7,7,61594797,-9.526084899902344,-9.546501159667969,-0.020416259765625,27.16295623779297,26.857501983642578,-0.3054542541503906,23.69904327392578,23.50377655029297,-0.1952667236328125,81.3723373413086,81.32916259765625,-0.04317474365234375,0.081817626953125,0.14632415771484375,0.0,0.0,10.74489516840141,12.020114580268032,1,1,1,1,1,1,0,1,1,1,5
12,426117,v17_426117,v17_scene_426117,v16_final,426117,large_scan,4,0.6000000238418579,154,1,22.9963321685791,adversarial_multi_corner_refinement,1.712805986404419,0.11419417709112167,154,7,7,61695188,-5.6169281005859375,-5.7596893310546875,-0.14276123046875,26.580791473388672,26.65105438232422,0.07026290893554688,23.483753204345703,23.01712417602539,-0.4666290283203125,79.72955322265625,79.69701385498047,-0.03253936767578125,0.1562042236328125,0.23375701904296875,1.0000000000002647,1.0000000000002647,10.682203740603375,12.083789378410131,1,1,1,1,1,1,0,1,1,1,5
13,426121,v17_426121,v17_scene_426121,v16_final,426121,reserve,6,0.5,128,1,13.433188438415527,adversarial_multi_corner_refinement,1.7914888858795166,0.12540124356746674,128,7,7,61595573,-4.713592529296875,-4.797508239746094,-0.08391571044921875,28.055522918701172,27.69091796875,-0.3646049499511719,23.15106201171875,23.538532257080078,0.3874702453613281,76.58189392089844,76.59102630615234,0.00913238525390625,0.19026947021484375,0.18857574462890625,1.0642031077569083,1.0642031077569083,-7.037885628766196,11.928722582236329,1,1,1,0,0,1,0,1,1,1,5
14,426128,v17_426128,v17_scene_426128,v16_final,426128,psll_boundary,6,0.5,128,1,16.0,adversarial_multi_corner_refinement,1.9786158800125122,0.12218979001045227,128,7,7,61596252,-3.2145156860351562,-3.2043991088867188,0.0101165771484375,27.547584533691406,27.153179168701172,-0.3944053649902344,23.955154418945312,24.157062530517578,0.20190811157226562,76.97262573242188,76.94937896728516,-0.02324676513671875,0.10826873779296875,0.11632537841796875,1.0000000000002647,1.0000000000002647,-10.251275694979036,11.937995005580053,1,1,1,0,0,1,0,1,1,1,5
15,426125,v17_426125,v17_scene_426125,v17_quantized_boundary,426125,nearest_boundary,6,0.6000000238418579,154,1,16.0,K6_multifrequency_combined_mainlobe_reserve,1.7356245517730713,0.1245417669415474,154,7,7,61695964,-1.98968505859375,-1.9441757202148438,0.04550933837890625,27.411293029785156,27.319122314453125,-0.09217071533203125,22.55965805053711,22.40496826171875,-0.15468978881835938,75.36215209960938,75.33665466308594,-0.0254974365234375,0.17586517333984375,0.16475677490234375,0.8452012752624251,0.7491804872380714,-1.8459800271615048,13.412802434916362,1,1,1,0,0,1,0,1,1,1,5
16,426122,v17_426122,v17_scene_426122,v17_multifrequency,426122,local_boundary,6,0.699999988079071,179,1,13.988659858703613,K6_multifrequency_combined_mainlobe_reserve,1.8227381706237793,0.11907060444355011,179,7,7,61595670,-4.642997741699219,-4.6662750244140625,-0.02327728271484375,28.049945831298828,28.023399353027344,-0.026546478271484375,20.823776245117188,21.443634033203125,0.6198577880859375,76.58920288085938,76.61830139160156,0.0290985107421875,0.45307159423828125,0.4440765380859375,1.49816477377326,1.49816477377326,0.39300781318551664,13.265760861801237,1,1,1,0,0,1,0,1,1,1,5
