candidate_index,sample_index,target_hash,k_value,ratio,active_count,selection_role,candidate_source,source_candidate_index,candidate_origin,frozen_E2_corner,frozen_E2_root_margin,E2_worst_margin_db,E2_psll_margin_db,E2_nearest_iso_margin_db,E2_local20_iso_margin_db,E2_mainlobe_margin_db,E2_active_rl_margin_db,E2_hardware_margin_db,max_target_theta_deg,min_target_separation_deg,phase_rms_deg,gain_rms_db,soft_active_port_count,phase_bits,amplitude_bits,perturbation_seed,mask_sha256,nominal_weights_sha256,actual_weights_sha256,physical_16x16_operator_corner_included
0,426106,1fb4084015c1aba8,2,0.5,128,reserve,v16_final,1404,adversarial_multi_corner_refinement,frequency_low_x0.20,mainlobe,0.35736846923828125,8.871414184570312,3.1177749633789062,4.145774841308594,0.35736846923828125,0.5286435484886169,0.9890661835670471,21.0,26.896507366888013,1.8034967706769987,0.11199985232343762,128,7,7,61594118,68b531df7c732decd363557cfa4bd1e73bad7cf9919c9a19f0559d37bd8c2ad3,50c75000ccae6bb1aa4c10e5898f7368568952d8bf610462954a6b7f6d4bb9c5,04cf024c4ca162edfee0a16900465d0427bd60faa92ee366af4c9880a9454885,0
1,426104,391adad5546efec6,2,0.5,128,reserve,v16_final,1396,adversarial_multi_corner_refinement,frequency_low_x0.20,mainlobe,0.33586883544921875,9.973747253417969,4.945446014404297,2.643951416015625,0.33586883544921875,0.528039813041687,0.9984205365180969,39.0,32.71324762342763,2.3831751819812923,0.12484772904518643,128,7,7,61593924,6827b1d3eb351b15ebf269703d1bba7a0c566105c50a1bfccda81d7b0cba44c5,80d2a2125d9755cff9cb9765d0e84ee9f1d462cfebc1a915abea02cb2d7db328,4b74619eeb93acbd3a8269d343df5c95a1e854c7b3cabe1a28e9ecdb4cec513e,0
2,426100,2755208fc5e24a8c,2,0.5,128,psll_boundary,v16_final,1380,adversarial_multi_corner_refinement,frequency_high_x0.20,active_rl,0.044552434235811234,4.5780792236328125,2.3136253356933594,3.517536163330078,0.31514739990234375,0.044552434235811234,0.9963533878326416,37.0,19.999999999999993,1.7319630108443373,0.12313676917828763,128,7,7,61693539,25ef13c968aa3efc459fa849537bf96863bdad0d59aaa8799ebb0155719db3e1,b872d4064decf8cacf65b782bcf50bd6caee98d1ca39aa31faad2442fafda8b1,db67d615c0d6d7a3307fab7fc32b18c40902627f82e34c273c0515165b6f5b19,0
3,426107,8019ac3b8235b95b,2,0.6,154,nearest_boundary,v16_final,1409,adversarial_multi_corner_refinement,frequency_low_x0.20,mainlobe,0.31034088134765625,10.185768127441406,1.8696212768554688,3.469707489013672,0.31034088134765625,0.4486108720302582,0.9913450479507446,41.0,19.999999999999993,2.1911078167792186,0.12200616582716503,154,7,7,61594215,129c210f7ef026115bc8a8691beb7a184f2c5a81afb4d29b1dabd34a7cd75a6a,4456ce37434964100140f29b3a2c754c2d194ad5a1772ea67820d08f42da6a4c,eeaabccf407e5c0e653cc0eb377accebc3e957d1fecee90c90118eb3da4ba935,0
4,426102,72064ab3fb89eb24,2,0.7,179,local_boundary,v16_final,1390,adversarial_multi_corner_refinement,frequency_high_x0.20,active_rl,0.21133208274841309,7.0283203125,2.3566207885742188,4.118122100830078,0.31075286865234375,0.21133208274841309,1.003305435180664,40.0,20.00000000000001,1.6152487685729529,0.11683715409335,179,7,7,61693733,a4b7a30398fcedbefac37e8d23d4ebce3fe09d5eb10203d2c140c4e73f5af8f4,edbd3e6b79f7cedc4b103b1804653318a536ce6a328977451391a9c9108cbc16,988e043bca4c4cec46ea18958e05147a05e8559407817858f89fa3a4aa3df8bb,0
5,426105,a6b1b51090da767a,2,0.8,205,active_rl_boundary,v16_final,1403,adversarial_multi_corner_refinement,frequency_low_x0.20,mainlobe,0.280059814453125,10.151527404785156,2.2300796508789062,3.8391685485839844,0.280059814453125,0.33364227414131165,0.9907019734382629,41.0,33.826009455544174,1.9099839773907552,0.12317598107805568,205,7,7,61594021,9426a5358d383f35dccf424e50940d905dbb9456d8164c4f4ef667bc73d7a6a4,5e9a767e8b9264187e09e2467b46196bb5c2b880478115c080cf1bbda1018400,da2e3b5ee516e7eb7f34f112bd5c8624e70307bcc9f1f95c274c7c0293300011,0
6,426109,ecb7ebf3cd4b3ddd,2,0.6,154,large_scan,v16_final,1417,adversarial_multi_corner_refinement,frequency_low_x0.20,mainlobe,0.29116058349609375,9.832382202148438,4.316532135009766,3.8687362670898438,0.29116058349609375,0.7017096281051636,0.9975048899650574,32.0,18.00000000000001,1.7126865271567966,0.11851670849362239,154,7,7,61594409,2eda0d527495b336d1a41cafcf179796a27f0285809bd21d2b49e93e0ec1b2ef,65122c902d0858e06fbf27854f9dec6cdc4a25d66cbf523a4ac025ad9cf9aff2,491de90fcbf150d31ba48ec3bc5ab8589508473d12d50277d99d4bcf5068e47c,0
7,426111,a83e4c37ec47381b,4,0.5,128,reserve,v16_final,1424,adversarial_multi_corner_refinement,frequency_low_x0.20,active_rl,0.3118000328540802,5.2169952392578125,1.3997726440429688,2.413299560546875,0.32379150390625,0.3118000328540802,0.9894413352012634,38.0,16.000000000000018,2.1416769615522084,0.12306320970446383,128,7,7,61594603,25023afd1f099f69ac3adc819ea1a345b06454cc34a810171ebfd175f24eba11,4d71f97b73f34ea0e473fd6bc38b703713ea32305af7f50ff632726cd6a08ff5,968fd4c098b601960cf5499a35b6e706380d3efdeca5ee154167deee7b01c77e,0
8,426115,6d4ead10da8edb18,4,0.5,128,psll_boundary,v16_final,1440,adversarial_multi_corner_refinement,frequency_high_x0.20,active_rl,0.2408067286014557,3.0679779052734375,0.9062843322753906,2.248241424560547,0.31746673583984375,0.2408067286014557,0.9810609817504883,35.0,21.58724520322422,1.6981384246909885,0.12779170115740104,128,7,7,61694994,917a9c6bdaf58f76e6e4c81f7aca8d8c0071f21fc766030ee5da2a268776b59b,4587dc562e5869a4754d24c235c3288443201604286f135b09bdb80fa0f7b270,4e3dab91742870a09a34a29a4ba7e1ecdab2fc6ae8787ea1805cd6fb9c892d01,0
9,426116,c36ffca736bb3e6d,4,0.6,154,nearest_boundary,v16_final,1445,adversarial_multi_corner_refinement,frequency_high_x0.20,active_rl,0.196095272898674,7.028373718261719,0.2005462646484375,1.2685928344726562,0.31439971923828125,0.196095272898674,0.991209089756012,40.0,22.431486476555182,2.2024194803890342,0.121332823762879,154,7,7,61695091,36cfe24b67d596340aabe39975bbbf731a031e0b7a9910da3f0a26893ab16a8e,d59478909c69c02af79459a4fbd16c61e55f9d96c754e4e1d695a25b94a6c749,b32a089d622ae1abf1fcf736f77ed6f13b5762bf95ff934581c9dac9d5bc0b65,0
