stratum,value,candidate_count,pattern_gate_count,semantic_active_rl_gate_count,final_engineering_gate_count,final_engineering_gate_rate,all_nonzero_diagnostic_gate_count,worst_hfss_psll_db,minimum_hfss_nearest_iso_db,minimum_hfss_local_iso_db,minimum_combined_active_rl_db,minimum_significant_task_active_rl_db
k,2,7,7,7,7,1.0,6,-4.645469665527344,27.183570861816406,22.94925308227539,11.026819565245434,11.018087874918272
k,4,6,6,6,6,1.0,5,-3.1034698486328125,25.65764617919922,21.316864013671875,10.883651563201479,10.621623772186963
k,6,7,7,7,7,1.0,0,-0.9103775024414062,26.433307647705078,20.949234008789062,10.993849844587078,10.890386334970763
ratio,0.5,7,7,7,7,1.0,3,-3.1034698486328125,26.33747100830078,22.46094512939453,10.993849844587078,10.890386334970763
ratio,0.6,5,5,5,5,1.0,4,-1.9441757202148438,25.65764617919922,21.316864013671875,10.883651563201479,10.630339705476931
ratio,0.7,4,4,4,4,1.0,2,-3.986846923828125,27.03771209716797,21.443634033203125,11.026819565245434,10.621623772186963
ratio,0.8,4,4,4,4,1.0,2,-0.9103775024414062,26.433307647705078,20.949234008789062,10.98742672569747,10.744895459548012
selection_role,active_rl_boundary,3,3,3,3,1.0,2,-4.787910461425781,26.433307647705078,20.949234008789062,10.98742672569747,10.744895459548012
selection_role,large_scan,3,3,3,3,1.0,2,-3.986846923828125,26.65105438232422,22.863773345947266,11.045077734100012,10.682204522229286
selection_role,local_boundary,3,3,3,3,1.0,2,-4.6662750244140625,27.03771209716797,21.443634033203125,11.026819565245434,10.621623772186963
selection_role,nearest_boundary,3,3,3,3,1.0,2,-1.9441757202148438,25.65764617919922,21.316864013671875,10.883651563201479,10.630339705476931
selection_role,psll_boundary,3,3,3,3,1.0,0,-3.1034698486328125,26.33747100830078,22.577472686767578,10.993849844587078,10.993849583079431
selection_role,reserve,4,4,4,4,1.0,3,-4.797508239746094,27.10973358154297,22.46094512939453,11.428924068676329,10.890386334970763
selection_role,small_gap,1,1,1,1,1.0,0,-0.9103775024414062,27.99725341796875,22.340892791748047,12.965253204855664,12.70095994011481
large_scan,0,7,7,7,7,1.0,5,-3.1034698486328125,26.33747100830078,22.46094512939453,11.428924068676329,10.621623772186963
large_scan,1,13,13,13,13,1.0,6,-0.9103775024414062,25.65764617919922,20.949234008789062,10.883651563201479,10.630339705476931
