case_index,case_id,candidate_index,sample_index,case_kind,task_index,k,ratio,source_csv,worst_active_rl_db,total_rl_db,reflected_power_fraction,complete,complex_nmse,magnitude_rmse_db_visible40,nominal_to_direct_complex_nmse,nominal_to_direct_magnitude_rmse_db_visible40,complex_correlation,no_scale_pass
0,c000_combined,0,426122,combined,-1,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c000_combined.csv,10.446698129702511,12.475331882149895,0.05655445372656095,1,3.2063106510105133e-12,2.1381678379839286e-05,0.0007667932077310979,0.4936848282814026,0.9999995231628418,1
1,c000_t0,0,426122,task,0,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c000_t0.csv,3.0472994485360068,12.424292169069734,0.05722302114754874,1,4.026245049165711e-12,2.4110488084261306e-05,0.0007513090968132019,0.45486173033714294,0.9999999403953552,1
2,c000_t1,0,426122,task,1,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c000_t1.csv,11.711041117005955,12.867755829878762,0.05166832908465461,1,5.378629399505064e-12,2.9496814022422768e-05,0.0012597166933119297,0.5057435035705566,0.9999993443489075,1
3,c000_t2,0,426122,task,2,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c000_t2.csv,9.51886820432539,12.495011859053903,0.05629875800711934,1,3.111744585962417e-12,1.9859598978655413e-05,0.00028994091553613544,0.4289003312587738,0.999999463558197,1
4,c000_t3,0,426122,task,3,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c000_t3.csv,0.33688684101285665,12.697859701439079,0.05372965226567296,1,4.174850569416133e-12,2.5585048206266947e-05,0.0008767739054746926,0.4612128734588623,0.999999463558197,1
5,c000_t4,0,426122,task,4,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c000_t4.csv,6.173643308648096,12.562329766870326,0.05543282645348732,1,4.479528293438451e-12,2.4360457246075384e-05,0.0009845762979239225,0.4958086609840393,1.0000001192092896,1
6,c000_t5,0,426122,task,5,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c000_t5.csv,3.615015186083443,12.563294403984484,0.05542051530843389,1,4.672601715272062e-12,2.484095784893725e-05,0.001373211620375514,0.6184001564979553,1.0,1
7,c001_combined,1,426124,combined,-1,6,0.800000011920929,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c001_combined.csv,10.095835281515598,12.960899640188776,0.05057198913730899,1,3.0634193098899587e-12,2.28802837227704e-05,0.0008976077078841627,0.5774595737457275,0.9999997019767761,1
8,c001_t0,1,426124,task,0,6,0.800000011920929,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c001_t0.csv,5.9642867828851545,14.415248104597463,0.036180552084575796,1,4.6959146640657146e-12,2.7074687750427984e-05,0.001723959343507886,0.5894106030464172,0.9999999403953552,1
9,c001_t1,1,426124,task,1,6,0.800000011920929,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c001_t1.csv,11.173810054286442,13.391476684051336,0.045798613621760305,1,5.492001818596659e-12,2.67429459199775e-05,0.0016860634787008166,0.5513033866882324,1.0000001192092896,1
10,c001_t2,1,426124,task,2,6,0.800000011920929,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c001_t2.csv,-1.0363372326502354,12.580428601535953,0.055202295791552954,1,3.5244366019399065e-12,1.8967419237014838e-05,0.0003678504144772887,0.457496702671051,0.9999995827674866,1
11,c001_t3,1,426124,task,3,6,0.800000011920929,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c001_t3.csv,10.773694707725177,12.908341092589632,0.051187732384657986,1,3.668697724085179e-12,2.563793896115385e-05,0.0012978340964764357,0.5829445719718933,1.0,1
12,c001_t4,1,426124,task,4,6,0.800000011920929,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c001_t4.csv,-6.240101831809829,12.584858843787233,0.05514601258786084,1,4.11706519570787e-12,2.2409554730984382e-05,0.0016281320713460445,0.5906099081039429,0.9999995827674866,1
13,c001_t5,1,426124,task,5,6,0.800000011920929,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v19_frequency_high_direct_smoke_20260729_run01\sources\sources_c001_t5.csv,10.055400878036009,14.24236142617086,0.037649902631306964,1,4.516440606922023e-12,2.636894532770384e-05,0.0015694712055847049,0.5915592908859253,0.9999997019767761,1
