source_candidate_index,sample_index,k,ratio,variant,joint_pass,joint_active_rl_db,high_pass,high_active_rl_db,three_frequency_pass
0,426106,2,0.5,joint_median_r2_rl11p5,1,11.376734614372253,0,9.187918371984887,0
1,426104,2,0.5,joint_median_r2_rl11p5,1,11.432799935340881,0,9.305416798055607,0
2,426100,2,0.5,joint_weak_r2_rl10p5,1,10.488003879785538,0,8.947775507954388,0
3,426107,2,0.6000000238418579,joint_median_r2_rl11p5,1,11.370979309082031,0,9.139826682073616,0
4,426102,2,0.699999988079071,baseline_frozen,0,9.111036121845245,0,9.79046327945923,0
5,426105,2,0.800000011920929,joint_median_r2_rl11p5,1,11.44746744632721,0,9.774066835437024,0
6,426109,2,0.6000000238418579,joint_median_r5_rl12,1,11.838860750198364,0,9.808990412241847,0
7,426111,4,0.5,baseline_frozen,0,8.844844102859497,0,9.895242767007966,0
8,426115,4,0.5,baseline_frozen,0,9.686873495578766,1,10.093654169561876,0
9,426116,4,0.6000000238418579,joint_median_r2_rl11p5,1,11.452412962913513,0,8.741375280729926,0
10,426110,4,0.699999988079071,baseline_frozen,0,9.83896218240261,1,10.042410406029918,0
11,426113,4,0.800000011920929,joint_strong_r2_rl12p5,1,11.227285861968994,0,9.10081792705439,0
12,426117,4,0.6000000238418579,joint_median_r2_rl11p5,1,11.328792095184326,0,8.505474930491735,0
13,426121,6,0.5,baseline_frozen,0,9.395991265773773,0,8.72406890363574,0
14,426128,6,0.5,baseline_frozen,0,8.622522830963135,0,9.769197704749642,0
15,426125,6,0.6000000238418579,baseline_frozen,0,9.920629806816578,1,10.117077351127872,0
16,426122,6,0.699999988079071,baseline_frozen,1,10.102572359144688,1,10.44669812202309,1
17,426124,6,0.800000011920929,baseline_frozen,1,10.105152189731598,0,9.944808654348702,0
18,426126,6,0.699999988079071,baseline_frozen,0,9.882638156414032,1,10.372581301186102,0
19,426120,6,0.800000011920929,baseline_frozen,1,10.34472730755806,1,11.380475174019143,1
