state,k,candidate_count,gate10_count,gate10_rate,reserve11_count,reserve11_rate,active_rl_floor_min_db,active_rl_floor_mean_db,active_rl_floor_max_db
nominal_identity,all,20,20,1.0,19,0.95,10.624899656224866,11.684615256020376,13.117171792024084
nominal_identity,2,7,7,1.0,6,0.8571428571428571,10.624899656224866,11.425977868158231,11.838860699835735
nominal_identity,4,6,6,1.0,6,1.0,11.198981890422903,11.444291524191655,11.795060443902637
nominal_identity,6,7,7,1.0,7,1.0,11.23473205081594,12.14924441402142,13.117171792024084
frequency_low_identity,all,20,13,0.65,8,0.4,8.807860337619937,10.543958693598984,12.012894815637216
frequency_low_identity,2,7,6,0.8571428571428571,5,0.7142857142857143,9.485457416171299,11.205771006844419,12.012894815637216
frequency_low_identity,4,6,3,0.5,3,0.5,8.979253513315106,10.509143956289511,11.550111249091676
frequency_low_identity,6,7,4,0.5714285714285714,0,0.0,8.807860337619937,9.91198758376167,10.513133137183123
frequency_low_E2_source,all,20,13,0.65,8,0.4,8.622522885739784,10.446509110288469,11.884779339351628
frequency_low_E2_source,2,7,6,0.8571428571428571,5,0.7142857142857143,9.111036121820838,11.015971517809502,11.884779339351628
frequency_low_E2_source,4,6,3,0.5,3,0.5,8.844844069382722,10.44768773656717,11.452412992930741
frequency_low_E2_source,6,7,4,0.5714285714285714,0,0.0,8.622522885739784,9.876036451671402,10.715302189398457
frequency_high_identity,all,20,8,0.4,1,0.05,9.10403644148411,9.91038276645798,11.500256130374787
frequency_high_identity,2,7,1,0.14285714285714285,0,0.0,9.209627148518303,9.598524731784417,10.224186903695646
frequency_high_identity,4,6,2,0.3333333333333333,0,0.0,9.10403644148411,9.720794590474958,10.234130757288272
frequency_high_identity,6,7,5,0.7142857142857143,1,0.14285714285714285,9.37301656429834,10.384744951974133,11.500256130374787
frequency_high_E2_source,all,20,6,0.3,1,0.05,8.505474930491735,9.654417028958637,11.380475174019143
frequency_high_E2_source,2,7,0,0.0,0,0.0,8.947775507954388,9.422065412458087,9.808990412241847
frequency_high_E2_source,4,6,2,0.3333333333333333,0,0.0,8.505474930491735,9.396495913479303,10.093654169561876
frequency_high_E2_source,6,7,4,0.5714285714285714,1,0.14285714285714285,8.72406890363574,10.107843887298612,11.380475174019143
