sample_index,k,best_ratio,best_worst_margin_db,root_constraint,root_corner,root_margin_db,best_active_rl_floor_db,best_high_E2_active_rl_floor_db,pattern_feasible_candidate_count,active_rl_feasible_candidate_count,same_mask_pattern_rl_bridge_count
426107,2,0.8,-0.07523345947265625,mainlobe,frequency_high_E2_source,-0.07523345947265625,10.27977842092514,10.893331558973959,15,8,5
426102,2,0.699999988079071,-0.8889638781547546,active_rl,frequency_low_E2_source,-0.8889638781547546,9.111036121845245,10.879680461596115,6,7,2
426105,2,0.800000011920929,-0.4540803134441376,active_rl,frequency_high_identity,-0.4540803134441376,9.545919686555862,10.888185676056919,5,8,2
426109,2,0.6000000238418579,-0.306747704744339,active_rl,frequency_high_identity,-0.306747704744339,9.693252295255661,10.86540025689052,17,6,5
426116,4,0.8,-0.5,mainlobe,frequency_high_E2_source,-0.5,10.085239723324776,10.910375674373432,10,8,4
426110,4,0.699999988079071,-0.17215299606323242,active_rl,frequency_high_identity,-0.17215299606323242,9.827847003936768,10.895000883812262,6,9,2
426113,4,0.800000011920929,-0.8991820812225342,active_rl,frequency_high_E2_source,-0.8991820812225342,9.100817918777466,10.839548500142742,2,8,1
426117,4,0.8,-0.4577484130859375,mainlobe,frequency_high_identity,-0.4577484130859375,10.500985562801361,10.872864567593503,15,8,5
426121,6,0.5,-1.2759311199188232,active_rl,frequency_high_E2_source,-1.2759311199188232,8.724068880081177,10.816555198445085,2,4,1
426128,6,0.8,-1.058837890625,mainlobe,frequency_low_E2_source,-1.058837890625,9.352720141410828,10.888977183243775,7,3,1
426125,6,0.6000000238418579,-0.07937019318342209,active_rl,frequency_low_E2_source,-0.07937019318342209,9.920629806816578,10.70755022696564,1,5,0
426124,6,0.800000011920929,-0.6269834637641907,active_rl,frequency_high_identity,-0.6269834637641907,9.37301653623581,10.857167982798085,3,5,0
426126,6,0.699999988079071,-0.11736184358596802,active_rl,frequency_low_identity,-0.11736184358596802,9.882638156414032,10.770633155156569,1,4,0
