generated_index,sample_index,k,ratio,round,local_index,mask_family,mask_hash,parent_origin,parent_source_index,quick_active_rl_floor_db,quick_high_active_rl_floor_db,active_port_score_mean,selected_for_full_refine
0,426106,2,0.5,initial,0,three_frequency_guided_swap_00,bf9edcf34b7d41f0,adversarial_multi_corner_refinement,6644,2.414550189480527,5.272692678416546,0.013848771394698504,0
1,426106,2,0.5,initial,1,three_frequency_guided_swap_01,198a16e0ec1b166a,adversarial_multi_corner_refinement,6644,2.7504058286812856,5.548400679795593,0.016872773301596724,0
2,426106,2,0.5,initial,2,three_frequency_guided_swap_02,e6b3a3668c6a2c59,adversarial_multi_corner_refinement,6644,-0.1492715341792078,1.1133431971057772,0.019304656051256586,0
3,426106,2,0.5,initial,3,three_frequency_guided_swap_03,6015483ca53d63b4,adversarial_multi_corner_refinement,6644,-2.703029291068151,-2.4208674637096013,0.02169846231111005,0
4,426106,2,0.5,initial,4,three_frequency_guided_swap_04,ae24cdd179bff490,adversarial_multi_corner_refinement,6644,-1.6281856913609989,-0.8422244067012836,0.026102204266164893,0
5,426106,2,0.5,initial,5,three_frequency_guided_swap_05,77df629cb6f0ef4f,adversarial_multi_corner_refinement,6644,-10.073058834245533,-8.585589186602919,0.030258710983067632,0
6,426106,2,0.5,initial,6,three_frequency_guided_swap_06,59591b48148b2a2c,adversarial_multi_corner_refinement,6644,-10.04391467714079,-9.62966408731319,0.03381886770874382,0
7,426106,2,0.5,initial,7,three_frequency_guided_swap_07,d6639a17a05e39d0,adversarial_multi_corner_refinement,6644,-12.184503010529689,-11.639118124167869,0.03711135060769988,0
8,426106,2,0.5,initial,8,failed_best_swap_00_1,c17c009c0c5750dc,adversarial_multi_corner_refinement,6644,5.284635437936622,5.68480262577606,0.012013757118277815,0
9,426106,2,0.5,initial,9,failed_best_swap_00_2,ba146530aecd16a5,adversarial_multi_corner_refinement,6644,3.671329434208079,3.827828364297895,0.008181152444244397,0
10,426106,2,0.5,initial,10,failed_best_swap_00_3,64ecc8fbeb335ba7,adversarial_multi_corner_refinement,6644,-5.812715767117417,-5.133094784750036,0.0077227346261660775,0
11,426106,2,0.5,initial,11,failed_best_swap_01_1,f328cbec41583a12,ratio_continuation_01,6642,-4.40392300275558,-4.3922940429349335,0.05976640912745166,0
12,426106,2,0.5,initial,12,failed_best_swap_01_2,b358d0401b33b34c,ratio_continuation_01,6642,-7.0903287631241305,-6.4659590123303525,0.05975311725855705,0
13,426106,2,0.5,initial,13,failed_best_swap_01_3,12415ccc0beadb81,ratio_continuation_01,6642,-4.288945783381483,-3.0862672855930757,0.060406916188580885,0
14,426106,2,0.5,initial,14,power_top,8656fa3d05058b76,ratio_continuation_01,6642,-33.76778030193098,-33.76778030193098,0.09693183364492095,0
15,426106,2,0.5,initial,15,parent_normalized,e8e44726e4566270,adversarial_multi_corner_refinement,6644,8.2524175113283,8.2524175113283,0.010679748907054644,1
16,426106,2,0.5,initial,16,ring_quadrant,31d66886e495c1d2,ratio_continuation_01,6642,-38.9257244074074,-33.3782442082755,0.08974580615634371,0
17,426106,2,0.5,initial,17,mirrored_pair,1e3e1fab0581df8e,ratio_continuation_01,6642,-34.599085107237954,-33.94762488405389,0.0863976581093891,0
18,426106,2,0.5,initial,18,min_spacing_150,504516938382d1b0,ratio_continuation_01,6642,-32.220489528314395,-26.52677152300576,0.08452222218747735,0
19,426106,2,0.5,initial,19,edge_density,b153fac669021340,ratio_continuation_01,6642,-34.740513041703245,-28.349168244287476,0.08853518529207222,0
20,426106,2,0.5,initial,20,center_density,f66eda09ee5c642b,ratio_continuation_01,6642,-24.978808996335104,-23.491619675117946,0.08697896962601026,0
21,426106,2,0.5,initial,21,checker_balance,ebfefbd08c6a8174,ratio_continuation_01,6642,-34.9228166240121,-31.06124669740927,0.011409122649151119,0
22,426106,2,0.5,initial,22,hard_positive_swap_00,0e8f0a8f7dfd40a6,adversarial_multi_corner_refinement,6644,0.949074113998732,1.4631071939806393,0.010313186085465657,0
23,426106,2,0.5,initial,23,hard_positive_neighbor_01,c20d616a7f87f2d5,ratio_continuation_01,6642,-35.66734527036574,-25.139794643713927,0.056812959003410705,0
24,426106,2,0.5,alternating,0,three_frequency_guided_swap_00,ac7c6ee99b6b24df,best_initial_refined,24,4.195650649307472,7.456305345429764,-0.0019520092718455083,0
25,426106,2,0.5,alternating,1,three_frequency_guided_swap_01,5d3abf109ff469cc,best_initial_refined,24,4.514406097861748,5.398437267580939,0.001171371219364007,1
26,426106,2,0.5,alternating,2,three_frequency_guided_swap_02,e4b6547b02f18d97,best_initial_refined,24,-4.787086013185543,-3.841770839751285,0.0036705367987404872,0
27,426106,2,0.5,alternating,3,three_frequency_guided_swap_03,b97584ca18069019,best_initial_refined,24,-5.341290372067489,-4.522013713501221,0.006138063422231761,0
28,426106,2,0.5,alternating,4,three_frequency_guided_swap_04,4ade2119e0a7a13c,best_initial_refined,24,-16.497392191045815,-14.924623274058948,0.010699317317331918,0
29,426106,2,0.5,alternating,5,three_frequency_guided_swap_05,3ae900a6230fe4fd,best_initial_refined,24,-15.421278977689862,-13.73732595909084,0.015079556976880858,0
30,426106,2,0.5,alternating,6,three_frequency_guided_swap_06,84f6e86e71514181,best_initial_refined,24,-16.521362197220725,-12.519312236214642,0.01887906844044695,0
31,426106,2,0.5,alternating,7,three_frequency_guided_swap_07,16942c8232077055,best_initial_refined,24,-16.21224548478895,-11.660705476003324,0.022424533925792495,0
32,426106,2,0.6,initial,0,three_frequency_guided_swap_00,5c04de6c0c9a4171,adversarial_multi_corner_refinement,6618,3.2726772059192806,3.904827476024652,0.009713710752691028,0
33,426106,2,0.6,initial,1,three_frequency_guided_swap_01,bf4165f9c10e214b,adversarial_multi_corner_refinement,6618,3.4516424379809045,3.4516424379809045,0.011513355805040563,0
34,426106,2,0.6,initial,2,three_frequency_guided_swap_02,37e7bf538cd2bc9b,adversarial_multi_corner_refinement,6618,0.7086948022700333,0.7692906656618221,0.013118674388812777,0
35,426106,2,0.6,initial,3,three_frequency_guided_swap_03,9533bdbe3eeab52a,adversarial_multi_corner_refinement,6618,-0.05301523329902416,-0.05301523329902416,0.014647003402134155,0
36,426106,2,0.6,initial,4,three_frequency_guided_swap_04,16c624f87eefaa8a,adversarial_multi_corner_refinement,6618,-1.1482302159195465,-0.9753521611517566,0.01710856401497849,0
37,426106,2,0.6,initial,5,three_frequency_guided_swap_05,f52104862502a6e7,adversarial_multi_corner_refinement,6618,-14.612701754545647,-14.020723907640749,0.019274077969933908,0
38,426106,2,0.6,initial,6,three_frequency_guided_swap_06,94715d9644a4f1b8,adversarial_multi_corner_refinement,6618,-23.212655637930162,-23.212655637930162,0.021181329895247104,0
39,426106,2,0.6,initial,7,three_frequency_guided_swap_07,20ba19ed6df8280f,adversarial_multi_corner_refinement,6618,-15.130036353095004,-14.7345612506934,0.023018295379259087,0
40,426106,2,0.6,initial,8,failed_best_swap_00_1,086d51b651d7931b,adversarial_multi_corner_refinement,6618,-3.791282023357838,-3.4500476143284664,0.00781639060276795,0
41,426106,2,0.6,initial,9,failed_best_swap_00_2,042ca7d06158394b,adversarial_multi_corner_refinement,6618,0.9729248008408665,1.7582806349788602,0.0077073870902959665,0
42,426106,2,0.6,initial,10,failed_best_swap_00_3,6ab8775d94f207c8,adversarial_multi_corner_refinement,6618,-3.3347868551751625,-2.8257101597397396,0.008306882297131689,0
43,426106,2,0.6,initial,11,failed_best_swap_01_1,8747bc5734f680e3,ratio_continuation_03,6614,-2.382535138511559,-1.7248947434431097,0.024983832409639122,0
44,426106,2,0.6,initial,12,failed_best_swap_01_2,3dcf053ee9c36707,ratio_continuation_03,6614,6.391400056057851,6.391400056057851,0.02421873374570748,1
45,426106,2,0.6,initial,13,failed_best_swap_01_3,23b7692e54753d11,ratio_continuation_03,6614,-24.437382826667292,-24.437382826667292,0.023949959341343703,0
46,426106,2,0.6,initial,14,power_top,63cc92641e6572c1,ratio_continuation_03,6614,-32.868006243800394,-32.868006243800394,0.0543309685581493,0
47,426106,2,0.6,initial,15,parent_normalized,d8421abd12ef25b0,adversarial_multi_corner_refinement,6618,5.402747992994884,7.6285890500002465,0.007805107414658515,0
48,426106,2,0.6,initial,16,ring_quadrant,84252dfd9efc0498,ratio_continuation_03,6614,-33.040788503120346,-33.040788503120346,0.04973626493817488,0
49,426106,2,0.6,initial,17,mirrored_pair,d897ac2ea72b249a,ratio_continuation_03,6614,-31.843874020283,-31.843874020283,0.04554527741855622,0
50,426106,2,0.6,initial,18,min_spacing_150,bdd17f6f7aaa07c5,ratio_continuation_03,6614,-35.0557363781959,-34.78870140923814,0.04310724201873877,0
51,426106,2,0.6,initial,19,edge_density,d3fa1466601421fd,ratio_continuation_03,6614,-35.08607081255925,-34.76183805946279,0.044099995451755344,0
