destination_port,destination_ix,destination_iy,destination_class,source_port,source_ix,source_iy,source_class,top3_occurrence_count,mean_contribution_fraction,max_contribution_fraction,manhattan_distance
108,6,12,interior,124,7,12,interior,8,0.10816033995369767,0.15030197850583726,1
135,8,7,interior,119,7,7,interior,7,0.11163707737860222,0.22638494369534315,1
46,2,14,interior,78,4,14,interior,7,0.07038443006897552,0.10583662715337515,2
32,2,0,edge,48,3,0,edge,6,0.20058608487824645,0.2323772646456823,1
143,8,15,edge,127,7,15,edge,6,0.15205248968363935,0.18011575242809968,1
53,3,5,interior,69,4,5,interior,6,0.11055964763668964,0.1437963210098827,1
108,6,12,interior,140,8,12,interior,6,0.0559540640462246,0.0709751427569277,2
39,2,7,interior,39,2,7,interior,6,0.04657988812742511,0.07009955839570375,0
108,6,12,interior,108,6,12,interior,6,0.05317187627702732,0.0593311293155328,0
127,7,15,edge,143,8,15,edge,5,0.10976692846407196,0.14889815119420113,1
45,2,13,interior,61,3,13,interior,5,0.13551517407255687,0.14468957086107528,1
168,10,8,interior,152,9,8,interior,5,0.104328077248291,0.13868119975916138,1
45,2,13,interior,77,4,13,interior,5,0.1000367412594813,0.13461736426677698,2
127,7,15,edge,127,7,15,edge,5,0.0673634344122597,0.12364667946258434,0
46,2,14,interior,46,2,14,interior,5,0.09805405126991652,0.12190755794297194,0
113,7,1,interior,113,7,1,interior,5,0.07662837052262104,0.11597164696967405,0
32,2,0,edge,32,2,0,edge,5,0.08493795165085813,0.11210107290786826,0
201,12,9,interior,217,13,9,interior,5,0.0874835702075421,0.10810936283470553,1
208,13,0,edge,224,14,0,edge,5,0.07128966501727205,0.10612308245764665,1
138,8,10,interior,154,9,10,interior,5,0.0805542079690823,0.10459134562418675,1
215,13,7,interior,215,13,7,interior,5,0.058877621287264356,0.09563626095665936,0
138,8,10,interior,122,7,10,interior,5,0.0677371296485435,0.0932059217364571,1
32,2,0,edge,0,0,0,corner,5,0.07808678317853526,0.09313766448191042,2
39,2,7,interior,71,4,7,interior,5,0.05844452156987291,0.07548861444568541,2
201,12,9,interior,185,11,9,interior,5,0.06450765661488254,0.07416721365218164,1
135,8,7,interior,167,10,7,interior,5,0.05242955045213839,0.07062342317279648,2
95,5,15,edge,95,5,15,edge,4,0.08762564973511461,0.16886486157051644,0
142,8,14,interior,158,9,14,interior,4,0.12295428116926052,0.16766405709804083,1
208,13,0,edge,192,12,0,edge,4,0.12923982148572274,0.1499378066872172,1
95,5,15,edge,127,7,15,edge,4,0.08824245883200879,0.14290834343493006,2
181,11,5,interior,197,12,5,interior,4,0.09018251048266504,0.13479164774332655,1
200,12,8,interior,184,11,8,interior,4,0.11306906119715994,0.12708016244293213,1
