port_index,ix,iy,port_class,observed_case_count,active_rl_fail10_count,active_rl_fail11_count,fail10_rate_when_observed,fail11_rate_when_observed,worst_gamma,worst_active_rl_db
43,2,11,interior,405,3,25,0.007407407407407408,0.06172839506172839,0.33905826735222994,9.394513232689475
75,4,11,interior,465,5,25,0.010752688172043012,0.053763440860215055,0.33903832483859137,9.395024128849741
46,2,14,interior,380,4,25,0.010526315789473684,0.06578947368421052,0.33518289994134043,9.49436291840987
149,9,5,interior,465,3,25,0.0064516129032258064,0.053763440860215055,0.3248244138622938,9.767026731030315
108,6,12,interior,380,12,24,0.031578947368421054,0.06315789473684211,0.37560057934796737,8.505474930491735
190,11,14,interior,450,2,24,0.0044444444444444444,0.05333333333333334,0.3249814637395538,9.7628281912044
74,4,10,interior,415,1,24,0.0024096385542168677,0.05783132530120482,0.3202828158507643,9.889327238674332
251,15,11,edge,430,1,24,0.002325581395348837,0.05581395348837209,0.31645607488738525,9.993731258455382
194,12,2,interior,435,2,22,0.004597701149425287,0.05057471264367816,0.3315330714975398,9.589462856345571
143,8,15,edge,310,5,21,0.016129032258064516,0.06774193548387097,0.3627496341628125,8.807860337619937
134,8,6,interior,405,0,21,0.0,0.05185185185185185,0.31381911361065373,10.066412172098232
123,7,11,interior,455,1,20,0.002197802197802198,0.04395604395604396,0.32433807180030416,9.780041390257937
35,2,3,interior,440,2,19,0.004545454545454545,0.04318181818181818,0.3330576526173344,9.549611663424324
212,13,4,interior,460,2,19,0.004347826086956522,0.041304347826086954,0.33063940245875006,9.612907851907925
71,4,7,interior,475,0,19,0.0,0.04,0.30917893333172275,10.195802109400084
58,3,10,interior,400,5,18,0.0125,0.045,0.3515359705244797,9.080604593479228
32,2,0,edge,370,5,18,0.013513513513513514,0.04864864864864865,0.34914728228126857,9.139826682073616
52,3,4,interior,345,2,18,0.005797101449275362,0.05217391304347826,0.3391687403884603,9.391683629626744
142,8,14,interior,350,1,18,0.002857142857142857,0.05142857142857143,0.32636899741965253,9.725822052839646
70,4,6,interior,415,3,18,0.007228915662650603,0.043373493975903614,0.32539500241385766,9.75178242938158
191,11,15,edge,365,1,18,0.0027397260273972603,0.049315068493150684,0.3224769502846589,9.830026440538886
114,7,2,interior,275,1,18,0.0036363636363636364,0.06545454545454546,0.3191631156305167,9.919746080994198
48,3,0,edge,340,0,18,0.0,0.052941176470588235,0.307140222461639,10.253266110130756
60,3,12,interior,445,3,17,0.006741573033707865,0.038202247191011236,0.3232588915346307,9.808990412241847
81,5,1,interior,300,1,17,0.0033333333333333335,0.056666666666666664,0.31717979309271316,9.973889770586027
120,7,8,interior,355,0,17,0.0,0.04788732394366197,0.30931459155395014,10.191991843590507
146,9,2,interior,355,0,17,0.0,0.04788732394366197,0.30484192417066897,10.31850611515857
88,5,8,interior,230,6,16,0.02608695652173913,0.06956521739130435,0.34245053914184614,9.308042914317795
187,11,11,interior,390,2,16,0.005128205128205128,0.041025641025641026,0.33519207212841584,9.494125234701494
183,11,7,interior,485,3,16,0.006185567010309278,0.032989690721649485,0.33152501693686065,9.589673881673113
215,13,7,interior,360,1,16,0.002777777777777778,0.044444444444444446,0.32255787550492987,9.827846999963603
111,6,15,edge,365,1,16,0.0027397260273972603,0.043835616438356165,0.32086646283656833,9.873513465267374
220,13,12,interior,360,1,16,0.002777777777777778,0.044444444444444446,0.3167952963903941,9.984425504205278
83,5,3,interior,335,0,16,0.0,0.04776119402985075,0.3065372586928829,10.270334614670473
95,5,15,edge,325,2,15,0.006153846153846154,0.046153846153846156,0.334654892078601,9.508056439522942
180,11,4,interior,400,3,15,0.0075,0.0375,0.3268298293939122,9.713566255156321
135,8,7,interior,410,2,15,0.004878048780487805,0.036585365853658534,0.32474323655349774,9.769197704749642
189,11,13,interior,345,2,15,0.005797101449275362,0.043478260869565216,0.32418310619425894,9.784192416386599
219,13,11,interior,500,1,15,0.002,0.03,0.32064555581555304,9.879495501534398
162,10,2,interior,380,2,15,0.005263157894736842,0.039473684210526314,0.31991178931400494,9.899395102058062
110,6,14,interior,425,3,15,0.007058823529411765,0.03529411764705882,0.3198387373438137,9.901378754520207
61,3,13,interior,405,1,15,0.0024691358024691358,0.037037037037037035,0.31957947009470755,9.908422554054589
247,15,7,edge,340,1,15,0.0029411764705882353,0.04411764705882353,0.3174024245072013,9.967795203414381
168,10,8,interior,435,0,15,0.0,0.034482758620689655,0.3147995912456384,10.03931680452369
151,9,7,interior,395,0,15,0.0,0.0379746835443038,0.31453034313553624,10.046749025317682
76,4,12,interior,430,4,14,0.009302325581395349,0.03255813953488372,0.3705730702531262,8.622522885739784
0,0,0,corner,425,4,14,0.009411764705882352,0.03294117647058824,0.3449388227015268,9.245158464859188
170,10,10,interior,430,2,14,0.004651162790697674,0.03255813953488372,0.32837530275722143,9.672590275850698
100,6,4,interior,420,1,14,0.002380952380952381,0.03333333333333333,0.31982619197800344,9.901719456840802
154,9,10,interior,325,2,14,0.006153846153846154,0.043076923076923075,0.31833444308860714,9.942327382524505
167,10,7,interior,430,0,14,0.0,0.03255813953488372,0.31592551736041086,10.008305892706924
36,2,4,interior,445,0,14,0.0,0.03146067415730337,0.31349794706856526,10.075305975753848
172,10,12,interior,370,0,14,0.0,0.03783783783783784,0.3124697741305512,10.103839730442266
125,7,13,interior,340,0,14,0.0,0.041176470588235294,0.31047315779926066,10.15951882269967
56,3,8,interior,360,0,14,0.0,0.03888888888888889,0.3085619847063413,10.21315161401477
127,7,15,edge,430,0,14,0.0,0.03255813953488372,0.30294998472894047,10.372581301186102
112,7,0,edge,305,0,14,0.0,0.04590163934426229,0.3017841343489623,10.406071921150087
113,7,1,interior,280,2,13,0.007142857142857143,0.04642857142857143,0.3425540922528939,9.305416798055607
80,5,0,edge,270,3,13,0.011111111111111112,0.04814814814814815,0.3352535606108449,9.49253201924059
66,4,2,interior,315,3,13,0.009523809523809525,0.04126984126984127,0.3322334717416386,9.571132310636198
207,12,15,edge,230,2,13,0.008695652173913044,0.05652173913043478,0.3312221349947131,9.59761295556681
200,12,8,interior,330,2,13,0.006060606060606061,0.03939393939393939,0.3276626382240108,9.691461525614473
14,0,14,edge,315,2,13,0.006349206349206349,0.04126984126984127,0.327595090620053,9.69325230505757
116,7,4,interior,365,2,13,0.005479452054794521,0.03561643835616438,0.32297892781366355,9.816516230330194
99,6,3,interior,455,1,13,0.002197802197802198,0.02857142857142857,0.3207215224391737,9.877437903835975
102,6,6,interior,400,1,13,0.0025,0.0325,0.31702343098954683,9.97817276363187
118,7,6,interior,335,1,13,0.0029850746268656717,0.03880597014925373,0.3169066387748826,9.981373256389732
188,11,12,interior,405,0,13,0.0,0.03209876543209877,0.31557162534349753,10.018041066840324
163,10,3,interior,420,2,12,0.004761904761904762,0.02857142857142857,0.3475791053788695,9.178926778610464
201,12,9,interior,345,3,12,0.008695652173913044,0.034782608695652174,0.3383551235017434,9.41254485757576
109,6,13,interior,425,2,12,0.004705882352941176,0.02823529411764706,0.3358469974155007,9.477170601717477
15,0,15,corner,395,3,12,0.007594936708860759,0.030379746835443037,0.3314645545315559,9.591258129159907
105,6,9,interior,295,1,12,0.003389830508474576,0.04067796610169491,0.3246887995241119,9.770653851056906
39,2,7,interior,400,2,12,0.005,0.03,0.32214536760905516,9.838962186944975
55,3,7,interior,245,3,12,0.012244897959183673,0.04897959183673469,0.3206702814034303,9.878825741908392
152,9,8,interior,360,1,12,0.002777777777777778,0.03333333333333333,0.31965373933310165,9.906404215828156
138,8,10,interior,325,2,12,0.006153846153846154,0.036923076923076927,0.3182435184386911,9.944808654348702
222,13,14,interior,430,0,12,0.0,0.027906976744186046,0.3151600673899779,10.029376306570501
13,0,13,edge,400,0,12,0.0,0.03,0.3082410777184455,10.22218971094473
78,4,14,interior,320,0,12,0.0,0.0375,0.30798221055079295,10.229487363676196
77,4,13,interior,325,0,12,0.0,0.036923076923076927,0.30041228434387396,10.445646246028629
119,7,7,interior,460,1,11,0.002173913043478261,0.02391304347826087,0.3225119045404252,9.829085001610157
3,0,3,edge,380,1,11,0.002631578947368421,0.02894736842105263,0.3213501928324179,9.860428702933463
92,5,12,interior,315,1,11,0.0031746031746031746,0.03492063492063492,0.320881831854002,9.873097434277017
136,8,8,interior,485,1,11,0.002061855670103093,0.02268041237113402,0.31881490652799166,9.929227618071607
96,6,0,edge,395,1,11,0.002531645569620253,0.027848101265822784,0.3177070282892123,9.95946355278283
73,4,9,interior,325,1,11,0.003076923076923077,0.033846153846153845,0.3166518645455314,9.988359007339186
31,1,15,edge,195,0,11,0.0,0.05641025641025641,0.3157454899091226,10.01325688332721
