sample_index,k,strict_oracle_pass,reserve11_oracle_pass,minimum_strict_ratio,best_worst_margin_db,candidate_count
426100,2,1,0,0.6,0.7301874160766602,41
426102,2,0,0,nan,-0.8889638781547546,297
426104,2,1,0,0.6,0.7963333129882812,41
426105,2,0,0,nan,-0.4540803134441376,297
426106,2,1,0,0.6,0.691808819770813,41
426107,2,1,0,0.8,0.07798004150390625,398
426109,2,0,0,nan,-0.306747704744339,297
426110,4,0,0,nan,-0.17215299606323242,297
426111,4,1,0,0.7,0.29438018798828125,41
426113,4,0,0,nan,-0.8991820812225342,297
426115,4,1,0,0.7,0.5,142
426116,4,0,0,nan,-0.5,297
426117,4,0,0,nan,-0.4577484130859375,297
426120,6,1,0,0.800000011920929,0.3447273075580597,1
426121,6,0,0,nan,-1.2759311199188232,41
426122,6,1,0,0.699999988079071,0.0018352261977270246,1
426124,6,0,0,nan,-0.6269834637641907,41
426125,6,0,0,nan,-0.07937019318342209,41
426126,6,0,0,nan,-0.11736184358596802,41
426128,6,0,0,nan,-1.058837890625,41
