name,level,status,source_path,snapshot_path,size_bytes,sha256,note
protocol,A,pre_registered,configs/v21_three_frequency_broadband_matching.json,baselines/2026-07-29-v113-broadband-match-replay/snapshots/protocol.json,1550,4c4e7be671d1a68802e64882647e123c26b27a66f29f430c72c2fe0bca2a3566,"Frozen-command three-frequency matching, replay gate, and downstream lock protocol."
freeze_summary,A,frozen,hfss_outputs/v21_frozen_v112_replay_20260729_run03/freeze_summary.json,baselines/2026-07-29-v113-broadband-match-replay/snapshots/freeze_summary.json,1068,66c67937715b29317246db61d17ede5e464d2596d73cce32916b7c3a870eef78,Corrected v1.12 replay package provenance and SHA-256 chain.
freeze_manifest,A,frozen,hfss_outputs/v21_frozen_v112_replay_20260729_run03/frozen_candidate_manifest.csv,baselines/2026-07-29-v113-broadband-match-replay/snapshots/freeze_manifest.csv,4593,0ca355bf2238824c9a39e508e23f9ea1f8783bd1259cc947ab7f690d58ae8c1a,"Twenty scene-level masks, commands, ratios, source rows, and hashes."
uniform_design,A,failed_gate,hfss_outputs/v21_three_frequency_broadband_match_20260729_run02_q50_uniform01/design_summary.json,baselines/2026-07-29-v113-broadband-match-replay/snapshots/uniform_design.json,764,1219710d44a766ddd2eef7b1a212f569f47eb81655d2a812d26773eb0d555e3d,Uniform finite-Q S-L-S network screening result.
geometry_design,A,selected_for_replay,hfss_outputs/v21_three_frequency_broadband_match_20260729_run02_q50_geometry01/design_summary.json,baselines/2026-07-29-v113-broadband-match-replay/snapshots/geometry_design.json,768,07f60ad17e400d4c2a8a3376810d3498796990120b9378c96577b8a170678be5,Corner/edge/interior finite-Q S-L-S design summary.
geometry_parameters,A,diagnostic,hfss_outputs/v21_three_frequency_broadband_match_20260729_run02_q50_geometry01/network_variant_summary.csv,baselines/2026-07-29-v113-broadband-match-replay/snapshots/geometry_parameters.csv,1438,689e987ab2899abd1f8b40c8ad2c335a099dba1b1ade8a736b253c0f5ab94ae3,Three-class component parameters and active-match design metrics.
geometry_active_replay,A,diagnostic,hfss_outputs/v21_three_frequency_broadband_match_20260729_run02_q50_geometry01/candidate_active_rl_replay.csv,baselines/2026-07-29-v113-broadband-match-replay/snapshots/geometry_active_replay.csv,3746,3ad447e5546167cd89023fd6dc58a7e0ae39d29edef6fcf1c73d31cf4a396ccd,Active-RL-only precheck on the frozen candidates.
operator_validation,A,passed,hfss_outputs/v21_broadband_s256_eep_replay_20260729_run01/operator_structural_validation.csv,baselines/2026-07-29-v113-broadband-match-replay/snapshots/operator_validation.csv,895,d7d43c720ea99d706b6e903b99cbd2ef692ec272e674d5c581cb0fcc25efb5db,"Three-frequency external S256 reciprocity, passivity, passive RL, and EEP map validation."
frozen_replay_groups,A,failed_gate,hfss_outputs/v21_broadband_s256_eep_replay_20260729_run01/frozen_replay_by_variant_k.csv,baselines/2026-07-29-v113-broadband-match-replay/snapshots/frozen_replay_groups.csv,431,f728867fe5fb1e53d90aa245cb7d451a4a95c482df4b46b38d00820e26ae7f9a,"Strict, pattern, active-RL, reserve, and efficiency counts by K."
frozen_replay_metrics,A,diagnostic,hfss_outputs/v21_broadband_s256_eep_replay_20260729_run01/frozen_replay_candidate_metrics.csv,baselines/2026-07-29-v113-broadband-match-replay/snapshots/frozen_replay_metrics.csv,74776,7c6210413cdf873946c0bb509d2d036e32c78d9ec69530b5f2a565e81f687920,Paired old/new full five-state EEP/S256 replay metrics for all scenes.
stage_decision,A,downstream_locked,hfss_outputs/v21_broadband_s256_eep_replay_20260729_run01/stage_decision.json,baselines/2026-07-29-v113-broadband-match-replay/snapshots/stage_decision.json,897,72ddbf8fd9eaaa86d0cb95e503627de324e5d6d734c5d2c5a40ab1943d3ebbdd,Machine-readable replay gate and downstream decision.
stage_report,A,authoritative,hfss_outputs/v21_broadband_s256_eep_replay_20260729_run01/STAGE_REPORT.md,baselines/2026-07-29-v113-broadband-match-replay/snapshots/stage_report.md,2697,295c28ef9e124d525347c06eaa880d522b40f641b0fcf86beb86e963903dc0a6,"Human-readable matching, operator, replay, and stop decision."
