case_index,case_id,candidate_index,sample_index,case_kind,task_index,k,ratio,source_csv,worst_active_rl_db,total_rl_db,reflected_power_fraction,complete,complex_nmse,magnitude_rmse_db_visible40,nominal_to_direct_complex_nmse,nominal_to_direct_magnitude_rmse_db_visible40,complex_correlation,no_scale_pass
0,c000_combined,0,426126,combined,-1,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c000_combined.csv,10.061457958897964,13.687378950448592,0.04278210063434235,1,4.252733148274457e-12,2.268546450068243e-05,0.0008123678271658719,0.4729085862636566,1.0000001192092896,1
1,c000_t0,0,426126,task,0,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c000_t0.csv,10.989022336700327,12.939166754199611,0.05082569483684721,1,4.739774545070574e-12,2.4131450118147768e-05,0.0011964779114350677,0.4689086675643921,0.9999998807907104,1
2,c000_t1,0,426126,task,1,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c000_t1.csv,-4.929969968632802,14.010469198407991,0.039714864043332854,1,3.2598619983947863e-12,2.1165791622479446e-05,0.0006649390561506152,0.4866754710674286,0.9999998807907104,1
3,c000_t2,0,426126,task,2,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c000_t2.csv,1.8337324304891736,14.280236667965106,0.03732298181524351,1,4.034996295421145e-12,2.581379158073105e-05,0.0010666189482435584,0.4770457446575165,1.0,1
4,c000_t3,0,426126,task,3,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c000_t3.csv,10.939159518839174,14.512453841472194,0.035379738275178256,1,4.750117400115217e-12,2.2644931959803216e-05,0.0012330430326983333,0.5545039176940918,0.9999995827674866,1
5,c000_t4,0,426126,task,4,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c000_t4.csv,10.622077077610346,13.90784681564817,0.040664488926621264,1,4.226982912997057e-12,2.110979039571248e-05,0.0008695683791302145,0.427895188331604,1.0000001192092896,1
6,c000_t5,0,426126,task,5,6,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c000_t5.csv,9.415119204781082,14.18310519884346,0.03816712788818669,1,4.937931574050536e-12,2.6657453418010846e-05,0.001073960098437965,0.45752814412117004,0.9999998211860657,1
7,c001_combined,1,426110,combined,-1,4,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c001_combined.csv,10.242626021155859,13.169853290684859,0.048196407861154304,1,3.5492967072336956e-12,2.6736812287708744e-05,0.0011506007285788655,0.5997819304466248,1.0000001192092896,1
8,c001_t0,1,426110,task,0,4,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c001_t0.csv,9.96049001516527,12.957809694902455,0.05060798321258182,1,5.28915236261418e-12,2.2786465706303716e-05,0.001382672693580389,0.5058992505073547,0.9999998807907104,1
9,c001_t1,1,426110,task,1,4,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c001_t1.csv,10.261953234568358,12.28875095259629,0.059037084865312506,1,3.20078425569692e-12,2.4638369723106734e-05,0.0010105232940986753,0.5680443048477173,0.9999998807907104,1
10,c001_t2,1,426110,task,2,4,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c001_t2.csv,9.872154142516173,12.406915837838808,0.057452431844672615,1,3.90464396926582e-12,2.1854870283277705e-05,0.0011180001311004162,0.513753354549408,0.9999995231628418,1
11,c001_t3,1,426110,task,3,4,0.699999988079071,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v18_perturbed_operator_frequency_low_direct_smoke_20260729_run01\sources\sources_c001_t3.csv,10.355591449893682,13.146109822280334,0.04846062575974452,1,4.158769682793828e-12,2.3529162717750296e-05,0.0016144189285114408,0.5841772556304932,0.9999997615814209,1
