stratum,value,candidate_count,operator_only_pass_count,operator_only_pass_rate,physical_plus_source_pass_count,physical_plus_source_pass_rate,worst_physical_plus_source_psll_db,minimum_physical_plus_source_nearest_iso_db,minimum_physical_plus_source_local_iso_db,minimum_physical_plus_source_active_rl_db
k,2,7,1,0.14285714285714285,0,0.0,-4.748199462890625,26.95575714111328,22.892993927001953,9.093185119835397
k,4,6,0,0.0,0,0.0,-3.2239303588867188,25.265380859375,21.47216796875,8.844844069382722
k,6,7,4,0.5714285714285714,4,0.5714285714285714,-0.8577728271484375,26.88066864013672,20.584259033203125,8.622522885739784
ratio,0.5,7,1,0.14285714285714285,0,0.0,-3.2239303588867188,25.93402099609375,22.342552185058594,8.622522885739784
ratio,0.6000000238418579,5,1,0.2,0,0.0,-1.7887420654296875,25.265380859375,21.47216796875,9.093185119835397
ratio,0.699999988079071,4,1,0.25,2,0.5,-3.9668197631835938,26.993118286132812,21.56220245361328,9.111036121820838
ratio,0.800000011920929,4,2,0.5,2,0.5,-0.8577728271484375,26.88066864013672,20.584259033203125,9.364623020790061
selection_role,active_rl_boundary,3,1,0.3333333333333333,1,0.3333333333333333,-4.706260681152344,26.88066864013672,22.059402465820312,9.364623020790061
selection_role,large_scan,3,0,0.0,1,0.3333333333333333,-3.9668197631835938,26.280670166015625,22.734188079833984,9.093185119835397
selection_role,local_boundary,3,1,0.3333333333333333,1,0.3333333333333333,-4.375602722167969,26.993118286132812,21.56220245361328,9.111036121820838
selection_role,nearest_boundary,3,1,0.3333333333333333,0,0.0,-1.7887420654296875,25.265380859375,21.47216796875,9.276569597300462
selection_role,psll_boundary,3,0,0.0,0,0.0,-3.2239303588867188,25.93402099609375,22.342552185058594,8.622522885739784
selection_role,reserve,4,1,0.25,0,0.0,-4.799156188964844,26.978572845458984,22.44470977783203,8.844844069382722
selection_role,small_gap,1,1,1.0,1,1.0,-0.8577728271484375,28.294734954833984,20.584259033203125,10.715302189398457
