stimulus_index,side,window_role,window_x0,window_y0,window_score,sample_index,scene_class,k_value,ratio,frequency_ghz,state_name,source_type,task_index,local_active_count,active_rl_db,total_rl_db,external_incident_power,external_accepted_power,antenna_accepted_power,network_dissipated_power,actual_load_insertion_efficiency,actual_load_transducer_efficiency
0,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,combined,-1,3,19.159900927564646,21.42501324080164,1.000000007836031,0.9927972522270533,0.9727161547962048,0.020081097430848516,0.9797732141322889,0.9727161471739709
1,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,0,3,18.044708015296575,20.75370765438969,1.0000000596220833,0.991593287789039,0.9724762455881235,0.01911704220091548,0.9807208838176579,0.9724761876070672
2,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,1,3,21.067867162908417,21.52353808508165,1.0000000201619896,0.9929588279450843,0.9727867635122712,0.020172064432813053,0.9796848934063471,0.972786743898955
3,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,combined,-1,3,19.288905990093806,21.335763852911832,1.000000059341298,0.9926477522143875,0.9725652670370463,0.020082485177341236,0.9797687698052593,0.9725652093237642
4,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,0,3,18.03087577214785,20.74675771903948,0.9999999924833718,0.9915797572418787,0.9724787000789542,0.01910105716292454,0.9807367415243985,0.9724787073887151
5,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,1,3,20.99780442983978,21.401421772689567,0.9999999697782831,0.9927579816323436,0.9727086437923147,0.020049337840028936,0.9798044052921511,0.9727086731892408
15,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,combined,-1,2,21.89416875735502,21.452665070199124,1.0000000157702502,0.9928429748576261,0.9707803810666285,0.02206259379099762,0.9777783654115482,0.9707803657571792
16,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,0,2,18.570539083908802,20.591441713442112,0.9999999594031088,0.9912731435675588,0.9697511394796201,0.021522004087938695,0.9782885229690762,0.9697511788485031
17,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,1,2,22.792240675377226,23.691238172515348,0.9999999476633841,0.9957255378325794,0.9726920762026422,0.023033461629937246,0.9768676600581373,0.9726921271100565
18,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,combined,-1,2,21.797294512288595,21.475940823474012,0.9999999498713592,0.9928811645564002,0.9708041664953625,0.02207699806103769,0.9777647125868267,0.9708042151604582
19,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,task,0,2,18.524881812485486,20.635677363005982,1.0000000002717977,0.9913616210835543,0.969808718196003,0.021552902887551295,0.9782592926443995,0.9698087179324112
20,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,task,1,2,22.68325345988891,23.665082789457557,1.0000000225421015,0.9956997920848341,0.9726741397245351,0.023025652360298965,0.9768749049228111,0.9726741177984164
30,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,combined,-1,3,19.896491627082625,21.386179232147082,0.9999999980044532,0.9927325476127358,0.9728593338800862,0.01987321373264961,0.9799813013278958,0.9728593358214725
31,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,0,3,19.212968790920975,19.893033214535528,0.9999999781919056,0.9897506200455952,0.9709001723407192,0.018850447704875983,0.9809543461523594,0.9709001935142023
32,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,1,3,19.79372628136893,21.959546807862846,0.9999999986779697,0.9936313789379411,0.973436688761578,0.020194690176363106,0.9796758731613845,0.9734366900484908
33,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,2,3,19.334608202062974,22.035271555026327,0.9999999624993763,0.9937414254400116,0.9738482782319616,0.01989314720805002,0.9799815659297471,0.9738483147518808
34,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_identity,task,3,3,20.292178587829895,21.723849784925267,0.9999999945790445,0.9932761909822411,0.9719291083918811,0.02134708259036,0.978508412076957,0.9719291136606655
35,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,combined,-1,3,19.910378836036532,21.485960123749578,0.9999999830460127,0.9928976018107454,0.9729459340581252,0.01995166775262014,0.979905613916043,0.9729459505534386
36,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,0,3,19.23934061247914,19.805183570395588,0.9999999777015285,0.989541183118547,0.9707437131404033,0.018797469978143688,0.981003852796805,0.9707437347865048
37,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,1,3,19.665935920054668,21.846670188936738,1.0000000032237293,0.9934636880908151,0.9733066918751976,0.020156996215617506,0.9797103845291476,0.9733066887375204
38,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,2,3,19.404578126591773,22.145889303744347,0.9999999673758949,0.9938988264655808,0.973941024344243,0.019957802121337798,0.9799196843884905,0.9739410561181984
39,2,corner,14,14,0.4495838273688229,426110,near_boundary,4,0.699999988079071,9.96,frequency_low_E2_source,task,3,3,20.181400608576553,21.607598598755217,1.0000000161948892,0.9930938003560889,0.971733274251594,0.021360526104494904,0.978490927949771,0.9717332585144814
55,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_identity,combined,-1,2,19.37414045520296,20.627875008826134,0.9999999816286991,0.9913460692996668,0.9697953380443435,0.021550731255323363,0.9782611421755595,0.9697953558607458
56,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_identity,task,0,2,17.9598396188309,19.870487585452313,1.0000000145052983,0.9896973099082061,0.9687448506293247,0.020952459278881452,0.9788294268670642,0.9687448365773919
57,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_identity,task,1,2,19.023159609382493,21.79713131474811,0.9999999877691665,0.9933886877891442,0.9711326533028425,0.022256034486301757,0.9775958446478447,0.9711326651806044
58,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_E2_source,combined,-1,2,19.41507672512954,20.61461177583046,1.0000000003444358,0.9913196186472298,0.9697781159581625,0.021541502689067293,0.9782698715087843,0.9697781156241362
59,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_E2_source,task,0,2,18.028412715106477,19.85318906248458,0.9999999752638948,0.9896561522026093,0.9687181609199023,0.020937991282707014,0.9788431656428278,0.9687181848822172
60,2,corner,14,14,0.4495838273688229,426102,stress,2,0.699999988079071,9.96,frequency_low_E2_source,task,1,2,19.055067437841643,21.793474936709988,1.0000000271653038,0.9933831584470234,0.97112885223331,0.022254306213713382,0.9775974597269155,0.9711288258523004
70,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,combined,-1,3,19.685707975128675,20.848349290002428,1.0000000002675788,0.9917744479096114,0.9685192418393009,0.023255206070310508,0.9765519205305944,0.9685192415801457
71,2,corner,14,14,0.4495838273688229,426113,stress,4,0.800000011920929,9.96,frequency_low_identity,task,0,3,20.49414572697831,19.811708367099698,1.0000000042132202,0.9895569107436177,0.9702996259183013,0.019257284825316412,0.9805394873036203,0.9702996218302153
