candidate_id,stage,factors,component_values,project_path,touchstone_path,builder_path,solver_path,pre_reference_ports,post_reference_ports,pass_count,final_delta_s,converged,small_mesh_segment_count,peak_solver_memory_gb,maximum_tetrahedra,passive_rl_min_db,active_rl_min_db,total_rl_min_db,actual_load_insertion_efficiency_min,actual_load_transducer_efficiency_min,matched_load_network_efficiency_min,reciprocity_error_max,passivity_sigma_max,engineering_gate_pass,design_gate_pass,optimization_score,frequency_rows,build_return_code,solve_return_code,project_ready_before_solve,free_memory_gb_before
coarse_00_nominal,coarse,"{'series_l': 1.0, 'ground_c': 1.0, 'bridge_l': 1.0}","{'series_inductor_nh': 0.6571577956649897, 'ground_capacitor_pf': 0.13214124270806277, 'bridge_inductor_nh': 3.099437247401927}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_00_nominal\coarse_00_nominal.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_00_nominal\coarse_00_nominal.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_00_nominal\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_00_nominal\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00139297,True,24,1.3202056884765625,42072,13.867292411714518,10.931864809488738,12.02358448827341,0.9763677924486973,0.9201151732239986,0.9794351241016956,1.0532500405730103e-15,0.9963125928769482,False,False,-0.5681351905112617,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 21.88746764529239, 'active_rl_min_db': 13.351005401251996, 'total_rl_min_db': 17.31839154531204, 'actual_load_insertion_efficiency_min': 0.9763677924486973, 'actual_load_transducer_efficiency_min': 0.9626341247046463, 'matched_load_network_efficiency_min': 0.9795310573614328}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 16.962865508166963, 'active_rl_min_db': 12.82491526644466, 'total_rl_min_db': 14.510734298660378, 'actual_load_insertion_efficiency_min': 0.9785056083048453, 'actual_load_transducer_efficiency_min': 0.9458248419569433, 'matched_load_network_efficiency_min': 0.9794833033755099}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 13.867292411714518, 'active_rl_min_db': 10.931864809488738, 'total_rl_min_db': 12.02358448827341, 'actual_load_insertion_efficiency_min': 0.9801546945614421, 'actual_load_transducer_efficiency_min': 0.9201151732239986, 'matched_load_network_efficiency_min': 0.9794351241016956}]",,,,
coarse_01_series_l_minus_6pct,coarse,"{'series_l': 0.94, 'ground_c': 1.0, 'bridge_l': 1.0}","{'series_inductor_nh': 0.6177283279250902, 'ground_capacitor_pf': 0.13214124270806277, 'bridge_inductor_nh': 3.099437247401927}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_01_series_l_minus_6pct\coarse_01_series_l_minus_6pct.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_01_series_l_minus_6pct\coarse_01_series_l_minus_6pct.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_01_series_l_minus_6pct\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_01_series_l_minus_6pct\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00133183,True,24,1.3247718811035156,42072,14.791008572842523,11.546514531129839,12.62890312122316,0.9770570305020356,0.9286382011028993,0.98009507980899,1.072098405376252e-15,0.9963020677988371,True,True,0.04651453112983894,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 25.16345768955457, 'active_rl_min_db': 13.123900643557867, 'total_rl_min_db': 18.341647581993136, 'actual_load_insertion_efficiency_min': 0.9770570305020356, 'actual_load_transducer_efficiency_min': 0.9676404741973675, 'matched_load_network_efficiency_min': 0.9801880282258737}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 18.504013805508126, 'active_rl_min_db': 13.78911385071554, 'total_rl_min_db': 15.423004747592525, 'actual_load_insertion_efficiency_min': 0.9791525516832731, 'actual_load_transducer_efficiency_min': 0.9529660798167077, 'matched_load_network_efficiency_min': 0.9801417609727696}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 14.791008572842523, 'active_rl_min_db': 11.546514531129839, 'total_rl_min_db': 12.62890312122316, 'actual_load_insertion_efficiency_min': 0.980758175053678, 'actual_load_transducer_efficiency_min': 0.9286382011028993, 'matched_load_network_efficiency_min': 0.98009507980899}]",0,0,True,13.100860595703125
coarse_02_series_l_plus_6pct,coarse,"{'series_l': 1.06, 'ground_c': 1.0, 'bridge_l': 1.0}","{'series_inductor_nh': 0.6965872634048891, 'ground_capacitor_pf': 0.13214124270806277, 'bridge_inductor_nh': 3.099437247401927}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_02_series_l_plus_6pct\coarse_02_series_l_plus_6pct.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_02_series_l_plus_6pct\coarse_02_series_l_plus_6pct.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_02_series_l_plus_6pct\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_02_series_l_plus_6pct\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00141613,True,24,1.3346443176269531,42068,13.022924327048424,10.270785907788724,11.445236721925136,0.9756766187217497,0.9108433552211616,0.9788003737548713,1.926964694222131e-15,0.9963243937069431,False,False,-1.2292140922112758,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 19.515393217312113, 'active_rl_min_db': 12.779967259616436, 'total_rl_min_db': 16.28658465600244, 'actual_load_insertion_efficiency_min': 0.9756766187217497, 'actual_load_transducer_efficiency_min': 0.9564797938849479, 'matched_load_network_efficiency_min': 0.9788988582834939}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 15.644314147204577, 'active_rl_min_db': 11.969223739657334, 'total_rl_min_db': 13.656312987258454, 'actual_load_insertion_efficiency_min': 0.9778582134543328, 'actual_load_transducer_efficiency_min': 0.9377234763894589, 'matched_load_network_efficiency_min': 0.9788498336834165}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 13.022924327048424, 'active_rl_min_db': 10.270785907788724, 'total_rl_min_db': 11.445236721925136, 'actual_load_insertion_efficiency_min': 0.9795522966271296, 'actual_load_transducer_efficiency_min': 0.9108433552211616, 'matched_load_network_efficiency_min': 0.9788003737548713}]",0,0,True,13.245559692382812
coarse_03_ground_c_minus_10pct,coarse,"{'series_l': 1.0, 'ground_c': 0.9, 'bridge_l': 1.0}","{'series_inductor_nh': 0.6571577956649897, 'ground_capacitor_pf': 0.1189271184372565, 'bridge_inductor_nh': 3.099437247401927}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_03_ground_c_minus_10pct\coarse_03_ground_c_minus_10pct.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_03_ground_c_minus_10pct\coarse_03_ground_c_minus_10pct.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_03_ground_c_minus_10pct\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_03_ground_c_minus_10pct\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00136827,True,24,1.3228225708007812,42067,12.867120815005585,10.22457464992141,11.268608120915875,0.9773736410230046,0.9089870875103029,0.9800056806378811,1.0007415106216803e-15,0.9965133486246107,False,False,-1.2754253500785904,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 20.461940935606847, 'active_rl_min_db': 12.142963993984937, 'total_rl_min_db': 15.793925971410388, 'actual_load_insertion_efficiency_min': 0.9773736410230046, 'actual_load_transducer_efficiency_min': 0.9564889646388812, 'matched_load_network_efficiency_min': 0.9800933381229372}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 15.77499922119966, 'active_rl_min_db': 12.171460282150004, 'total_rl_min_db': 13.648348699801842, 'actual_load_insertion_efficiency_min': 0.9793081062367667, 'actual_load_transducer_efficiency_min': 0.9389062423098683, 'matched_load_network_efficiency_min': 0.9800497155676218}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 12.867120815005585, 'active_rl_min_db': 10.22457464992141, 'total_rl_min_db': 11.268608120915875, 'actual_load_insertion_efficiency_min': 0.980783209238748, 'actual_load_transducer_efficiency_min': 0.9089870875103029, 'matched_load_network_efficiency_min': 0.9800056806378811}]",0,0,True,13.238842010498047
coarse_04_ground_c_plus_10pct,coarse,"{'series_l': 1.0, 'ground_c': 1.1, 'bridge_l': 1.0}","{'series_inductor_nh': 0.6571577956649897, 'ground_capacitor_pf': 0.14535536697886905, 'bridge_inductor_nh': 3.099437247401927}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_04_ground_c_plus_10pct\coarse_04_ground_c_plus_10pct.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_04_ground_c_plus_10pct\coarse_04_ground_c_plus_10pct.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_04_ground_c_plus_10pct\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_04_ground_c_plus_10pct\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00142168,True,24,1.32177734375,42072,14.90794228917837,11.382972381869996,12.79218403439415,0.9752991891285612,0.9294657520031818,0.9788372847176628,2.7946432885932182e-15,0.9961209118969113,True,False,-0.11702761813000429,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 21.819637260553996, 'active_rl_min_db': 13.7494013932514, 'total_rl_min_db': 18.246692315184173, 'actual_load_insertion_efficiency_min': 0.9752991891285612, 'actual_load_transducer_efficiency_min': 0.9623574725734474, 'matched_load_network_efficiency_min': 0.9789419235008937}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 17.979029989672902, 'active_rl_min_db': 13.012199455498177, 'total_rl_min_db': 15.285782319432787, 'actual_load_insertion_efficiency_min': 0.9776466961435075, 'actual_load_transducer_efficiency_min': 0.950722610592652, 'matched_load_network_efficiency_min': 0.9788898231336318}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 14.90794228917837, 'active_rl_min_db': 11.382972381869996, 'total_rl_min_db': 12.79218403439415, 'actual_load_insertion_efficiency_min': 0.9794733068133554, 'actual_load_transducer_efficiency_min': 0.9294657520031818, 'matched_load_network_efficiency_min': 0.9788372847176628}]",0,0,True,13.17730712890625
coarse_05_bridge_l_minus_8pct,coarse,"{'series_l': 1.0, 'ground_c': 1.0, 'bridge_l': 0.92}","{'series_inductor_nh': 0.6571577956649897, 'ground_capacitor_pf': 0.13214124270806277, 'bridge_inductor_nh': 2.851482267609773}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_05_bridge_l_minus_8pct\coarse_05_bridge_l_minus_8pct.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_05_bridge_l_minus_8pct\coarse_05_bridge_l_minus_8pct.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_05_bridge_l_minus_8pct\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_05_bridge_l_minus_8pct\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00144142,True,24,1.3186683654785156,42069,13.777396657375649,10.999699455668182,12.020275711889854,0.9762320953603578,0.9199912355963248,0.9793033068323372,9.485749680535094e-16,0.9963136684940745,False,False,-0.500300544331818,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 22.200302260793983, 'active_rl_min_db': 13.310961889131583, 'total_rl_min_db': 17.368846701800937, 'actual_load_insertion_efficiency_min': 0.9762320953603578, 'actual_load_transducer_efficiency_min': 0.963539610968077, 'matched_load_network_efficiency_min': 0.9793978233677139}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 16.941028403663005, 'active_rl_min_db': 13.167731588475185, 'total_rl_min_db': 14.6366750296176, 'actual_load_insertion_efficiency_min': 0.9783914919525628, 'actual_load_transducer_efficiency_min': 0.9467382557937669, 'matched_load_network_efficiency_min': 0.9793507857580618}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 13.777396657375649, 'active_rl_min_db': 10.999699455668182, 'total_rl_min_db': 12.020275711889854, 'actual_load_insertion_efficiency_min': 0.9800405169885684, 'actual_load_transducer_efficiency_min': 0.9199912355963248, 'matched_load_network_efficiency_min': 0.9793033068323372}]",0,0,True,13.226024627685547
coarse_06_bridge_l_plus_8pct,coarse,"{'series_l': 1.0, 'ground_c': 1.0, 'bridge_l': 1.08}","{'series_inductor_nh': 0.6571577956649897, 'ground_capacitor_pf': 0.13214124270806277, 'bridge_inductor_nh': 3.3473922271940815}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_06_bridge_l_plus_8pct\coarse_06_bridge_l_plus_8pct.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_06_bridge_l_plus_8pct\coarse_06_bridge_l_plus_8pct.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_06_bridge_l_plus_8pct\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\coarse_06_bridge_l_plus_8pct\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00140175,True,24,1.3224067687988281,42072,13.926251297990458,10.717627884951558,12.006154175039113,0.976478927989113,0.9199315022024672,0.9795462709446522,1.897149936107019e-15,0.9963116018188262,False,False,-0.7823721150484424,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 21.425615377339525, 'active_rl_min_db': 13.382122088308908, 'total_rl_min_db': 17.247681737279837, 'actual_load_insertion_efficiency_min': 0.976478927989113, 'actual_load_transducer_efficiency_min': 0.9608772501578925, 'matched_load_network_efficiency_min': 0.9796433007104959}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 16.92670825811122, 'active_rl_min_db': 12.440157482188685, 'total_rl_min_db': 14.3584656249861, 'actual_load_insertion_efficiency_min': 0.9785992126985184, 'actual_load_transducer_efficiency_min': 0.9446511185750954, 'matched_load_network_efficiency_min': 0.9795949917862496}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 13.926251297990458, 'active_rl_min_db': 10.717627884951558, 'total_rl_min_db': 12.006154175039113, 'actual_load_insertion_efficiency_min': 0.9802494580922805, 'actual_load_transducer_efficiency_min': 0.9199315022024672, 'matched_load_network_efficiency_min': 0.9795462709446522}]",0,0,True,13.212848663330078
refine_00_series_l_minus,refine,"{'series_l': 0.9117999999999999, 'ground_c': 1.0, 'bridge_l': 1.0}","{'series_inductor_nh': 0.5991964780873376, 'ground_capacitor_pf': 0.13214124270806277, 'bridge_inductor_nh': 3.099437247401927}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_00_series_l_minus\refine_00_series_l_minus.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_00_series_l_minus\refine_00_series_l_minus.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_00_series_l_minus\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_00_series_l_minus\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00132475,True,24,1.32550048828125,42072,15.258998189438458,11.851066893874389,12.919474530633313,0.9773813508488698,0.9323496342070701,0.9804056196018429,2.0259669043392775e-15,0.9962974708559414,True,True,0.35106689387438905,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 27.285218099648617, 'active_rl_min_db': 12.65899987691929, 'total_rl_min_db': 18.79628459425788, 'actual_load_insertion_efficiency_min': 0.9773813508488698, 'actual_load_transducer_efficiency_min': 0.9693943194686567, 'matched_load_network_efficiency_min': 0.9804971796245814}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 19.33158116432232, 'active_rl_min_db': 13.942274751288606, 'total_rl_min_db': 15.865952339528386, 'actual_load_insertion_efficiency_min': 0.9794567978138649, 'actual_load_transducer_efficiency_min': 0.9559635488296235, 'matched_load_network_efficiency_min': 0.9804516040903679}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 15.258998189438458, 'active_rl_min_db': 11.851066893874389, 'total_rl_min_db': 12.919474530633313, 'actual_load_insertion_efficiency_min': 0.9810418061043817, 'actual_load_transducer_efficiency_min': 0.9323496342070701, 'matched_load_network_efficiency_min': 0.9804056196018429}]",0,0,True,13.241813659667969
refine_01_series_l_plus,refine,"{'series_l': 0.9682, 'ground_c': 1.0, 'bridge_l': 1.0}","{'series_inductor_nh': 0.6362601777628429, 'ground_capacitor_pf': 0.13214124270806277, 'bridge_inductor_nh': 3.099437247401927}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_01_series_l_plus\refine_01_series_l_plus.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_01_series_l_plus\refine_01_series_l_plus.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_01_series_l_plus\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_01_series_l_plus\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00133013,True,24,1.3203239440917969,42072,14.343495840152375,11.251929320959558,12.341619671572893,0.9767333383658117,0.9247340339514518,0.9797818614773529,1.971232166893511e-15,0.9963072407814773,True,False,-0.2480706790404419,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 23.45685068045753, 'active_rl_min_db': 13.616513071315081, 'total_rl_min_db': 17.86497749911389, 'actual_load_insertion_efficiency_min': 0.9767333383658117, 'actual_load_transducer_efficiency_min': 0.9654356692148605, 'matched_load_network_efficiency_min': 0.9798762537454174}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 17.742564324405535, 'active_rl_min_db': 13.320932370834747, 'total_rl_min_db': 14.988032225117447, 'actual_load_insertion_efficiency_min': 0.9788486450530414, 'actual_load_transducer_efficiency_min': 0.9497363584506544, 'matched_load_network_efficiency_min': 0.9798292673012284}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 14.343495840152375, 'active_rl_min_db': 11.251929320959558, 'total_rl_min_db': 12.341619671572893, 'actual_load_insertion_efficiency_min': 0.9804745836546963, 'actual_load_transducer_efficiency_min': 0.9247340339514518, 'matched_load_network_efficiency_min': 0.9797818614773529}]",0,0,True,13.221683502197266
refine_02_ground_c_minus,refine,"{'series_l': 0.94, 'ground_c': 0.95, 'bridge_l': 1.0}","{'series_inductor_nh': 0.6177283279250902, 'ground_capacitor_pf': 0.1255341805726596, 'bridge_inductor_nh': 3.099437247401927}",D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_02_ground_c_minus\refine_02_ground_c_minus.aedt,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_02_ground_c_minus\refine_02_ground_c_minus.s8p,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_02_ground_c_minus\build.vbs,D:\codex_workspace\hfss_ura16_quick_model\hfss_outputs\v116_physical_s8_hfss_optimization_20260730_run02\candidates\refine_02_ground_c_minus\solve_export.vbs,"['PRE_0', 'PRE_1', 'PRE_2', 'PRE_3']","['POST_0', 'POST_1', 'POST_2', 'POST_3']",2,0.00142209,True,24,1.3274497985839844,42076,14.201231889551526,11.148802227081019,12.213313873606793,0.9775493616731892,0.92354493404122,0.980379720278174,1.072098405376252e-15,0.9964030263638946,True,False,-0.35119777291898124,"[{'frequency_ghz': 9.96, 'passive_rl_min_db': 24.144622063241485, 'active_rl_min_db': 13.154409109896953, 'total_rl_min_db': 17.441428786525716, 'actual_load_insertion_efficiency_min': 0.9775493616731892, 'actual_load_transducer_efficiency_min': 0.964796231952432, 'matched_load_network_efficiency_min': 0.9804686485625925}, {'frequency_ghz': 10.0, 'passive_rl_min_db': 17.74555619418433, 'active_rl_min_db': 13.106997603101426, 'total_rl_min_db': 14.934517640757502, 'actual_load_insertion_efficiency_min': 0.9795471845576522, 'actual_load_transducer_efficiency_min': 0.9499707496529723, 'matched_load_network_efficiency_min': 0.9804243884093293}, {'frequency_ghz': 10.04, 'passive_rl_min_db': 14.201231889551526, 'active_rl_min_db': 11.148802227081019, 'total_rl_min_db': 12.213313873606793, 'actual_load_insertion_efficiency_min': 0.9810697246438714, 'actual_load_transducer_efficiency_min': 0.92354493404122, 'matched_load_network_efficiency_min': 0.980379720278174}]",0,0,True,13.28598403930664
