Theta[deg],Phi[deg],re(rETheta)[mV],im(rETheta)[mV],re(rEPhi)[mV],im(rEPhi)[mV]
0,0,-557.988,543.828,14443.1,3142.37
5,0,-809.795,41.7576,14671.5,1431.27
10,0,-1042.19,-457.593,14494.8,-255.777
15,0,-1249.54,-913.164,13932.6,-1819.86
20,0,-1428.01,-1289.04,13032,-3176.55
25,0,-1572.49,-1560.36,11860.4,-4264.07
30,0,-1675.51,-1716.89,10497.8,-5047.68
35,0,-1728.65,-1763.12,9027.37,-5520.13
40,0,-1725.81,-1714.87,7528.75,-5698.68
45,0,-1666.47,-1593.79,6072.23,-5619.77
50,0,-1557.26,-1421.74,4714.84,-5332.55
55,0,-1411.06,-1216.91,3497.96,-4892.2
60,0,-1244.14,-992.217,2446.39,-4353.77
65,0,-1072.71,-755.846,1569.09,-3767.07
70,0,-910.161,-512.63,861.492,-3173.06
75,0,-765.717,-265.535,308.941,-2601.99
80,0,-644.427,-16.6485,-109.227,-2073.36
85,0,-548.003,232.293,-415.867,-1597.27
90,0,-475.894,479.588,-632.94,-1176.47
95,0,-426.177,723.216,-779.433,-808.516
100,0,-396.081,960.408,-870.197,-487.53
105,0,-382.114,1187.25,-915.565,-205.497
110,0,-379.923,1398.59,-921.659,46.5747
115,0,-384.094,1588.37,-891.437,277.325
120,0,-388.159,1750.27,-826.515,493.27
125,0,-385.074,1878.38,-729.617,696.811
130,0,-368.25,1967.32,-607.062,884.715
135,0,-332.947,2011.82,-470.329,1048.03
140,0,-277.566,2005.78,-335.67,1174.09
145,0,-204.293,1941.99,-221.294,1250.26
150,0,-118.787,1813.04,-142.593,1268.23
155,0,-29.0417,1613.98,-106.993,1226.93
160,0,56.0865,1345.91,-110.518,1133.01
165,0,128.085,1019.08,-137.745,998.954
170,0,179.452,653.827,-165.61,840.137
175,0,203.946,278.425,-170.013,672.514
180,0,196.824,-75.5752,-132.882,511.482
0,5,702.936,815.634,14436.8,3083.01
5,5,479.586,138.565,14702.2,1169.8
10,5,230.489,-523.24,14502.8,-715.718
15,5,-33.9504,-1115.93,13866.6,-2451.69
20,5,-301.46,-1595.15,12855.8,-3935.52
25,5,-556.495,-1932.86,11556.5,-5094.1
30,5,-780.948,-2120.55,10066.7,-5889
35,5,-957.153,-2168.11,8484.79,-6316.45
40,5,-1072.01,-2098.69,6900.98,-6402.84
45,5,-1120.33,-1941.7,5390.71,-6197.21
50,5,-1106.07,-1726.28,4011.52,-5762.51
55,5,-1040.85,-1476.87,2801.67,-5166.98
60,5,-940.8,-1211.52,1780.63,-4476.71
65,5,-822.885,-942.265,950.929,-3749.94
70,5,-702.001,-676.356,301.47,-3033.43
75,5,-589.36,-417.71,-188.328,-2360.93
80,5,-492.155,-167.988,-544.03,-1753.62
85,5,-414.065,72.5814,-792.147,-1222.03
90,5,-356.129,304.52,-957.014,-768.538
95,5,-317.574,528.421,-1058.75,-389.814
100,5,-296.406,744.293,-1112.13,-78.7624
105,5,-289.695,951.044,-1126.32,174.193
110,5,-293.619,1146.25,-1105.24,380.121
115,5,-303.428,1326.25,-1048.88,550.458
120,5,-313.528,1486.53,-955.688,695.423
125,5,-317.862,1622.06,-825.741,822.08
