stimulus_index,side,window_role,window_x0,window_y0,window_score,sample_index,scene_class,k_value,ratio,frequency_ghz,state_name,source_type,task_index,local_active_count,active_rl_db,total_rl_db,incident_power,accepted_power,radiated_power_from_eep,integrated_accepted_to_radiated_efficiency,integrated_transducer_efficiency
0,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,combined,-1,3,4.420696255801195,11.40652891252172,1.000000007836031,0.9276652366270205,0.8805202375279403,0.9491788662141757,0.8805202306281565
1,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,0,3,8.476846569207497,9.999257749689624,1.0000000596220833,0.8999829612532713,0.8646828326136458,0.9607768922753067,0.864682781059457
2,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_identity,task,1,3,8.497499704607892,12.143470029771372,1.0000000201619896,0.9389546114493199,0.8918116165641075,0.9497920407329966,0.8918115985834113
3,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,combined,-1,3,4.392313525180557,11.493385583199833,1.000000059341298,0.9290975725798392,0.8817376668034147,0.9490259073167961,0.88173761447996
4,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,0,3,8.43674762451249,10.001223907681517,0.9999999924833718,0.9000281707800333,0.8646188164003823,0.9606575043657105,0.8646188228994005
5,2,corner,14,14,0.4495838273688229,426105,near_boundary,2,0.800000011920929,9.96,frequency_low_E2_source,task,1,3,8.517613479357466,12.061165850875533,0.9999999697782831,0.9377866463692279,0.8905941708846321,0.9496767461263091,0.8905941977999179
15,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,combined,-1,2,11.290530158362182,10.415478546906717,1.0000000157702502,0.9091233986308715,0.8708301541822625,0.9578789364499053,0.8708301404490533
16,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,0,2,9.90909335369826,11.880798629707737,0.9999999594031088,0.9351484454064228,0.8964319942702679,0.9585986039688827,0.8964320306626214
17,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_identity,task,1,2,12.44380931898011,12.089356591663273,0.9999999476633841,0.9381891542781727,0.8952040247241062,0.9541828752143926,0.8952040715760579
18,2,corner,14,14,0.4495838273688229,426109,near_boundary,2,0.6000000238418579,9.96,frequency_low_E2_source,combined,-1,2,11.27524204039518,10.485198607868876,0.9999999498713592,0.9105705909623855,0.8722853622530097,0.9579546834815827,0.8722854059794914
