section,branch,type,value,unit,unquantized_value
series_mode,m0,C,1.6499999999999998e-12,F,1.6531614627246719e-12
series_mode,m1,L,3.4e-11,H,3.395765714921527e-11
series_mode,m2,L,3.09e-10,H,3.070327469669491e-10
series_mode,m3,L,6.04e-10,H,6.08110007622023e-10
input_shunt,0,L,4.0199999999999996e-08,H,3.99988917203e-08
input_shunt,1,L,1.1499999999999999e-08,H,1.1546224421866774e-08
input_shunt,6,L,1.5800000000000003e-08,H,1.5736189564831685e-08
input_shunt,7,C,1.74e-15,F,1.741048059595189e-15
input_shunt,8,L,3.32e-09,H,3.2996530468360693e-09
input_shunt,9,L,1.07e-07,H,1.0804153724106314e-07
output_shunt,0,L,3.9200000000000005e-09,H,3.888747591137099e-09
output_shunt,1,C,6.490000000000001e-15,F,6.568100850819303e-15
output_shunt,2,L,6.650000000000001e-09,H,6.645935197301452e-09
output_shunt,3,C,1.0700000000000001e-13,F,1.062759519312785e-13
output_shunt,4,C,4.99e-14,F,5.030419336832137e-14
output_shunt,5,L,4.99e-09,H,5.0080252514829345e-09
output_shunt,6,C,5.36e-14,F,5.397390716548487e-14
output_shunt,7,C,7.68e-14,F,7.722121872904059e-14
output_shunt,8,L,1.1000000000000001e-08,H,1.0991841001214739e-08
output_shunt,9,C,3.09e-14,F,3.0536302331471626e-14
